"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","22-017","IND","","MEM","W (+28)","0","3:58","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","1","1","3","0.6","-1",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","33.3","33.4","86","98"
"2","2","2018-10-19","22-019","IND","@","MIL","L (-17)","0","4:14","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","0","0","-0.4","+7",".000",".000","0.0","26.4","12.5","29.8","0.0","0.0","0.0","19.6","27","114"
"3","3","2018-10-20","22-020","IND","","BRK","W (+20)","0","3:16","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","0.0","-6",".000",".000","0.0","0.0","0.0","28.8","0.0","0.0","0.0","13.2","67","120"
"5","4","2018-10-24","22-024","IND","@","SAS","W (+20)","0","2:51","0","0","","0","0","","0","0","","0","0","0","0","0","0","2","1","0","-2.4","-9","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","33.5","0","116"
"6","5","2018-10-27","22-027","IND","@","CLE","W (+12)","0","1:47","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-4","1.000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.8","200","131"
"16","6","2018-11-17","22-048","IND","","ATL","W (+8)","0","15:14","4","6",".667","3","4",".750","1","2",".500","0","3","3","2","0","0","2","4","12","7.7","+10",".872",".917","0.0","19.7","10.1","28.1","0.0","0.0","22.5","23.7","119","88"
"17","7","2018-11-19","22-050","IND","","UTA","W (+27)","0","21:06","7","10",".700","2","4",".500","3","5",".600","0","7","7","1","0","0","0","3","19","15.6","+13",".779",".800","0.0","44.2","19.9","6.9","0.0","0.0","0.0","25.4","151","103"
"18","8","2018-11-21","22-052","IND","@","CHO","L (-18)","0","23:52","2","9",".222","1","7",".143","6","6","1.000","1","5","6","3","1","1","2","2","11","8.7","+4",".473",".278","5.0","30.5","16.5","16.3","2.1","3.9","14.7","26.0","102","130"
"19","9","2018-11-23","22-054","IND","","SAS","L (-11)","0","20:41","5","14",".357","0","5",".000","1","1","1.000","0","4","4","2","1","1","2","2","11","4.7","+8",".381",".357","0.0","21.6","10.2","13.5","2.3","3.7","12.2","33.2","73","106"
"20","10","2018-11-26","22-057","IND","@","UTA","W (+33)","0","21:45","6","8",".750","0","1",".000","0","0","","0","2","2","2","1","0","1","2","12","10.0","+16",".750",".750","0.0","9.8","5.7","12.3","2.3","0.0","11.1","18.5","129","94"
"21","11","2018-11-27","22-058","IND","@","PHO","W (+5)","0","15:51","1","6",".167","0","3",".000","0","0","","0","0","0","2","0","0","0","1","2","-0.8","+3",".167",".167","0.0","0.0","0.0","17.3","0.0","0.0","0.0","15.8","62","120"
"22","12","2018-11-29","22-060","IND","@","LAL","L (-8)","0","13:16","2","5",".400","1","3",".333","2","2","1.000","0","0","0","1","1","0","1","0","7","5.0","+5",".595",".500","0.0","0.0","0.0","14.6","3.6","0.0","14.5","21.7","105","105"
"23","13","2018-12-01","22-062","IND","@","SAC","L (-1)","0","6:59","2","4",".500","1","3",".333","0","0","","0","2","2","1","0","0","1","0","5","3.3","-11",".625",".625","0.0","27.5","15.6","23.5","0.0","0.0","20.0","29.9","95","106"
"24","14","2018-12-04","22-065","IND","","CHI","W (+6)","0","11:52","2","6",".333","1","3",".333","0","0","","0","0","0","3","2","0","0","2","5","4.9","-6",".417",".417","0.0","0.0","0.0","45.1","8.2","0.0","0.0","23.2","102","85"
"25","15","2018-12-07","22-068","IND","@","ORL","W (+22)","0","21:41","3","8",".375","1","5",".200","0","0","","1","6","7","3","1","2","0","1","7","9.2","+14",".438",".438","4.5","26.0","15.5","17.8","2.3","7.9","0.0","16.1","110","84"
"26","16","2018-12-08","22-069","IND","","SAC","W (+10)","0","16:24","0","5",".000","0","1",".000","0","0","","0","3","3","2","3","1","0","4","0","0.9","+3",".000",".000","0.0","17.9","9.2","14.6","9.1","5.0","0.0","12.5","28","81"
"27","17","2018-12-10","22-071","IND","","WAS","W (+8)","0","10:21","2","3",".667","1","1","1.000","0","0","","0","1","1","1","0","1","1","0","5","4.4","-6",".833",".833","0.0","9.5","5.5","14.6","0.0","8.0","25.0","17.1","115","99"
"30","18","2018-12-16","22-077","IND","","NYK","W (+11)","0","13:44","2","8",".250","0","6",".000","3","3","1.000","0","1","1","0","0","0","0","1","7","2.1","+9",".376",".250","0.0","7.4","3.9","0.0","0.0","0.0","0.0","29.6","86","110"
"33","19","2018-12-21","22-082","IND","@","BRK","W (+8)","0","12:18","1","3",".333","0","1",".000","0","0","","0","0","0","4","0","1","1","2","2","2.0","-2",".333",".333","0.0","0.0","0.0","38.9","0.0","9.5","25.0","15.5","94","121"
"34","20","2018-12-23","22-084","IND","","WAS","W (+16)","0","14:48","4","9",".444","1","3",".333","3","3","1.000","0","1","1","1","1","1","1","4","12","7.4","+16",".581",".500","0.0","6.9","3.5","10.8","3.2","7.9","8.8","30.8","119","85"
"36","21","2018-12-28","22-089","IND","","DET","W (+37)","0","3:52","2","2","1.000","1","1","1.000","0","0","","0","0","0","3","0","0","1","0","5","5.5","+5","1.250","1.250","0.0","0.0","0.0","100.0","0.0","0.0","33.3","34.2","173","102"
"39","22","2019-01-06","22-098","IND","@","TOR","L (-16)","0","1:44","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"41","23","2019-01-09","22-101","IND","@","BOS","L (-27)","0","6:10","0","2",".000","0","1",".000","4","4","1.000","0","0","0","2","0","0","0","0","4","4.0","+3",".532",".000","0.0","0.0","0.0","39.9","0.0","0.0","0.0","25.1","137","139"
"42","24","2019-01-11","22-103","IND","@","NYK","W (+15)","0","2:06","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","2.0","-3",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.5","136","114"
"43","25","2019-01-15","22-107","IND","","PHO","W (+34)","0","4:49","2","2","1.000","1","1","1.000","0","0","","0","2","2","2","1","2","0","0","5","8.8","+4","1.250","1.250","0.0","37.6","21.0","76.5","9.2","29.3","0.0","16.8","243","48"
"44","26","2019-01-17","22-109","IND","","PHI","L (-24)","0","1:09","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","-4",".000",".000","0.0","0.0","0.0","100.0","0.0","0.0","0.0","73.0","27","131"
"45","27","2019-01-19","22-111","IND","","DAL","W (+12)","0","1:30","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.0","0","116"
"46","28","2019-01-20","22-112","IND","","CHO","W (+25)","0","2:14","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","2.0","+3",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.9","132","106"
