"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"35","1","2018-12-27","24-302","LAL","@","SAC","L (-1)","0","3:40","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","1","0","0.3","-2"
"36","2","2018-12-28","24-303","LAL","","LAC","L (-11)","0","1:26","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-4"
"48","3","2019-01-21","24-327","LAL","","GSW","L (-19)","0","12:00","2","3",".667","1","1","1.000","1","4",".250","0","0","0","1","0","2","0","1","6","5.2","+11"
"50","4","2019-01-27","24-333","LAL","","PHO","W (+14)","0","1:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"51","5","2019-01-29","24-335","LAL","","PHI","L (-16)","0","1:11","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-1"
"59","6","2019-02-23","24-360","LAL","@","NOP","L (-13)","0","1:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1"
"64","7","2019-03-04","25-004","LAL","","LAC","L (-8)","0","5:00","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","-4"
"65","8","2019-03-06","25-006","LAL","","DEN","L (-16)","0","29:19","6","11",".545","1","4",".250","2","2","1.000","1","5","6","3","0","0","1","3","15","11.8","+1"
"66","9","2019-03-09","25-009","LAL","","BOS","L (-13)","0","29:44","3","3","1.000","0","0","","2","2","1.000","0","2","2","2","0","1","0","5","8","7.8","+5"
"67","10","2019-03-12","25-012","LAL","@","CHI","W (+16)","0","10:59","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","1","0","2","1","3","2.0","0"
"68","11","2019-03-14","25-014","LAL","@","TOR","L (-13)","0","26:30","5","7",".714","1","1","1.000","5","5","1.000","1","4","5","5","0","0","1","4","16","15.9","-3"
"69","12","2019-03-15","25-015","LAL","@","DET","L (-14)","0","24:28","4","11",".364","2","4",".500","6","8",".750","2","2","4","2","2","1","1","3","16","13.0","0"
"70","13","2019-03-17","25-017","LAL","@","NYK","L (-1)","0","27:48","3","6",".500","1","1","1.000","5","6",".833","2","1","3","2","5","3","0","3","12","17.6","+7"
"71","14","2019-03-19","25-019","LAL","@","MIL","L (-14)","0","22:20","0","6",".000","0","1",".000","4","4","1.000","3","1","4","2","2","0","2","1","4","3.2","+3"
"72","15","2019-03-22","25-022","LAL","","BRK","L (-5)","0","34:36","3","10",".300","2","4",".500","2","2","1.000","2","6","8","2","1","0","3","5","10","4.8","+9"
"73","16","2019-03-24","25-024","LAL","","SAC","W (+5)","0","18:05","2","6",".333","0","3",".000","2","2","1.000","0","2","2","0","0","0","1","3","6","1.0","+2"
"74","17","2019-03-26","25-026","LAL","","WAS","W (+18)","0","20:09","1","3",".333","1","3",".333","1","2",".500","0","3","3","3","0","0","2","1","4","2.5","+12"
"75","18","2019-03-27","25-027","LAL","@","UTA","L (-15)","0","26:11","5","10",".500","2","4",".500","1","2",".500","0","1","1","4","1","0","1","5","13","8.7","+2"
"76","19","2019-03-29","25-029","LAL","","CHO","W (+14)","0","17:47","3","6",".500","1","3",".333","0","0","","0","1","1","1","1","0","3","1","7","2.6","0"
"77","20","2019-03-31","25-031","LAL","@","NOP","W (+28)","0","28:50","7","11",".636","4","4","1.000","5","6",".833","2","1","3","6","4","0","2","3","23","24.4","+24"
"78","21","2019-04-02","25-033","LAL","@","OKC","L (-16)","0","29:10","5","9",".556","1","1","1.000","4","6",".667","0","2","2","7","2","0","5","2","15","11.6","-2"
"79","22","2019-04-04","25-035","LAL","","GSW","L (-18)","1","37:12","4","14",".286","1","3",".333","0","0","","2","3","5","6","1","0","3","0","9","5.3","-18"
"80","23","2019-04-05","25-036","LAL","@","LAC","W (+5)","1","38:11","10","19",".526","5","7",".714","7","7","1.000","2","8","10","5","2","1","3","2","32","28.9","+2"
"81","24","2019-04-07","25-038","LAL","","UTA","W (+4)","1","42:58","8","20",".400","0","3",".000","2","4",".500","0","0","0","11","1","0","5","5","18","8.1","+1"
"82","25","2019-04-09","25-040","LAL","","POR","L (-3)","1","40:34","5","16",".313","0","2",".000","2","2","1.000","2","5","7","13","1","1","7","3","12","8.3","+2"
