"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","31-168","PHI","@","BOS","L (-18)","0","11:11","1","1","1.000","0","0","","3","4",".750","0","3","3","1","0","0","0","1","5","5.5","-10"
"2","2","2018-10-18","31-170","PHI","","CHI","W (+19)","0","15:09","6","9",".667","0","1",".000","1","1","1.000","1","2","3","1","0","0","1","4","13","8.5","-7"
"3","3","2018-10-20","31-172","PHI","","ORL","W (+1)","0","14:23","4","4","1.000","0","0","","0","0","","2","4","6","3","1","1","2","1","8","10.8","+9"
"4","4","2018-10-23","31-175","PHI","@","DET","L (-1)","0","13:00","3","5",".600","0","0","","0","2",".000","1","3","4","1","0","0","2","3","6","2.0","-7"
"5","5","2018-10-24","31-176","PHI","@","MIL","L (-15)","0","6:48","0","0","","0","0","","2","2","1.000","0","2","2","0","0","0","0","1","2","2.2","-6"
"6","6","2018-10-27","31-179","PHI","","CHO","W (+2)","0","6:13","0","0","","0","0","","2","2","1.000","1","1","2","1","0","0","0","2","2","2.9","+4"
"7","7","2018-10-29","31-181","PHI","","ATL","W (+21)","0","14:37","1","2",".500","0","0","","0","0","","1","5","6","3","0","1","0","2","2","5.2","+6"
"8","8","2018-10-30","31-182","PHI","@","TOR","L (-17)","0","11:59","2","4",".500","0","1",".000","1","2",".500","2","4","6","1","1","1","4","1","5","3.2","-4"
"9","9","2018-11-01","31-184","PHI","","LAC","W (+9)","0","11:53","2","3",".667","0","0","","1","1","1.000","0","3","3","1","0","0","2","2","5","2.5","-6"
"10","10","2018-11-03","31-186","PHI","","DET","W (+10)","0","14:12","1","3",".333","0","0","","4","4","1.000","1","2","3","3","1","0","1","3","6","6.5","+9"
"11","11","2018-11-04","31-187","PHI","@","BRK","L (-25)","0","6:58","1","2",".500","1","1","1.000","0","0","","0","1","1","1","0","0","2","5","3","-1.0","-9"
"12","12","2018-11-07","31-190","PHI","@","IND","W (+6)","0","5:09","1","2",".500","0","0","","0","0","","0","2","2","0","0","0","2","2","2","-1.2","+2"
"13","13","2018-11-09","31-192","PHI","","CHO","W (+1)","0","5:41","2","3",".667","0","0","","0","0","","1","1","2","1","0","1","0","1","4","4.7","-10"
"14","14","2018-11-10","31-193","PHI","@","MEM","L (-6)","0","13:38","3","4",".750","1","1","1.000","0","0","","1","3","4","1","0","1","1","5","7","5.4","-10"
"15","15","2018-11-12","31-195","PHI","@","MIA","W (+10)","0","2:00","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","+2"
"16","16","2018-11-14","31-197","PHI","@","ORL","L (-5)","0","6:24","0","0","","0","0","","0","0","","0","1","1","2","0","0","1","0","0","0.7","-1"
"17","17","2018-11-16","31-199","PHI","","UTA","W (+6)","0","14:10","4","9",".444","2","3",".667","1","2",".500","4","1","5","3","0","0","1","4","11","8.5","-12"
"18","18","2018-11-17","31-200","PHI","@","CHO","W (+3)","0","9:46","2","3",".667","1","2",".500","1","1","1.000","1","3","4","0","0","0","2","1","6","3.9","-1"
"19","19","2018-11-19","31-202","PHI","","PHO","W (+5)","0","6:16","0","2",".000","0","0","","0","0","","0","4","4","0","0","0","1","2","0","-2.0","-9"
"20","20","2018-11-21","31-204","PHI","","NOP","W (+1)","0","11:51","0","1",".000","0","0","","2","2","1.000","0","0","0","4","0","1","2","2","2","2.0","+15"
"21","21","2018-11-23","31-206","PHI","","CLE","L (-9)","0","13:41","1","3",".333","0","1",".000","0","0","","2","2","4","1","0","0","1","0","2","2.0","+6"
"23","22","2018-11-28","31-211","PHI","","NYK","W (+26)","0","8:30","2","3",".667","0","0","","0","0","","0","2","2","2","1","1","0","1","4","6.0","-1"
"24","23","2018-11-30","31-213","PHI","","WAS","W (+25)","0","14:42","2","4",".500","1","2",".500","0","0","","1","4","5","1","0","0","1","1","5","4.2","-4"
