"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-068","DET","","BRK","W (+3)","1","32:12","10","21",".476","1","3",".333","3","4",".750","9","11","20","2","0","1","4","5","24","18.6","-9",".527",".500","28.0","44.3","35.1","12.4","0.0","2.7","14.9","34.5","106","98"
"2","2","2018-10-20","25-071","DET","@","CHI","W (+2)","1","23:33","5","13",".385","0","2",".000","0","0","","4","9","13","0","0","1","1","6","10","5.7","0",".385",".385","15.1","51.0","29.4","0.0","0.0","3.1","7.1","23.8","93","112"
"3","3","2018-10-23","25-074","DET","","PHI","W (+1)","1","35:33","6","20",".300","0","2",".000","2","4",".500","5","11","16","2","3","2","5","4","14","7.6","+4",".322",".300","14.3","39.0","25.4","7.1","4.0","5.4","18.7","31.2","71","105"
"4","4","2018-10-25","25-076","DET","","CLE","W (+7)","1","36:38","11","17",".647","0","0","","4","6",".667","6","16","22","0","0","1","5","4","26","20.8","+10",".662",".647","21.8","49.9","37.0","0.0","0.0","2.0","20.3","29.1","114","104"
"5","5","2018-10-27","25-078","DET","","BOS","L (-20)","1","29:26","8","12",".667","0","0","","2","4",".500","2","6","8","1","0","2","3","4","18","12.7","-17",".654",".667","6.3","20.0","12.9","8.2","0.0","6.3","17.9","25.1","106","105"
"6","6","2018-10-30","25-081","DET","@","BOS","L (-3)","1","31:15","8","17",".471","0","0","","1","4",".250","4","8","12","2","2","1","0","4","17","14.8","+1",".453",".471","12.5","26.1","19.2","12.4","3.0","2.9","0.0","24.7","107","98"
"7","7","2018-10-31","25-082","DET","@","BRK","L (-1)","1","37:54","8","14",".571","0","1",".000","8","10",".800","10","13","23","1","1","2","4","2","24","25.8","-11",".652",".571","27.4","30.8","29.2","5.0","1.3","4.4","17.9","24.8","126","101"
"8","8","2018-11-03","25-085","DET","@","PHI","L (-10)","1","20:46","3","8",".375","0","1",".000","2","5",".400","1","8","9","1","0","1","1","5","8","3.9","+3",".392",".375","4.7","46.2","23.4","8.9","0.0","5.8","8.9","21.9","80","101"
"9","9","2018-11-05","25-087","DET","","MIA","L (-5)","1","44:05","11","19",".579","0","0","","3","9",".333","11","13","24","3","1","1","4","3","25","23.9","+6",".544",".579","21.3","32.6","26.2","12.1","1.0","1.8","14.8","23.8","108","102"
"10","10","2018-11-07","25-089","DET","@","ORL","W (+7)","1","35:08","10","16",".625","1","1","1.000","2","2","1.000","8","11","19","2","3","1","2","0","23","27.8","-8",".681",".656","23.3","34.9","28.8","11.7","4.0","2.3","10.6","21.9","136","86"
"11","11","2018-11-09","25-091","DET","@","ATL","W (+15)","1","32:35","10","15",".667","0","1",".000","3","7",".429","5","6","11","1","1","4","3","5","23","19.7","+22",".636",".667","13.6","20.6","16.7","4.7","1.4","11.6","14.2","26.9","115","100"
"12","12","2018-11-11","25-093","DET","","CHO","L (-10)","1","36:41","9","16",".563","0","0","","5","7",".714","9","13","22","3","3","2","2","5","23","27.3","+4",".603",".563","19.0","48.6","29.7","15.0","4.1","4.6","9.5","22.5","130","103"
"13","13","2018-11-14","25-096","DET","@","TOR","W (+2)","1","35:56","5","13",".385","0","0","","1","4",".250","4","8","12","2","0","1","1","3","11","7.8","-3",".373",".385","12.1","24.3","18.2","7.2","0.0","1.9","6.3","18.5","89","100"
"14","14","2018-11-19","25-101","DET","","CLE","W (+11)","1","38:40","10","19",".526","0","1",".000","3","3","1.000","7","9","16","3","0","3","0","3","23","24.3","+11",".566",".526","22.9","23.3","23.1","13.0","0.0","6.4","0.0","23.5","142","109"
"15","15","2018-11-21","25-103","DET","@","HOU","L (-2)","1","27:45","8","12",".667","1","2",".500","3","9",".333","6","5","11","1","0","1","2","5","20","15.5","+8",".627",".708","22.6","32.0","26.1","6.6","0.0","4.4","11.1","26.5","125","130"
"16","16","2018-11-23","25-105","DET","","HOU","W (+5)","1","44:15","9","18",".500","0","1",".000","5","8",".625","9","11","20","1","3","5","1","1","23","28.2","+16",".534",".500","26.3","25.3","25.8","4.1","3.6","9.7","4.4","22.7","127","98"
"17","17","2018-11-25","25-107","DET","","PHO","W (+11)","1","30:41","9","14",".643","0","0","","1","8",".125","7","9","16","1","5","0","3","4","19","18.7","-3",".542",".643","24.3","37.1","30.2","5.4","8.0","0.0","14.6","27.7","102","91"
"18","18","2018-11-27","25-109","DET","","NYK","W (+7)","1","30:12","3","9",".333","0","0","","0","4",".000","5","9","14","0","1","2","5","2","6","2.1","-13",".279",".333","18.1","26.5","22.7","0.0","1.5","5.0","31.7","22.2","58","97"
"19","19","2018-11-30","25-112","DET","","CHI","W (+19)","1","29:55","9","16",".563","0","0","","1","2",".500","8","12","20","2","2","4","2","3","19","23.2","+24",".563",".563","27.9","41.9","34.9","12.1","3.3","9.9","10.6","27.0","120","73"
