"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2019-03-18","34-110","GSW","@","SAS","L (-6)","1","19:05","3","4",".750","0","0","","1","1","1.000","0","7","7","1","1","0","1","3","7","7.0","-2",".788",".750","0.0","38.3","19.8","7.5","2.6","0.0","18.4","12.9","125","108"
"6","2","2019-03-19","34-111","GSW","@","MIN","W (+10)","1","12:59","1","4",".250","0","0","","0","0","","2","4","6","3","0","0","1","3","2","2.1","-9",".250",".250","15.7","29.0","22.6","27.5","0.0","0.0","20.0","16.8","93","105"
"7","3","2019-03-21","34-113","GSW","","IND","W (+23)","0","9:00","1","8",".125","0","0","","2","2","1.000","4","3","7","1","0","0","1","2","4","1.4","-12",".225",".125","47.4","30.8","38.5","13.8","0.0","0.0","10.1","47.5","76","88"
"9","4","2019-03-24","34-116","GSW","","DET","W (+7)","1","23:57","4","5",".800","0","0","","0","0","","0","5","5","3","0","3","0","3","8","10.6","0",".800",".800","0.0","25.1","15.2","15.8","0.0","11.3","0.0","10.5","175","122"
"10","5","2019-03-27","34-119","GSW","@","MEM","W (+15)","0","6:34","0","0","","0","0","","0","0","","0","2","2","1","0","0","0","0","0","1.3","-6","","","0.0","24.8","15.1","16.2","0.0","0.0","","0.0","233","106"
"11","6","2019-03-29","34-121","GSW","@","MIN","L (-1)","0","1:34","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","0","","","0.0","65.1","32.5","0.0","0.0","0.0","","0.0","0","102"
"12","7","2019-03-31","34-123","GSW","","CHO","W (+47)","0","11:08","3","4",".750","0","0","","0","0","","1","7","8","0","0","1","0","2","6","7.1","+20",".750",".750","13.9","64.2","44.2","0.0","0.0","8.1","0.0","15.9","159","81"
"13","8","2019-04-02","34-125","GSW","","DEN","W (+14)","0","3:54","2","3",".667","0","0","","0","0","","1","2","3","1","0","0","0","1","4","4.3","+7",".667",".667","30.0","45.6","38.9","48.5","0.0","0.0","0.0","30.9","153","92"
"15","9","2019-04-05","34-128","GSW","","CLE","W (+6)","1","20:57","3","6",".500","0","0","","0","0","","2","5","7","0","0","1","0","4","6","5.0","+15",".500",".500","11.5","24.9","18.6","0.0","0.0","3.4","0.0","13.3","115","115"
"16","10","2019-04-07","34-130","GSW","","LAC","W (+27)","0","7:29","1","1","1.000","0","0","","0","0","","1","2","3","0","1","1","0","3","2","3.5","+13","1.000","1.000","14.6","29.8","22.1","0.0","6.3","10.7","0.0","5.7","209","83"
"18","11","2019-04-10","34-133","GSW","@","MEM","L (-15)","1","17:46","0","1",".000","0","0","","0","0","","1","5","6","1","1","2","5","1","0","-0.8","-15",".000",".000","6.3","30.0","18.4","5.9","2.7","10.4","83.3","14.5","22","117"
