"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","23-236","MIN","@","SAS","L (-4)","1","37:27","8","18",".444","2","6",".333","2","2","1.000","0","6","6","3","1","0","2","3","20","12.3","0",".530",".500","0.0","15.1","7.8","13.4","1.3","0.0","9.6","23.5","106","117"
"2","2","2018-10-19","23-238","MIN","","CLE","W (+8)","1","36:32","8","21",".381","1","5",".200","5","5","1.000","2","1","3","2","3","0","1","2","22","14.8","-1",".474",".405","6.7","3.0","4.7","7.8","3.8","0.0","4.1","27.6","105","119"
"3","3","2018-10-20","23-239","MIN","@","DAL","L (-4)","1","27:17","5","9",".556","2","4",".500","7","9",".778","0","3","3","2","1","0","3","6","19","11.8","+8",".733",".667","0.0","12.6","7.0","10.0","1.6","0.0","18.8","23.7","123","130"
"4","4","2018-10-22","23-241","MIN","","IND","W (+10)","1","8:05","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.0","+2",".333",".333","0.0","0.0","0.0","19.8","0.0","0.0","0.0","16.1","82","104"
"8","5","2018-10-31","23-250","MIN","","UTA","W (+3)","1","37:41","8","17",".471","3","5",".600","0","1",".000","1","5","6","1","2","1","2","3","19","12.3","-9",".545",".559","3.6","11.8","8.6","3.2","2.5","1.9","10.3","22.2","104","120"
"9","6","2018-11-02","23-252","MIN","@","GSW","L (-17)","1","36:49","9","23",".391","4","9",".444","0","0","","0","4","4","0","2","1","1","2","22","11.6","-10",".478",".478","0.0","12.1","5.2","0.0","2.6","2.4","4.2","27.9","85","113"
"10","7","2018-11-04","23-254","MIN","@","POR","L (-30)","1","30:56","6","16",".375","2","4",".500","3","4",".750","0","1","1","1","3","0","1","2","17","10.0","-29",".479",".438","0.0","3.7","1.5","7.9","4.8","0.0","5.3","25.7","93","114"
"11","8","2018-11-05","23-255","MIN","@","LAC","L (-11)","1","34:26","4","16",".250","2","7",".286","3","4",".750","0","6","6","2","1","2","2","3","13","5.4","-8",".366",".313","0.0","19.5","10.3","8.1","1.5","4.9","10.1","25.2","75","123"
"12","9","2018-11-07","23-257","MIN","@","LAL","L (-4)","1","40:58","8","14",".571","3","7",".429","0","0","","1","3","4","5","3","1","1","3","19","19.0","+6",".679",".679","2.5","8.6","5.4","18.5","3.6","2.1","6.7","16.0","141","115"
"14","10","2018-11-12","23-262","MIN","","BRK","W (+7)","1","37:30","5","12",".417","2","3",".667","1","2",".500","1","5","6","3","1","1","2","2","13","9.4","+7",".505",".500","4.0","10.3","8.2","10.8","1.2","2.5","13.4","16.3","102","112"
"15","11","2018-11-14","23-264","MIN","","NOP","W (+7)","1","38:03","8","22",".364","4","9",".444","3","5",".600","3","3","6","4","3","1","2","1","23","17.1","-5",".475",".455","8.1","8.2","8.1","18.8","3.6","1.9","7.6","28.6","100","96"
"16","12","2018-11-16","23-266","MIN","","POR","W (+16)","1","37:12","9","21",".429","3","8",".375","2","2","1.000","0","5","5","4","2","1","2","1","23","16.5","+17",".526",".500","0.0","14.3","7.1","15.0","2.6","2.2","8.4","28.3","102","96"
"17","13","2018-11-18","23-268","MIN","","MEM","L (-13)","1","33:02","6","18",".333","1","4",".250","1","2",".500","0","2","2","4","0","0","4","4","14","1.2","-15",".371",".361","0.0","5.9","3.2","26.1","0.0","0.0","17.5","31.1","71","114"
"18","14","2018-11-21","23-271","MIN","","DEN","L (-2)","1","30:22","6","15",".400","1","5",".200","0","0","","1","4","5","2","0","0","3","3","13","4.0","-6",".433",".433","4.1","15.4","9.9","12.4","0.0","0.0","16.7","26.5","78","114"
"19","15","2018-11-23","23-273","MIN","@","BRK","W (+10)","1","35:01","4","14",".286","1","4",".250","0","0","","1","1","2","2","1","0","0","2","9","3.4","+17",".321",".321","3.0","3.6","3.3","7.1","1.4","0.0","0.0","18.0","79","116"
"20","16","2018-11-24","23-274","MIN","","CHI","W (+15)","1","28:31","0","12",".000","0","4",".000","0","0","","0","1","1","1","0","0","1","0","0","-8.4","0",".000",".000","0.0","3.8","1.7","4.0","0.0","0.0","7.7","17.4","6","104"
"21","17","2018-11-26","23-276","MIN","@","CLE","W (+7)","1","28:06","4","11",".364","1","4",".250","2","2","1.000","0","3","3","3","2","2","0","0","11","11.3","+1",".463",".409","0.0","12.8","6.5","15.5","3.7","6.2","0.0","19.8","108","96"
"22","18","2018-11-28","23-278","MIN","","SAS","W (+39)","1","29:40","3","15",".200","1","5",".200","3","4",".750","2","1","3","1","2","0","2","3","10","1.5","+19",".298",".233","6.9","3.4","5.2","3.6","3.3","0.0","10.7","26.7","71","96"
