"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-220","NOP","@","HOU","W (+19)","1","39:07","13","21",".619","0","0","","6","7",".857","2","14","16","8","3","3","1","5","32","35.4","+23"
"2","2","2018-10-19","25-222","NOP","","SAC","W (+20)","1","26:45","8","12",".667","1","1","1.000","8","12",".667","4","6","10","6","2","2","4","1","25","26.0","+21"
"3","3","2018-10-23","25-226","NOP","","LAC","W (+7)","1","40:09","11","21",".524","2","3",".667","10","15",".667","5","8","13","2","1","5","0","3","34","32.3","+15"
"4","4","2018-10-26","25-229","NOP","","BRK","W (+2)","1","37:39","6","19",".316","1","3",".333","5","7",".714","4","10","14","3","4","5","1","4","18","19.1","+5"
"7","5","2018-10-31","25-234","NOP","@","GSW","L (-10)","1","41:17","6","16",".375","1","4",".250","4","5",".800","3","9","12","7","0","1","2","3","17","15.0","-5"
"9","6","2018-11-03","25-237","NOP","@","SAS","L (-14)","1","39:41","5","13",".385","0","2",".000","7","10",".700","0","8","8","3","2","5","3","3","17","14.5","-5"
"10","7","2018-11-05","25-239","NOP","@","OKC","L (-6)","1","37:56","7","20",".350","0","1",".000","6","7",".857","4","4","8","1","0","1","5","2","20","8.0","-18"
"11","8","2018-11-07","25-241","NOP","","CHI","W (+9)","1","37:03","13","24",".542","2","4",".500","4","7",".571","2","13","15","7","1","4","4","2","32","28.4","+8"
"12","9","2018-11-10","25-244","NOP","","PHO","W (+20)","1","36:07","7","18",".389","0","2",".000","12","12","1.000","4","9","13","6","1","2","1","2","26","26.5","+26"
"13","10","2018-11-12","25-246","NOP","@","TOR","W (+16)","1","39:43","11","20",".550","1","2",".500","2","2","1.000","8","12","20","6","0","2","4","4","25","24.6","+17"
"14","11","2018-11-14","25-248","NOP","@","MIN","L (-7)","1","40:47","9","25",".360","2","3",".667","9","10",".900","2","9","11","2","2","4","0","2","29","24.2","+6"
"15","12","2018-11-16","25-250","NOP","","NYK","W (+5)","1","40:23","16","25",".640","1","4",".250","10","15",".667","4","13","17","5","1","1","2","2","43","39.0","+10"
"16","13","2018-11-17","25-251","NOP","","DEN","W (+10)","1","37:43","10","20",".500","0","1",".000","20","21",".952","4","4","8","8","0","1","0","4","40","38.3","+11"
"17","14","2018-11-19","25-253","NOP","","SAS","W (+14)","1","32:09","13","22",".591","0","1",".000","3","3","1.000","3","6","9","4","2","2","2","1","29","26.5","+7"
"18","15","2018-11-21","25-255","NOP","@","PHI","L (-1)","1","40:59","4","13",".308","0","2",".000","4","7",".571","6","10","16","6","5","5","6","3","12","16.0","-7"
"19","16","2018-11-23","25-257","NOP","@","NYK","L (-5)","1","32:01","12","19",".632","1","1","1.000","8","10",".800","3","8","11","4","0","0","0","3","33","29.8","-6"
"21","17","2018-11-26","25-260","NOP","","BOS","L (-17)","1","37:15","8","19",".421","0","2",".000","11","12",".917","4","12","16","5","3","3","5","2","27","25.7","-12"
"22","18","2018-11-28","25-262","NOP","","WAS","W (+21)","1","34:24","9","21",".429","2","6",".333","8","9",".889","4","11","15","3","1","2","3","1","28","23.7","+23"
"23","19","2018-11-30","25-264","NOP","@","MIA","L (-5)","1","41:00","15","23",".652","2","5",".400","9","10",".900","1","8","9","2","1","4","2","2","41","36.0","+9"
"24","20","2018-12-02","25-266","NOP","@","CHO","W (+10)","1","37:18","14","19",".737","2","3",".667","6","6","1.000","4","15","19","8","2","2","4","4","36","39.0","+14"
"25","21","2018-12-03","25-267","NOP","","LAC","L (-3)","1","38:47","10","18",".556","0","4",".000","3","4",".750","3","10","13","5","3","3","2","3","23","24.5","+5"
"26","22","2018-12-05","25-269","NOP","","DAL","W (+26)","1","33:39","10","20",".500","2","2","1.000","5","6",".833","0","4","4","9","2","5","2","2","27","26.8","+12"
"27","23","2018-12-07","25-271","NOP","","MEM","L (-4)","1","35:51","10","21",".476","0","5",".000","5","5","1.000","2","9","11","3","2","4","3","4","25","20.7","-9"
