"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","22-014","CHI","@","PHI","L (-19)","0","30:27","6","16",".375","1","3",".333","2","3",".667","0","5","5","2","0","0","1","2","15","6.9","+6"
"2","2","2018-10-20","22-016","CHI","","DET","L (-2)","0","21:30","5","6",".833","0","0","","0","0","","0","4","4","0","1","0","0","0","10","10.0","0"
"3","3","2018-10-22","22-018","CHI","@","DAL","L (-6)","0","4:32","1","2",".500","1","1","1.000","0","2",".000","0","0","0","0","0","0","0","0","3","1.2","+6"
"4","4","2018-10-24","22-020","CHI","","CHO","W (+2)","0","8:53","1","2",".500","0","1",".000","2","3",".667","0","0","0","1","0","0","0","1","4","2.9","+12"
"5","5","2018-10-26","22-022","CHI","@","CHO","L (-29)","0","22:10","5","10",".500","2","5",".400","1","2",".500","0","2","2","0","0","2","0","2","13","8.8","-6"
"6","6","2018-10-27","22-023","CHI","@","ATL","W (+12)","0","15:12","4","8",".500","1","2",".500","0","0","","0","2","2","0","0","0","1","2","9","3.8","0"
"7","7","2018-10-29","22-025","CHI","","GSW","L (-25)","0","21:06","7","12",".583","4","6",".667","3","4",".750","1","1","2","1","0","0","0","1","21","16.3","+10"
"8","8","2018-10-31","22-027","CHI","","DEN","L (-1)","0","13:40","5","9",".556","4","4","1.000","1","3",".333","0","3","3","0","0","0","1","0","15","9.8","-4"
"9","9","2018-11-02","22-029","CHI","","IND","L (-2)","0","25:32","9","13",".692","3","5",".600","1","1","1.000","0","3","3","0","0","0","1","0","22","16.4","+6"
"10","10","2018-11-03","22-030","CHI","","HOU","L (-8)","0","9:54","0","6",".000","0","2",".000","2","2","1.000","0","2","2","1","0","0","0","0","2","-0.9","-6"
"11","11","2018-11-05","22-032","CHI","@","NYK","W (+1)","0","20:08","6","13",".462","1","5",".200","4","5",".800","0","1","1","0","2","1","1","2","17","11.1","-4"
"12","12","2018-11-07","22-034","CHI","@","NOP","L (-9)","0","16:34","3","11",".273","0","3",".000","0","0","","0","3","3","1","1","0","1","0","6","1.1","+1"
"13","13","2018-11-10","22-037","CHI","","CLE","W (+1)","0","19:16","4","12",".333","1","1","1.000","0","0","","1","2","3","2","0","0","1","0","9","3.9","+9"
"14","14","2018-11-12","22-039","CHI","","DAL","L (-5)","0","18:39","3","7",".429","1","1","1.000","2","2","1.000","1","0","1","0","1","0","2","2","9","4.2","-18"
"15","15","2018-11-14","22-041","CHI","@","BOS","L (-29)","0","18:29","3","10",".300","1","4",".250","0","0","","0","1","1","1","0","1","4","4","7","-2.7","-13"
"16","16","2018-11-16","22-043","CHI","@","MIL","L (-19)","0","20:45","8","14",".571","2","4",".500","0","0","","0","2","2","1","0","0","1","1","18","11.3","-7"
"17","17","2018-11-17","22-044","CHI","","TOR","L (-39)","0","32:34","6","19",".316","0","2",".000","1","2",".500","1","2","3","1","0","0","4","0","13","-0.3","-30"
"18","18","2018-11-21","22-048","CHI","","PHO","W (+8)","0","24:37","6","10",".600","2","3",".667","0","0","","0","1","1","0","0","0","2","0","14","7.7","0"
"19","19","2018-11-23","22-050","CHI","","MIA","L (-7)","0","18:12","0","6",".000","0","1",".000","0","0","","0","3","3","1","2","0","0","0","0","-0.6","-11"
"20","20","2018-11-24","22-051","CHI","@","MIN","L (-15)","0","19:32","2","7",".286","2","4",".500","2","4",".500","0","2","2","0","0","0","0","1","8","3.3","-17"
"21","21","2018-11-26","22-053","CHI","","SAS","L (-1)","0","2:46","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","-6"
"23","22","2018-11-30","22-057","CHI","@","DET","L (-19)","0","3:24","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","0.3","-1"
"24","23","2018-12-01","22-058","CHI","@","HOU","L (-16)","0","3:57","2","2","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","4","3.7","+4"
"27","24","2018-12-08","22-065","CHI","","BOS","L (-56)","0","18:10","1","9",".111","0","0","","2","2","1.000","0","0","0","1","0","0","1","0","4","-2.2","-27"
"31","25","2018-12-17","22-074","CHI","@","OKC","L (-25)","0","6:12","0","0","","0","0","","2","3",".667","0","0","0","0","0","0","0","0","2","1.6","+1"
"33","26","2018-12-21","22-078","CHI","","ORL","W (+10)","0","11:41","0","4",".000","0","0","","1","2",".500","1","2","3","0","1","0","0","1","1","-0.3","+14"
"34","27","2018-12-23","22-080","CHI","@","CLE","W (+20)","0","13:33","2","6",".333","0","1",".000","4","4","1.000","0","3","3","2","0","1","1","1","8","6.2","+8"
"35","28","2018-12-26","22-083","CHI","","MIN","L (-25)","0","4:57","3","5",".600","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","7","5.0","-2"
"36","29","2018-12-28","22-085","CHI","@","WAS","W (+9)","0","3:13","1","3",".333","0","0","","0","0","","0","1","1","0","0","0","0","0","2","0.6","+1"
"38","30","2019-01-02","22-090","CHI","","ORL","L (-28)","0","24:26","5","12",".417","1","1","1.000","0","2",".000","0","4","4","1","0","0","1","0","11","4.7","-10"
"39","31","2019-01-04","22-092","CHI","","IND","L (-3)","0","19:53","5","9",".556","1","3",".333","2","2","1.000","0","3","3","0","2","0","0","1","13","11.2","+3"
"40","32","2019-01-06","22-094","CHI","","BRK","L (-17)","0","12:58","0","3",".000","0","1",".000","0","0","","0","1","1","1","0","1","0","2","0","-1.2","-8"
"41","33","2019-01-09","22-097","CHI","@","POR","L (-12)","0","19:53","5","10",".500","0","1",".000","2","2","1.000","0","1","1","1","0","0","0","1","12","7.6","-8"
"42","34","2019-01-11","22-099","CHI","@","GSW","L (-37)","0","13:26","4","7",".571","1","1","1.000","3","4",".750","0","0","0","1","0","0","0","1","12","8.6","-1"
"45","35","2019-01-17","22-105","CHI","@","DEN","L (-30)","0","9:08","2","4",".500","2","3",".667","0","0","","0","0","0","0","0","1","2","0","6","2.7","-3"
"47","36","2019-01-21","22-109","CHI","@","CLE","W (+16)","0","2:38","0","2",".000","0","0","","1","2",".500","0","1","1","0","0","0","0","0","1","-0.5","-3"
