"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","31-311","BOS","","PHI","W (+18)","0","19:14","3","7",".429","2","4",".500","0","0","","3","1","4","3","0","0","1","3","8","6.6","+8"
"2","2","2018-10-19","31-314","BOS","@","TOR","L (-12)","0","14:34","2","8",".250","0","2",".000","1","2",".500","4","2","6","0","0","1","1","1","5","2.5","-2"
"3","3","2018-10-20","31-315","BOS","@","NYK","W (+2)","1","11:39","3","5",".600","1","2",".500","3","3","1.000","3","2","5","0","0","0","0","1","10","10.0","+15"
"7","4","2018-10-30","31-325","BOS","","DET","W (+3)","0","12:09","3","5",".600","1","2",".500","2","2","1.000","0","5","5","1","0","0","0","4","9","7.3","+9"
"8","5","2018-11-01","31-327","BOS","","MIL","W (+4)","0","15:34","1","5",".200","1","5",".200","2","4",".500","0","3","3","2","0","0","0","1","5","3.0","-4"
"9","6","2018-11-03","31-329","BOS","@","IND","L (-1)","0","19:21","2","3",".667","2","3",".667","0","0","","0","1","1","0","0","0","0","4","6","3.4","+3"
"10","7","2018-11-05","31-331","BOS","@","DEN","L (-8)","0","10:33","1","2",".500","0","1",".000","0","0","","0","2","2","1","0","1","0","3","2","1.8","-7"
"11","8","2018-11-08","31-334","BOS","@","PHO","W (+7)","0","7:59","1","6",".167","0","1",".000","2","2","1.000","4","0","4","0","0","0","1","0","4","2.0","-11"
"12","9","2018-11-09","31-335","BOS","@","UTA","L (-8)","0","14:55","2","3",".667","0","1",".000","1","1","1.000","1","1","2","1","0","0","1","1","5","4.0","+3"
"13","10","2018-11-11","31-337","BOS","@","POR","L (-6)","0","8:50","1","1","1.000","0","0","","0","0","","0","2","2","0","1","0","1","1","2","1.9","-16"
"14","11","2018-11-14","31-340","BOS","","CHI","W (+29)","0","18:35","3","9",".333","2","5",".400","1","1","1.000","2","9","11","3","1","2","0","1","9","12.1","+19"
"15","12","2018-11-16","31-342","BOS","","TOR","W (+7)","0","17:46","1","3",".333","0","0","","4","4","1.000","2","2","4","4","0","1","0","3","6","8.6","+12"
