"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-325","LAC","","DEN","L (-9)","1","27:56","4","10",".400","0","2",".000","0","0","","2","0","2","0","1","2","2","2","8","3.6","-9"
"2","2","2018-10-19","27-327","LAC","","OKC","W (+16)","1","28:52","1","8",".125","1","5",".200","0","0","","1","1","2","2","1","0","1","3","3","-1.0","0"
"3","3","2018-10-21","27-329","LAC","","HOU","W (+3)","1","24:07","2","5",".400","0","1",".000","0","0","","0","1","1","3","1","0","0","3","4","3.5","-21"
"4","4","2018-10-23","27-331","LAC","@","NOP","L (-7)","1","28:30","1","8",".125","0","2",".000","0","0","","1","1","2","0","0","0","1","3","2","-4.4","-6"
"5","5","2018-10-26","27-334","LAC","@","HOU","W (+20)","1","24:57","6","10",".600","1","3",".333","1","1","1.000","0","3","3","0","1","0","2","3","14","8.1","+10"
"6","6","2018-10-28","27-336","LAC","","WAS","W (+32)","1","23:10","6","12",".500","3","6",".500","0","0","","1","0","1","5","0","1","2","4","15","10.3","+13"
"7","7","2018-10-30","27-338","LAC","@","OKC","L (-18)","1","30:09","4","10",".400","1","4",".250","0","0","","0","3","3","2","1","0","2","5","9","2.9","-11"
"8","8","2018-11-01","27-340","LAC","@","PHI","L (-9)","1","36:20","1","6",".167","0","1",".000","0","0","","1","1","2","1","1","0","2","1","2","-1.5","+4"
"9","9","2018-11-02","27-341","LAC","@","ORL","W (+25)","1","23:08","3","11",".273","1","3",".333","0","0","","1","0","1","1","0","0","2","1","7","-0.5","+8"
"16","10","2018-11-19","27-358","LAC","@","ATL","W (+8)","1","19:30","2","7",".286","0","2",".000","1","1","1.000","0","0","0","0","1","0","0","4","5","0.3","-2"
"17","11","2018-11-20","27-359","LAC","@","WAS","L (-7)","1","31:54","2","3",".667","0","1",".000","0","0","","0","1","1","0","0","0","3","3","4","-1.2","-8"
