"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","23-250","CHI","@","PHI","L (-19)","1","33:06","8","15",".533","3","6",".500","1","2",".500","2","9","11","2","1","1","0","4","20","17.9","-3"
"2","2","2018-10-20","23-252","CHI","","DET","L (-2)","1","29:21","2","12",".167","0","4",".000","2","4",".500","2","12","14","5","1","0","2","3","6","3.9","+9"
"3","3","2018-10-22","23-254","CHI","@","DAL","L (-6)","1","30:33","5","9",".556","0","0","","2","3",".667","1","7","8","0","0","2","2","4","12","7.9","-1"
"4","4","2018-10-24","23-256","CHI","","CHO","W (+2)","1","19:48","2","5",".400","0","1",".000","0","0","","1","6","7","1","0","1","1","3","4","3.0","-7"
"28","5","2018-12-10","23-303","CHI","","SAC","L (-19)","0","18:38","3","8",".375","1","2",".500","2","2","1.000","2","6","8","1","0","1","1","2","9","7.4","-9"
"29","6","2018-12-13","23-306","CHI","@","ORL","L (-6)","0","21:58","6","11",".545","1","2",".500","2","4",".500","0","7","7","1","1","0","0","2","15","11.9","+4"
"30","7","2018-12-15","23-308","CHI","@","SAS","W (+5)","0","19:04","4","12",".333","0","3",".000","1","2",".500","2","2","4","0","0","1","1","2","9","2.7","-11"
"31","8","2018-12-17","23-310","CHI","@","OKC","L (-25)","0","22:50","7","14",".500","1","4",".250","1","1","1.000","0","2","2","0","0","0","5","3","16","3.4","-11"
"32","9","2018-12-19","23-312","CHI","","BRK","L (-3)","0","24:14","6","18",".333","0","2",".000","4","4","1.000","3","8","11","1","1","1","1","1","16","11.3","-4"
"40","10","2019-01-06","23-330","CHI","","BRK","L (-17)","0","19:41","6","11",".545","3","4",".750","2","4",".500","3","2","5","0","0","0","1","1","17","12.2","-10"
"41","11","2019-01-09","23-333","CHI","@","POR","L (-12)","0","18:56","6","12",".500","3","6",".500","0","0","","3","3","6","0","0","0","3","1","15","8.6","-14"
"42","12","2019-01-11","23-335","CHI","@","GSW","L (-37)","0","16:58","4","7",".571","1","1","1.000","7","8",".875","1","3","4","1","2","0","1","0","16","15.6","-23"
"44","13","2019-01-15","23-339","CHI","@","LAL","L (-7)","0","16:53","1","11",".091","0","4",".000","0","0","","2","5","7","3","0","0","0","4","2","-1.9","-4"
"45","14","2019-01-17","23-341","CHI","@","DEN","L (-30)","1","27:49","4","13",".308","1","2",".500","1","2",".500","7","6","13","4","0","0","1","2","10","9.8","-25"
"46","15","2019-01-19","23-343","CHI","","MIA","L (-14)","0","24:05","8","12",".667","2","3",".667","3","3","1.000","2","4","6","2","1","0","2","4","21","17.2","-12"
"47","16","2019-01-21","23-345","CHI","@","CLE","W (+16)","0","18:38","6","10",".600","3","6",".500","0","0","","2","4","6","1","1","0","2","3","15","11.5","+7"
"48","17","2019-01-23","23-347","CHI","","ATL","L (-20)","0","33:14","3","12",".250","1","4",".250","2","2","1.000","2","5","7","2","0","0","1","4","9","3.5","-7"
"49","18","2019-01-25","23-349","CHI","","LAC","L (-5)","1","33:40","9","20",".450","0","3",".000","0","0","","7","8","15","1","0","0","1","3","18","13.4","-2"
"50","19","2019-01-27","23-351","CHI","","CLE","L (-3)","0","19:13","4","11",".364","1","3",".333","0","0","","0","2","2","1","0","0","0","2","9","3.4","-9"
"51","20","2019-01-29","23-353","CHI","@","BRK","L (-5)","0","23:31","5","8",".625","0","1",".000","2","2","1.000","1","4","5","1","1","0","0","5","12","10.0","+3"
"52","21","2019-01-30","23-354","CHI","@","MIA","W (+16)","0","24:29","10","17",".588","2","3",".667","4","4","1.000","1","3","4","2","0","1","3","4","26","17.2","+5"
"53","22","2019-02-02","23-357","CHI","@","CHO","L (-7)","0","33:52","13","23",".565","4","8",".500","3","3","1.000","2","7","9","0","2","0","1","4","33","25.0","+1"
"55","23","2019-02-08","23-363","WAS","","CLE","W (+13)","0","27:28","12","18",".667","4","6",".667","2","2","1.000","2","4","6","2","1","0","2","3","30","24.0","+19"
"56","24","2019-02-09","23-364","WAS","@","CHI","W (+9)","0","29:23","4","11",".364","0","2",".000","2","3",".667","1","11","12","4","0","1","2","4","10","7.4","+8"
"57","25","2019-02-11","24-001","WAS","@","DET","L (-9)","0","31:30","9","17",".529","6","10",".600","0","1",".000","1","4","5","1","2","0","2","1","24","17.5","+4"
"58","26","2019-02-13","24-003","WAS","@","TOR","L (-9)","0","28:24","5","10",".500","2","4",".500","0","0","","0","6","6","1","1","1","1","5","12","8.2","-4"
"59","27","2019-02-22","24-012","WAS","@","CHO","L (-13)","0","31:17","6","15",".400","0","2",".000","0","1",".000","4","8","12","1","4","0","3","4","12","8.8","-13"
"60","28","2019-02-23","24-013","WAS","","IND","L (-7)","1","16:54","3","7",".429","1","2",".500","0","0","","1","3","4","2","0","0","1","4","7","3.7","-4"
"61","29","2019-02-27","24-017","WAS","@","BRK","W (+9)","1","26:11","4","12",".333","0","4",".000","2","2","1.000","3","9","12","1","2","0","0","3","10","9.5","+5"
"62","30","2019-03-01","24-019","WAS","@","BOS","L (-11)","1","27:43","2","8",".250","0","1",".000","3","4",".750","3","8","11","0","0","0","3","5","7","1.3","-14"
"63","31","2019-03-03","24-021","WAS","","MIN","W (+14)","1","28:18","10","18",".556","3","6",".500","3","4",".750","4","8","12","0","0","0","1","5","26","19.2","+17"
"64","32","2019-03-06","24-024","WAS","","DAL","W (+9)","1","21:42","4","12",".333","2","5",".400","2","2","1.000","3","5","8","0","0","0","2","3","12","5.6","-8"
"65","33","2019-03-08","24-026","WAS","@","CHO","L (-1)","1","25:14","10","16",".625","3","4",".750","0","0","","2","7","9","3","0","1","1","5","23","19.1","-5"
"66","34","2019-03-09","24-027","WAS","@","MIN","L (-5)","1","30:31","9","18",".500","3","6",".500","0","0","","3","9","12","1","0","1","3","5","21","13.2","+3"
"67","35","2019-03-11","24-029","WAS","","SAC","W (+6)","1","33:19","6","12",".500","1","2",".500","4","5",".800","1","12","13","1","3","1","5","2","17","13.5","+7"
"68","36","2019-03-13","24-031","WAS","","ORL","W (+10)","1","22:36","3","11",".273","0","3",".000","0","0","","2","4","6","1","0","0","1","2","6","1.0","-8"
"69","37","2019-03-15","24-033","WAS","","CHO","L (-6)","1","24:00","1","7",".143","0","0","","1","2",".500","1","3","4","1","1","0","2","1","3","-1.0","0"
"70","38","2019-03-16","24-034","WAS","","MEM","W (+7)","1","23:18","7","11",".636","3","5",".600","1","2",".500","2","4","6","2","1","1","2","3","18","15.2","+7"
"71","39","2019-03-18","24-036","WAS","","UTA","L (-21)","1","19:09","4","9",".444","3","6",".500","0","0","","1","4","5","0","0","0","2","2","11","5.4","-12"
"72","40","2019-03-20","24-038","WAS","@","CHI","L (-6)","1","37:46","6","17",".353","1","6",".167","2","2","1.000","3","2","5","3","0","2","0","5","15","9.7","-4"
"73","41","2019-03-21","24-039","WAS","","DEN","L (-5)","1","35:52","6","11",".545","3","6",".500","3","3","1.000","0","8","8","1","0","0","1","4","18","13.2","+11"
"74","42","2019-03-23","24-041","WAS","","MIA","L (-5)","1","30:32","6","15",".400","1","2",".500","1","2",".500","4","7","11","1","0","0","0","0","14","11.1","+1"
"75","43","2019-03-26","24-044","WAS","@","LAL","L (-18)","0","25:21","3","8",".375","0","3",".000","4","4","1.000","3","4","7","4","1","1","4","2","10","8.6","-3"
"76","44","2019-03-27","24-045","WAS","@","PHO","W (+3)","1","22:33","2","8",".250","0","1",".000","2","2","1.000","3","6","9","2","1","0","1","1","6","6.1","-7"
"77","45","2019-03-29","24-047","WAS","@","UTA","L (-4)","1","38:41","11","22",".500","6","12",".500","0","0","","1","12","13","4","4","1","1","2","28","27.0","+2"
"78","46","2019-03-31","24-049","WAS","@","DEN","W (+5)","1","22:05","1","9",".111","0","3",".000","0","0","","0","9","9","0","0","0","0","3","2","-2.4","+1"
"79","47","2019-04-03","24-052","WAS","","CHI","L (-1)","1","24:00","9","18",".500","1","4",".250","1","1","1.000","5","5","10","1","2","2","1","3","20","17.9","+5"
"80","48","2019-04-05","24-054","WAS","","SAS","L (-17)","1","37:07","6","14",".429","2","6",".333","2","2","1.000","3","6","9","2","0","0","1","3","16","11.7","-4"
"81","49","2019-04-07","24-056","WAS","@","NYK","L (-3)","1","24:00","4","14",".286","2","5",".400","1","1","1.000","6","4","10","0","0","0","1","3","11","6.0","0"
"82","50","2019-04-09","24-058","WAS","","BOS","L (-6)","1","22:46","4","9",".444","1","3",".333","2","2","1.000","1","7","8","4","1","0","2","1","11","10.5","+9"
