"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","29-083","BOS","","PHI","W (+18)","0","0:49","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","2","2.0","+2"
"6","2","2018-10-27","29-094","BOS","@","DET","W (+20)","0","5:15","1","3",".333","0","1",".000","2","2","1.000","0","0","0","0","0","0","1","0","4","1.3","-9"
"14","3","2018-11-14","29-112","BOS","","CHI","W (+29)","0","8:49","1","2",".500","1","1","1.000","0","0","","0","1","1","2","0","0","1","0","3","2.7","+3"
"16","4","2018-11-17","29-115","BOS","","UTA","L (-12)","0","8:58","1","4",".250","0","1",".000","0","0","","0","1","1","1","1","0","1","0","2","0.6","+5"
"19","5","2018-11-23","29-121","BOS","@","ATL","W (+18)","0","7:17","1","1","1.000","0","0","","3","4",".750","0","0","0","1","0","0","1","1","5","3.6","-9"
"22","6","2018-11-30","29-128","BOS","","CLE","W (+33)","0","9:06","1","3",".333","1","1","1.000","0","0","","0","1","1","4","0","0","0","0","3","4.4","+4"
"24","7","2018-12-06","29-134","BOS","","NYK","W (+28)","0","2:43","1","1","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","3","3.0","+5"
"25","8","2018-12-08","29-136","BOS","@","CHI","W (+56)","0","7:16","2","3",".667","0","1",".000","0","0","","0","1","1","2","0","0","0","0","4","4.4","+13"
"26","9","2018-12-10","29-138","BOS","","NOP","W (+13)","0","18:29","2","4",".500","0","1",".000","0","0","","0","3","3","4","1","0","2","1","4","4.3","+8"
"27","10","2018-12-12","29-140","BOS","@","WAS","W (+5)","0","10:13","1","1","1.000","1","1","1.000","0","0","","0","1","1","1","0","0","2","0","3","1.7","-6"
"28","11","2018-12-14","29-142","BOS","","ATL","W (+21)","0","7:51","1","4",".250","0","1",".000","0","0","","0","1","1","0","0","0","0","0","2","-0.1","-3"
"31","12","2018-12-21","29-149","BOS","","MIL","L (-13)","0","1:44","0","0","","0","0","","0","0","","0","0","0","2","1","0","0","0","0","2.4","+2"
"32","13","2018-12-23","29-151","BOS","","CHO","W (+16)","0","7:10","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","2","0","-1.5","-13"
"37","14","2019-01-02","29-161","BOS","","MIN","W (+13)","0","2:47","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","1","0","0.2","-6"
"38","15","2019-01-04","29-163","BOS","","DAL","W (+21)","0","21:57","3","6",".500","2","2","1.000","0","0","","0","2","2","4","3","0","1","1","8","10.0","+13"
"39","16","2019-01-07","29-166","BOS","","BRK","W (+21)","0","4:26","1","2",".500","0","0","","2","2","1.000","0","0","0","0","0","0","0","1","4","2.6","0"
"40","17","2019-01-09","29-168","BOS","","IND","W (+27)","0","6:10","1","2",".500","1","2",".500","0","0","","0","0","0","2","0","0","0","1","3","3.0","-3"
"41","18","2019-01-10","29-169","BOS","@","MIA","L (-16)","0","2:32","0","1",".000","0","0","","2","2","1.000","0","0","0","1","0","0","1","0","2","1.0","0"
"43","19","2019-01-14","29-173","BOS","@","BRK","L (-7)","0","25:50","4","11",".364","3","7",".429","2","2","1.000","1","2","3","4","2","0","1","3","13","10.8","+11"
"46","20","2019-01-19","29-178","BOS","@","ATL","W (+8)","0","5:35","0","2",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-1.1","+2"
"48","21","2019-01-23","29-182","BOS","","CLE","W (+20)","0","20:18","3","5",".600","3","4",".750","2","2","1.000","0","2","2","3","0","1","1","2","11","10.3","+22"
"50","22","2019-01-28","29-187","BOS","","BRK","W (+8)","0","5:40","1","3",".333","1","1","1.000","0","0","","0","1","1","0","0","0","1","0","3","0.6","-3"
"51","23","2019-01-30","29-189","BOS","","CHO","W (+32)","0","15:05","2","3",".667","1","1","1.000","0","0","","1","0","1","0","1","0","0","1","5","5.0","-6"
"54","24","2019-02-05","29-195","BOS","@","CLE","W (+7)","0","17:39","3","5",".600","0","2",".000","1","1","1.000","0","2","2","1","0","0","0","1","7","5.6","0"
"56","25","2019-02-09","29-199","BOS","","LAC","L (-11)","0","5:37","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","1","2","1.3","-5"
"57","26","2019-02-12","29-202","BOS","@","PHI","W (+3)","0","6:48","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","1","0","0.6","-6"
"58","27","2019-02-13","29-203","BOS","","DET","W (+8)","0","13:38","2","2","1.000","1","1","1.000","0","0","","0","2","2","2","0","0","1","1","5","5.0","+7"
"65","28","2019-03-05","29-223","BOS","@","GSW","W (+33)","0","5:00","1","3",".333","0","0","","0","0","","1","1","2","0","0","0","0","1","2","0.9","+5"
"67","29","2019-03-09","29-227","BOS","@","LAL","W (+13)","0","1:51","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-1"
"68","30","2019-03-11","29-229","BOS","@","LAC","L (-25)","0","5:19","0","3",".000","0","1",".000","2","2","1.000","0","1","1","1","0","0","0","1","2","0.5","+3"
"74","31","2019-03-24","29-242","BOS","","SAS","L (-19)","0","3:22","0","0","","0","0","","0","1",".000","0","0","0","2","0","0","1","0","0","0.0","+3"
"77","32","2019-03-30","29-248","BOS","@","BRK","L (-14)","0","12:54","3","3","1.000","0","0","","2","2","1.000","0","2","2","3","2","0","2","6","8","7.4","+13"
"79","33","2019-04-03","29-252","BOS","@","MIA","W (+10)","0","12:57","1","2",".500","0","1",".000","0","0","","0","1","1","1","0","1","0","2","2","1.9","+6"
"80","34","2019-04-05","29-254","BOS","@","IND","W (+20)","0","17:05","4","5",".800","0","1",".000","1","1","1.000","0","2","2","3","0","0","1","1","9","8.4","+10"
"81","35","2019-04-07","29-256","BOS","","ORL","L (-8)","0","5:32","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.0","-12"
"82","36","2019-04-09","29-258","BOS","@","WAS","W (+6)","0","28:53","6","13",".462","0","4",".000","5","7",".714","0","6","6","7","1","0","1","3","17","15.0","+17"
