"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","25-112","WAS","","MIA","L (-1)","1","27:11","7","16",".438","2","7",".286","4","6",".667","0","1","1","2","1","0","1","5","20","10.5","-6"
"2","2","2018-10-20","25-114","WAS","","TOR","L (-4)","1","35:14","12","21",".571","6","11",".545","2","4",".500","0","3","3","6","1","1","1","5","32","25.1","+3"
"3","3","2018-10-22","25-116","WAS","@","POR","W (+1)","1","43:05","10","25",".400","5","9",".556","0","1",".000","1","7","8","7","0","1","0","3","25","18.3","+7"
"4","4","2018-10-24","25-118","WAS","@","GSW","L (-22)","1","19:25","10","15",".667","1","4",".250","2","2","1.000","0","3","3","4","1","0","0","3","23","20.0","-10"
"5","5","2018-10-26","25-120","WAS","@","SAC","L (-4)","1","39:01","6","19",".316","3","11",".273","6","6","1.000","0","5","5","0","2","0","5","5","21","6.6","-7"
"6","6","2018-10-28","25-122","WAS","@","LAC","L (-32)","1","28:57","8","16",".500","1","6",".167","3","5",".600","1","6","7","0","0","1","3","3","20","10.2","-19"
"7","7","2018-10-30","25-124","WAS","@","MEM","L (-12)","1","40:16","5","16",".313","4","12",".333","3","4",".750","0","3","3","7","2","3","4","0","17","13.3","-1"
"8","8","2018-11-02","25-127","WAS","","OKC","L (-23)","1","31:11","10","16",".625","4","7",".571","3","3","1.000","0","2","2","4","1","0","5","2","27","18.4","-16"
"9","9","2018-11-04","25-129","WAS","","NYK","W (+13)","1","39:32","7","14",".500","1","7",".143","7","8",".875","1","7","8","3","0","4","3","2","22","18.5","+15"
"10","10","2018-11-06","25-131","WAS","@","DAL","L (-19)","1","36:53","7","18",".389","1","9",".111","4","4","1.000","0","6","6","4","1","2","2","3","19","13.0","-15"
"11","11","2018-11-09","25-134","WAS","@","ORL","L (-9)","1","41:46","10","21",".476","4","9",".444","3","4",".750","1","3","4","6","2","1","3","4","27","19.8","-2"
"12","12","2018-11-10","25-135","WAS","@","MIA","W (+6)","1","27:50","6","10",".600","2","3",".667","4","6",".667","1","2","3","1","1","1","3","5","18","11.3","+9"
"13","13","2018-11-12","25-137","WAS","","ORL","W (+8)","1","37:17","8","20",".400","2","10",".200","3","4",".750","1","7","8","4","2","1","3","3","21","13.9","+4"
"14","14","2018-11-14","25-139","WAS","","CLE","W (+24)","1","27:59","7","16",".438","3","10",".300","3","4",".750","1","2","3","3","3","0","2","2","20","14.8","+8"
"15","15","2018-11-16","25-141","WAS","","BRK","L (-11)","1","38:04","8","19",".421","1","3",".333","3","4",".750","2","4","6","2","0","1","1","4","20","11.6","-7"
"16","16","2018-11-18","25-143","WAS","","POR","L (-10)","1","26:26","4","13",".308","2","6",".333","2","2","1.000","0","4","4","3","1","1","1","5","12","6.5","-22"
"17","17","2018-11-20","25-145","WAS","","LAC","W (+7)","1","41:07","8","17",".471","0","3",".000","11","14",".786","1","2","3","7","0","1","2","3","27","20.8","+15"
"18","18","2018-11-23","25-148","WAS","@","TOR","L (-18)","1","33:45","7","16",".438","1","3",".333","5","6",".833","0","4","4","6","1","1","1","3","20","16.1","-20"
"19","19","2018-11-24","25-149","WAS","","NOP","W (+10)","1","44:30","7","15",".467","1","4",".250","3","7",".429","1","5","6","8","1","3","2","3","18","16.4","+12"
"20","20","2018-11-26","25-151","WAS","","HOU","W (+4)","1","49:38","12","18",".667","4","8",".500","4","5",".800","1","0","1","4","0","2","2","4","32","25.1","-1"
"21","21","2018-11-28","25-153","WAS","@","NOP","L (-21)","1","34:48","7","15",".467","1","5",".200","1","1","1.000","1","4","5","11","2","1","4","3","16","15.4","-20"
"22","22","2018-11-30","25-155","WAS","@","PHI","L (-25)","1","19:21","6","13",".462","2","5",".400","5","5","1.000","0","0","0","1","2","0","1","3","19","12.8","-8"
"23","23","2018-12-01","25-156","WAS","","BRK","W (+14)","1","42:32","8","17",".471","0","3",".000","6","7",".857","0","3","3","0","0","1","2","2","22","11.7","+13"
"24","24","2018-12-03","25-158","WAS","@","NYK","W (+3)","1","38:16","12","25",".480","2","8",".250","1","1","1.000","1","7","8","7","1","1","1","1","27","22.3","+4"
"25","25","2018-12-05","25-160","WAS","@","ATL","W (+14)","1","41:42","12","22",".545","2","6",".333","10","13",".769","1","5","6","9","1","0","3","4","36","29.1","+15"
"26","26","2018-12-08","25-163","WAS","@","CLE","L (-15)","1","33:18","12","25",".480","2","7",".286","1","2",".500","1","3","4","5","1","0","4","1","27","15.6","-17"
"27","27","2018-12-10","25-165","WAS","@","IND","L (-8)","1","44:07","10","27",".370","4","9",".444","6","7",".857","1","2","3","3","3","1","4","4","30","16.2","-2"
"28","28","2018-12-12","25-167","WAS","","BOS","L (-5)","1","38:02","8","16",".500","3","6",".500","3","4",".750","2","5","7","4","0","0","6","5","22","11.3","-10"
"29","29","2018-12-14","25-169","WAS","@","BRK","L (-7)","1","39:13","13","22",".591","2","3",".667","3","4",".750","0","1","1","9","0","0","0","2","31","26.2","-2"
"30","30","2018-12-16","25-171","WAS","","LAL","W (+18)","1","38:32","10","24",".417","4","9",".444","1","1","1.000","5","7","12","3","0","0","5","0","25","14.9","+20"
