"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","21-046","LAL","@","POR","L (-9)","1","27:35","7","15",".467","0","4",".000","2","4",".500","1","3","4","1","2","1","1","0","16","11.5","+4"
"2","2","2018-10-20","21-048","LAL","","HOU","L (-9)","1","28:51","5","8",".625","0","1",".000","2","2","1.000","2","2","4","0","1","1","3","4","12","7.5","-1"
"7","3","2018-10-29","21-057","LAL","@","MIN","L (-4)","1","25:08","9","18",".500","3","5",".600","3","4",".750","3","2","5","2","0","3","4","5","24","14.8","+3"
"8","4","2018-10-31","21-059","LAL","","DAL","W (+1)","1","31:27","6","16",".375","1","1","1.000","4","6",".667","0","3","3","1","1","0","3","5","17","5.0","+9"
"9","5","2018-11-03","21-062","LAL","@","POR","W (+4)","1","33:03","3","10",".300","0","0","","2","4",".500","0","6","6","0","1","0","3","2","8","0.4","-13"
"10","6","2018-11-04","21-063","LAL","","TOR","L (-14)","1","34:15","7","11",".636","0","1",".000","2","3",".667","0","1","1","3","0","1","1","2","16","12.0","+1"
"11","7","2018-11-07","21-066","LAL","","MIN","W (+4)","1","34:35","8","14",".571","2","3",".667","2","2","1.000","1","4","5","6","1","2","3","2","20","18.1","-2"
"12","8","2018-11-10","21-069","LAL","@","SAC","W (+15)","1","30:21","5","17",".294","0","2",".000","2","2","1.000","2","6","8","2","0","0","0","4","12","5.1","+2"
"13","9","2018-11-11","21-070","LAL","","ATL","W (+1)","1","28:33","3","8",".375","0","0","","4","6",".667","0","3","3","1","0","1","6","3","10","-0.1","+12"
"14","10","2018-11-14","21-073","LAL","","POR","W (+9)","1","32:21","6","15",".400","1","3",".333","4","5",".800","0","2","2","4","1","0","0","2","17","12.1","0"
"15","11","2018-11-17","21-076","LAL","@","ORL","L (-13)","1","33:39","7","13",".538","0","2",".000","3","4",".750","0","6","6","7","0","0","0","1","17","16.6","-7"
"16","12","2018-11-18","21-077","LAL","@","MIA","W (+16)","1","35:53","6","15",".400","0","1",".000","1","1","1.000","1","6","7","1","0","1","1","2","13","7.0","+7"
"17","13","2018-11-21","21-080","LAL","@","CLE","W (+4)","1","35:38","5","10",".500","1","1","1.000","3","6",".500","1","2","3","3","0","0","2","3","14","8.0","+15"
"18","14","2018-11-23","21-082","LAL","","UTA","W (+7)","1","37:20","8","14",".571","2","3",".667","6","10",".600","0","6","6","0","2","0","6","3","24","12.4","+10"
"19","15","2018-11-25","21-084","LAL","","ORL","L (-4)","1","31:26","7","14",".500","0","2",".000","3","5",".600","1","5","6","1","2","0","5","4","17","7.5","+8"
"20","16","2018-11-27","21-086","LAL","@","DEN","L (-32)","1","29:48","6","10",".600","0","1",".000","2","4",".500","0","2","2","2","1","0","1","4","14","9.0","-19"
"21","17","2018-11-29","21-088","LAL","","IND","W (+8)","1","31:14","6","15",".400","0","2",".000","2","5",".400","0","1","1","3","1","3","1","2","14","8.4","-12"
"22","18","2018-11-30","21-089","LAL","","DAL","W (+11)","1","40:05","7","16",".438","0","1",".000","5","8",".625","0","4","4","4","1","0","2","5","19","10.4","+9"
"23","19","2018-12-02","21-091","LAL","","PHO","W (+24)","1","28:08","5","10",".500","1","1","1.000","4","7",".571","2","2","4","2","0","0","3","2","15","8.4","+8"
"24","20","2018-12-05","21-094","LAL","","SAS","W (+8)","1","5:26","2","2","1.000","0","0","","1","3",".333","0","0","0","0","0","1","0","1","5","3.9","+4"
"32","21","2018-12-21","21-110","LAL","","NOP","W (+8)","1","32:43","6","14",".429","0","2",".000","6","8",".750","2","5","7","2","1","0","2","1","18","12.7","+16"
"33","22","2018-12-23","21-112","LAL","","MEM","L (-8)","1","37:29","8","15",".533","1","3",".333","3","6",".500","0","4","4","3","0","0","2","2","20","12.0","-2"
"34","23","2018-12-25","21-114","LAL","@","GSW","W (+26)","1","24:09","4","9",".444","1","3",".333","5","6",".833","0","2","2","2","0","0","2","4","14","7.3","+13"
"35","24","2018-12-27","21-116","LAL","@","SAC","L (-1)","1","37:36","8","19",".421","1","4",".250","5","8",".625","2","1","3","2","1","2","5","1","22","10.8","+7"
"36","25","2018-12-28","21-117","LAL","","LAC","L (-11)","1","32:52","5","12",".417","1","2",".500","6","12",".500","0","7","7","0","0","0","1","5","17","7.3","+1"
"37","26","2018-12-30","21-119","LAL","","SAC","W (+7)","1","39:10","9","13",".692","1","3",".333","2","4",".500","1","6","7","9","1","2","3","1","21","22.5","+16"
"38","27","2019-01-02","21-122","LAL","","OKC","L (-7)","1","40:43","8","21",".381","0","2",".000","1","2",".500","1","10","11","5","0","1","4","3","17","7.8","-15"
"39","28","2019-01-04","21-124","LAL","","NYK","L (-7)","1","36:40","8","21",".381","0","2",".000","5","5","1.000","0","9","9","3","1","0","5","3","21","9.1","-2"
"40","29","2019-01-06","21-126","LAL","@","MIN","L (-22)","1","25:13","5","16",".313","0","0","","3","5",".600","2","3","5","1","0","2","3","2","13","3.6","-21"
"41","30","2019-01-07","21-127","LAL","@","DAL","W (+10)","1","37:22","12","21",".571","0","0","","5","7",".714","1","2","3","6","2","0","2","4","29","22.2","+14"
"42","31","2019-01-09","21-129","LAL","","DET","W (+13)","1","29:30","4","10",".400","0","0","","2","4",".500","3","6","9","6","0","0","3","1","10","8.5","-1"
"43","32","2019-01-11","21-131","LAL","@","UTA","L (-18)","1","34:46","6","11",".545","1","1","1.000","2","6",".333","0","5","5","0","0","1","3","0","15","7.3","-19"
"44","33","2019-01-13","21-133","LAL","","CLE","L (-6)","1","39:59","8","14",".571","1","2",".500","5","8",".625","3","4","7","2","0","0","2","2","22","16.1","-13"
