"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"27","1","2018-12-13","27-011","HOU","","LAL","W (+15)","0","3:41","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","2","0","-1.2","+1"
"28","2","2018-12-15","27-013","HOU","@","MEM","W (+8)","0","3:53","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+4"
"29","3","2018-12-17","27-015","HOU","","UTA","W (+5)","0","8:13","1","5",".200","1","3",".333","0","0","","0","1","1","0","0","0","0","0","3","0.2","+2"
"30","4","2018-12-19","27-017","HOU","","WAS","W (+18)","0","5:43","1","4",".250","0","2",".000","0","0","","0","0","0","0","0","0","0","0","2","-0.4","+6"
"31","5","2018-12-20","27-018","HOU","@","MIA","L (-2)","0","17:43","1","5",".200","1","5",".200","0","0","","0","0","0","0","0","0","1","2","3","-1.9","+1"
"32","6","2018-12-22","27-020","HOU","","SAS","W (+7)","0","11:59","0","4",".000","0","4",".000","0","0","","1","0","1","0","0","0","1","2","0","-3.9","-3"
"36","7","2018-12-31","27-029","HOU","","MEM","W (+12)","0","10:33","0","3",".000","0","3",".000","1","2",".500","0","1","1","2","1","0","0","2","1","0.4","-9"
"37","8","2019-01-03","27-032","HOU","@","GSW","W (+1)","0","11:36","2","5",".400","1","3",".333","0","0","","0","0","0","2","1","0","0","1","5","4.3","-8"
"38","9","2019-01-05","27-034","HOU","@","POR","L (-9)","0","13:13","3","7",".429","1","2",".500","0","1",".000","0","0","0","0","0","0","0","0","7","2.9","+4"
"39","10","2019-01-07","27-036","HOU","","DEN","W (+12)","0","6:02","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","2","0","-2.2","-6"
"40","11","2019-01-09","27-038","HOU","","MIL","L (-7)","0","7:06","1","2",".500","1","2",".500","0","0","","0","1","1","0","0","0","0","0","3","2.3","-9"
"41","12","2019-01-11","27-040","HOU","","CLE","W (+28)","0","18:26","2","8",".250","0","5",".000","8","8","1.000","0","4","4","4","0","0","3","3","12","7.0","0"
"56","13","2019-02-09","27-069","CLE","@","IND","L (-15)","0","11:44","3","3","1.000","3","3","1.000","0","0","","0","0","0","2","0","0","0","0","9","9.5","-6"
"57","14","2019-02-11","27-071","CLE","","NYK","W (+3)","1","16:14","3","5",".600","3","4",".750","0","0","","0","3","3","2","0","0","2","1","9","6.6","0"
"58","15","2019-02-13","27-073","CLE","","BRK","L (-9)","1","15:28","3","8",".375","0","4",".000","0","0","","0","1","1","4","1","0","2","0","6","3.7","+1"
"59","16","2019-02-21","27-081","CLE","","PHO","W (+13)","1","21:48","3","6",".500","1","3",".333","2","2","1.000","0","3","3","4","0","0","1","2","9","7.9","+7"
"60","17","2019-02-23","27-083","CLE","","MEM","W (+5)","1","18:37","2","5",".400","0","3",".000","0","0","","1","1","2","5","1","0","1","3","4","4.6","+11"
"61","18","2019-02-25","27-085","CLE","","POR","L (-13)","1","19:31","1","6",".167","0","3",".000","2","2","1.000","0","0","0","1","0","0","0","0","4","0.9","-14"
"62","19","2019-02-28","27-088","CLE","@","NYK","W (+7)","1","19:03","3","5",".600","2","2","1.000","1","2",".500","0","2","2","0","1","0","0","0","9","7.9","+3"
"63","20","2019-03-02","27-090","CLE","","DET","L (-36)","1","20:02","3","8",".375","3","4",".750","1","2",".500","0","1","1","2","1","0","0","2","10","7.1","-18"
"64","21","2019-03-03","27-091","CLE","","ORL","W (+14)","1","18:39","1","5",".200","0","3",".000","0","0","","0","0","0","1","0","0","0","1","2","-0.8","-10"
"65","22","2019-03-06","27-094","CLE","@","BRK","L (-6)","1","19:05","1","6",".167","1","3",".333","1","2",".500","1","0","1","0","0","0","0","2","4","-0.3","-3"
"66","23","2019-03-08","27-096","CLE","@","MIA","L (-16)","1","25:33","6","11",".545","3","6",".500","0","0","","1","1","2","6","1","0","0","3","15","14.7","0"
