"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2019-01-25","23-126","MEM","","SAC","L (-3)","0","8:18","0","4",".000","0","3",".000","0","0","","1","0","1","0","1","1","0","0","0","-0.4","-1"
"2","2","2019-01-26","23-127","MEM","","IND","W (+3)","0","28:38","3","5",".600","3","4",".750","2","2","1.000","2","2","4","1","1","2","0","2","11","13.0","+5"
"3","3","2019-01-28","23-129","MEM","","DEN","L (-3)","0","23:02","1","6",".167","1","6",".167","2","2","1.000","1","4","5","0","0","0","0","3","5","1.9","-5"
"4","4","2019-01-30","23-131","MEM","@","MIN","L (-2)","0","31:49","3","7",".429","1","5",".200","0","0","","1","2","3","3","0","4","1","3","7","7.3","-1"
"5","5","2019-02-01","23-133","MEM","@","CHO","L (-8)","0","22:58","1","7",".143","0","5",".000","5","5","1.000","0","4","4","1","1","1","2","2","7","3.3","+6"
"6","6","2019-02-03","23-135","MEM","@","NYK","W (+12)","1","16:54","0","4",".000","0","2",".000","0","0","","1","1","2","1","1","0","1","4","0","-2.7","+8"
"7","7","2019-02-05","23-137","MEM","","MIN","W (+2)","0","22:15","2","5",".400","1","3",".333","4","4","1.000","0","2","2","0","1","2","0","3","9","8.1","-12"
"8","8","2019-02-07","23-139","MEM","@","OKC","L (-22)","0","29:51","6","9",".667","3","5",".600","1","1","1.000","1","4","5","1","0","0","4","3","16","9.5","+10"
"9","9","2019-02-09","23-141","MEM","","NOP","W (+9)","0","7:06","1","3",".333","0","2",".000","0","0","","1","1","2","0","0","1","1","5","2","-1.0","-1"
"10","10","2019-02-12","23-144","MEM","","SAS","L (-1)","0","20:35","2","7",".286","0","1",".000","0","0","","1","3","4","1","0","3","0","2","4","3.5","+1"
"11","11","2019-02-13","23-145","MEM","@","CHI","L (-12)","0","10:23","3","4",".750","2","3",".667","0","0","","1","4","5","2","0","0","0","1","8","9.3","+13"
"12","12","2019-02-22","23-154","MEM","","LAC","L (-6)","1","10:49","3","5",".600","2","3",".667","0","0","","0","2","2","1","0","0","0","5","8","5.0","-6"
"13","13","2019-02-23","23-155","MEM","@","CLE","L (-5)","0","19:25","2","5",".400","0","3",".000","0","0","","2","0","2","0","0","1","1","1","4","2.0","+4"
"14","14","2019-02-25","23-157","MEM","","LAL","W (+5)","0","27:04","2","5",".400","1","4",".250","0","0","","0","5","5","1","1","1","0","3","5","5.0","+9"
"15","15","2019-02-27","23-159","MEM","","CHI","L (-2)","1","27:51","3","6",".500","1","3",".333","0","0","","1","1","2","1","1","0","3","2","7","2.9","+5"
"16","16","2019-03-02","23-162","MEM","@","DAL","W (+30)","1","34:32","3","8",".375","2","5",".400","1","2",".500","2","9","11","6","0","1","1","4","9","10.6","+8"
"17","17","2019-03-03","23-163","MEM","@","OKC","L (-4)","1","28:18","3","6",".500","1","1","1.000","4","4","1.000","2","2","4","1","0","1","2","5","11","7.4","-11"
"18","18","2019-03-05","23-165","MEM","","POR","W (+9)","1","15:15","0","2",".000","0","2",".000","1","2",".500","0","1","1","2","0","0","3","2","1","-2.9","-10"
"19","19","2019-03-08","23-168","MEM","","UTA","W (+10)","0","9:04","1","2",".500","1","2",".500","0","0","","0","3","3","0","0","0","0","2","3","2.1","-6"
"20","20","2019-03-10","23-170","MEM","","ORL","W (+8)","1","17:51","1","4",".250","0","3",".000","0","0","","0","3","3","1","0","2","0","0","2","2.6","+3"
"21","21","2019-03-13","23-173","MEM","@","ATL","L (-21)","0","10:30","1","2",".500","1","2",".500","0","0","","0","3","3","2","0","0","2","1","3","1.9","+7"
"22","22","2019-03-16","23-176","MEM","@","WAS","L (-7)","1","6:32","1","2",".500","1","2",".500","0","0","","0","3","3","1","1","0","1","2","3","2.8","-9"
"23","23","2019-03-20","23-180","MEM","","HOU","W (+1)","1","40:53","6","10",".600","1","5",".200","2","4",".500","2","5","7","3","0","0","2","1","15","12.2","0"
"24","24","2019-03-22","23-182","MEM","@","ORL","L (-4)","1","29:12","3","8",".375","2","4",".500","1","3",".333","4","1","5","0","0","0","1","2","9","5.1","+7"
"25","25","2019-03-23","23-183","MEM","","MIN","L (-13)","1","25:25","1","7",".143","1","4",".250","0","0","","1","4","5","0","1","0","0","2","3","0.6","-21"
"26","26","2019-03-25","23-185","MEM","","OKC","W (+12)","1","35:11","8","13",".615","4","7",".571","4","4","1.000","3","8","11","2","1","1","1","2","24","23.9","+17"
"27","27","2019-03-27","23-187","MEM","","GSW","L (-15)","1","36:55","7","13",".538","3","4",".750","0","0","","8","5","13","3","1","2","0","1","17","21.9","-7"
"28","28","2019-03-30","23-190","MEM","@","PHO","W (+5)","1","37:40","3","7",".429","2","4",".500","4","6",".667","0","6","6","2","1","1","2","1","12","10.0","+11"
"29","29","2019-03-31","23-191","MEM","@","LAC","L (-17)","1","19:58","3","6",".500","2","3",".667","0","0","","0","2","2","2","0","2","1","3","8","6.2","-10"
"30","30","2019-04-03","23-194","MEM","@","POR","L (-27)","0","19:55","2","7",".286","1","4",".250","6","6","1.000","1","2","3","0","0","3","1","3","11","8.1","-3"
"31","31","2019-04-05","23-196","MEM","@","DAL","W (+10)","1","29:13","3","9",".333","3","7",".429","0","0","","2","4","6","4","0","1","3","1","9","6.6","-6"
"32","32","2019-04-07","23-198","MEM","","DAL","L (-2)","1","39:27","4","10",".400","3","7",".429","2","2","1.000","4","13","17","4","0","1","2","2","13","15.0","-4"
"33","33","2019-04-09","23-200","MEM","@","DET","L (-7)","1","26:35","6","13",".462","2","6",".333","1","1","1.000","0","3","3","2","1","2","1","5","15","10.0","-12"
"34","34","2019-04-10","23-201","MEM","","GSW","W (+15)","1","30:16","8","14",".571","3","6",".500","2","2","1.000","0","4","4","2","1","0","2","3","21","14.8","+13"
