"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","24-071","CHI","@","PHI","L (-19)","1","21:34","0","4",".000","0","1",".000","0","0","","0","1","1","5","1","0","1","1","0","0.6","-18"
"2","2","2018-10-20","24-073","CHI","","DET","L (-2)","1","28:21","6","12",".500","0","3",".000","5","5","1.000","1","2","3","4","0","0","1","3","17","12.9","+2"
"3","3","2018-10-22","24-075","CHI","@","DAL","L (-6)","0","17:42","3","7",".429","0","0","","0","0","","0","2","2","2","0","0","2","3","6","1.1","-5"
"4","4","2018-10-24","24-077","CHI","","CHO","W (+2)","1","30:51","7","13",".538","7","11",".636","0","0","","2","3","5","4","1","1","3","4","21","16.9","0"
"5","5","2018-10-26","24-079","CHI","@","CHO","L (-29)","1","23:07","6","10",".600","2","4",".500","1","1","1.000","1","0","1","3","2","0","1","0","15","14.2","-20"
"6","6","2018-10-27","24-080","CHI","@","ATL","W (+12)","1","17:47","0","2",".000","0","2",".000","2","2","1.000","1","1","2","5","1","0","1","4","2","3.5","-6"
"7","7","2018-10-29","24-082","CHI","","GSW","L (-25)","1","20:05","5","9",".556","1","3",".333","4","4","1.000","1","2","3","1","0","1","0","1","15","13.0","-25"
"8","8","2018-10-31","24-084","CHI","","DEN","L (-1)","1","24:43","2","8",".250","1","3",".333","0","0","","0","0","0","2","0","0","5","1","5","-3.8","-5"
"9","9","2018-11-02","24-086","CHI","","IND","L (-2)","1","25:15","1","5",".200","1","3",".333","0","0","","0","2","2","8","0","0","0","3","3","4.9","-4"
"10","10","2018-11-03","24-087","CHI","","HOU","L (-8)","1","24:38","3","10",".300","0","2",".000","2","2","1.000","1","2","3","3","3","0","3","2","8","4.8","-15"
"11","11","2018-11-05","24-089","CHI","@","NYK","W (+1)","1","40:44","4","11",".364","0","4",".000","0","1",".000","1","2","3","2","0","1","0","1","8","4.5","+11"
"12","12","2018-11-07","24-091","CHI","@","NOP","L (-9)","1","14:54","2","7",".286","0","2",".000","0","0","","0","0","0","2","3","0","2","1","4","1.9","-7"
"15","13","2018-11-14","24-098","CHI","@","BOS","L (-29)","0","8:27","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","1","0","2","0.3","-1"
"16","14","2018-11-16","24-100","CHI","@","MIL","L (-19)","0","3:29","0","0","","0","0","","2","2","1.000","0","0","0","0","1","0","0","0","2","3.0","+3"
"17","15","2018-11-17","24-101","CHI","","TOR","L (-39)","1","22:19","2","6",".333","0","1",".000","0","0","","1","2","3","4","1","1","2","4","4","2.8","-16"
"18","16","2018-11-21","24-105","CHI","","PHO","W (+8)","0","8:01","1","1","1.000","1","1","1.000","0","0","","0","4","4","1","0","0","0","0","3","4.6","+8"
"19","17","2018-11-23","24-107","CHI","","MIA","L (-7)","0","5:49","0","0","","0","0","","0","0","","0","2","2","0","0","0","1","1","0","-0.8","-8"
"20","18","2018-11-24","24-108","CHI","@","MIN","L (-15)","0","6:37","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-7"
"21","19","2018-11-26","24-110","CHI","","SAS","L (-1)","0","8:55","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","-0.1","-14"
"22","20","2018-11-28","24-112","CHI","@","MIL","L (-3)","0","16:34","3","4",".750","0","1",".000","1","1","1.000","0","1","1","2","0","0","1","2","7","5.3","-16"
"23","21","2018-11-30","24-114","CHI","@","DET","L (-19)","0","25:11","3","9",".333","0","3",".000","2","2","1.000","1","5","6","5","0","0","0","2","8","7.8","-3"
"24","22","2018-12-01","24-115","CHI","@","HOU","L (-16)","0","17:52","0","4",".000","0","3",".000","0","2",".000","0","0","0","6","2","0","0","2","0","1.8","-9"
"25","23","2018-12-04","24-118","CHI","@","IND","L (-6)","0","20:23","4","7",".571","1","2",".500","1","1","1.000","0","1","1","4","0","0","1","3","10","7.6","-3"
"26","24","2018-12-07","24-121","CHI","","OKC","W (+2)","0","11:36","1","3",".333","1","1","1.000","2","2","1.000","0","1","1","5","1","1","2","1","5","6.4","-8"
"27","25","2018-12-08","24-122","CHI","","BOS","L (-56)","0","24:32","5","10",".500","0","2",".000","0","0","","0","3","3","3","1","0","3","1","10","5.6","-34"
"28","26","2018-12-10","24-124","CHI","","SAC","L (-19)","0","2:08","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+1"
"30","27","2018-12-15","24-129","CHI","@","SAS","W (+5)","0","13:10","2","4",".500","0","2",".000","0","0","","0","1","1","1","1","1","1","0","4","3.7","-3"
"31","28","2018-12-17","24-131","CHI","@","OKC","L (-25)","0","22:28","5","7",".714","1","1","1.000","0","0","","0","3","3","6","2","0","2","6","11","10.8","-9"
"32","29","2018-12-19","24-133","CHI","","BRK","L (-3)","0","19:48","2","6",".333","0","1",".000","0","0","","0","1","1","3","0","0","1","0","4","2.0","-2"
"35","30","2018-12-26","24-140","CHI","","MIN","L (-25)","0","3:40","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-5"
"38","31","2019-01-02","24-147","CHI","","ORL","L (-28)","0","5:29","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","0","1","0","-0.1","0"
"39","32","2019-01-08","24-153","CLE","","IND","L (-8)","0","22:03","4","8",".500","2","4",".500","0","0","","0","2","2","3","0","0","0","1","10","8.3","+4"
"40","33","2019-01-09","24-154","CLE","@","NOP","L (-16)","0","22:17","6","8",".750","3","5",".600","1","2",".500","0","0","0","2","0","0","1","2","16","12.0","-2"
"41","34","2019-01-11","24-156","CLE","@","HOU","L (-28)","0","20:41","3","9",".333","1","6",".167","2","2","1.000","0","4","4","5","3","1","3","3","9","8.1","-6"
"42","35","2019-01-13","24-158","CLE","@","LAL","W (+6)","0","5:50","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","1","0","0","-0.7","-5"
"43","36","2019-01-16","24-161","CLE","@","POR","L (-17)","0","20:38","5","8",".625","2","3",".667","0","0","","2","1","3","2","0","0","0","2","12","10.7","+7"
"44","37","2019-01-18","24-163","CLE","@","UTA","L (-16)","0","24:12","5","9",".556","0","2",".000","4","4","1.000","0","4","4","3","1","1","0","2","14","13.9","+7"
"45","38","2019-01-19","24-164","CLE","@","DEN","L (-22)","1","19:42","0","0","","0","0","","0","2",".000","0","1","1","3","0","0","2","3","0","-1.6","-7"
"46","39","2019-01-21","24-166","CLE","","CHI","L (-16)","0","25:47","4","11",".364","1","5",".200","2","4",".500","1","3","4","3","2","1","2","2","11","7.7","+2"
"47","40","2019-01-23","24-168","CLE","@","BOS","L (-20)","0","14:53","0","1",".000","0","0","","2","2","1.000","0","0","0","1","2","0","2","0","2","2.0","-5"
