"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","33-164","HOU","","NOP","L (-19)","1","32:21","6","12",".500","3","7",".429","4","5",".800","0","5","5","6","2","0","1","3","19","18.1","-19",".669",".625","0.0","17.3","8.2","29.6","2.9","0.0","6.6","19.9","137","125"
"2","2","2018-10-20","33-167","HOU","@","LAL","W (+9)","1","29:40","9","17",".529","3","6",".500","7","9",".778","2","5","7","10","1","0","3","2","28","26.0","+13",".668",".618","6.7","16.2","11.6","55.0","1.5","0.0","12.5","31.0","139","107"
"5","3","2018-10-26","33-173","HOU","","LAC","L (-20)","1","34:22","3","13",".231","0","2",".000","6","6","1.000","1","5","6","8","2","0","5","3","12","7.7","-26",".384",".231","2.5","22.5","9.7","33.0","2.7","0.0","24.2","23.6","84","130"
"6","4","2018-10-30","33-177","HOU","","POR","L (-19)","1","37:06","6","19",".316","2","8",".250","3","4",".750","1","4","5","9","2","0","2","4","17","12.3","-18",".409",".368","2.0","14.4","6.5","50.1","2.7","0.0","8.8","25.1","98","109"
"7","5","2018-11-02","33-180","HOU","@","BRK","W (+8)","1","37:04","13","27",".481","5","12",".417","1","1","1.000","3","4","7","11","2","2","2","4","32","29.1","+20",".583",".574","9.7","13.3","11.5","58.9","2.8","5.1","6.8","35.9","134","115"
"8","6","2018-11-03","33-181","HOU","@","CHI","W (+8)","1","35:22","3","11",".273","0","3",".000","1","3",".333","0","6","6","8","4","0","4","1","7","6.7","0",".284",".273","0.0","20.9","9.9","35.1","5.6","0.0","24.5","20.2","70","86"
"9","7","2018-11-05","33-183","HOU","@","IND","W (+4)","1","37:34","4","12",".333","0","6",".000","1","2",".500","1","4","5","13","1","0","5","2","9","8.0","+8",".349",".333","3.5","12.5","8.2","57.5","1.4","0.0","28.0","23.1","90","105"
"10","8","2018-11-08","33-186","HOU","@","OKC","L (-18)","1","36:07","4","11",".364","0","4",".000","2","2","1.000","0","2","2","5","6","0","5","3","10","7.8","-7",".421",".364","0.0","6.6","2.9","25.9","9.0","0.0","29.6","21.9","73","99"
"11","9","2018-11-10","33-188","HOU","@","SAS","L (-7)","1","40:12","4","13",".308","2","3",".667","3","4",".750","0","4","4","4","3","1","1","4","13","10.2","-12",".440",".385","0.0","11.4","5.0","18.9","3.9","2.2","6.3","17.0","101","102"
"12","10","2018-11-11","33-189","HOU","","IND","W (+12)","1","35:04","8","13",".615","5","8",".625","5","7",".714","0","5","5","5","3","0","2","3","26","24.1","+8",".808",".808","0.0","19.6","9.4","27.3","4.4","0.0","11.1","24.0","152","104"
