"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","23-020","MIL","@","CHO","W (+1)","0","4:57","1","1","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","3","3.0","-3"
"2","2","2018-10-19","23-022","MIL","","IND","W (+17)","0","5:48","0","1",".000","0","0","","1","2",".500","0","1","1","0","0","0","1","1","1","-1.2","-1"
"7","3","2018-10-29","23-032","MIL","","TOR","W (+15)","0","4:27","0","2",".000","0","1",".000","2","2","1.000","0","1","1","0","0","0","0","1","2","0.5","-8"
"15","4","2018-11-16","23-050","MIL","","CHI","W (+19)","0","3:29","1","4",".250","0","0","","0","0","","2","2","4","0","0","0","1","0","2","0.6","-3"
"17","5","2018-11-21","23-055","MIL","","POR","W (+43)","0","10:42","5","6",".833","1","2",".500","0","0","","1","4","5","2","0","0","0","0","11","12.1","+13"
"23","6","2018-12-05","23-069","MIL","","DET","W (+23)","0","7:23","2","3",".667","0","0","","2","2","1.000","1","3","4","0","0","0","0","0","6","6.3","-3"
"51","7","2019-02-02","23-128","MIL","@","WAS","W (+16)","0","3:55","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-9"
"52","8","2019-02-04","23-130","MIL","@","BRK","W (+19)","0","3:23","1","1","1.000","0","0","","3","5",".600","0","1","1","0","0","0","0","0","5","4.2","-1"
"53","9","2019-02-06","23-132","MIL","","WAS","W (+19)","0","2:48","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1.4","0"
"55","10","2019-02-09","23-135","MIL","","ORL","L (-20)","0","4:26","0","0","","0","0","","2","2","1.000","0","1","1","0","0","0","0","0","2","2.3","0"
"56","11","2019-02-11","23-137","MIL","@","CHI","W (+13)","0","0:16","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"60","12","2019-02-25","23-151","MIL","@","CHI","W (+11)","0","3:03","1","1","1.000","0","0","","0","2",".000","0","1","1","0","0","0","1","1","2","-0.2","-9"
"63","13","2019-03-02","23-156","MIL","@","UTA","L (-4)","0","6:55","1","2",".500","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","3","2.3","-1"
"72","14","2019-03-24","23-178","NOP","","HOU","L (-23)","0","8:18","3","5",".600","1","2",".500","0","0","","1","0","1","1","0","0","0","0","7","6.1","-1"
"73","15","2019-03-26","23-180","NOP","","ATL","L (-10)","0","31:32","7","9",".778","1","3",".333","8","14",".571","2","7","9","1","3","6","2","1","23","26.1","+6"
"74","16","2019-03-28","23-182","NOP","","SAC","W (+3)","0","27:43","11","16",".688","0","2",".000","3","3","1.000","2","7","9","1","3","1","1","4","25","23.5","0"
"75","17","2019-03-31","23-185","NOP","","LAL","L (-28)","0","27:01","5","13",".385","0","2",".000","5","5","1.000","1","10","11","0","1","1","1","1","15","11.9","-28"
"76","18","2019-04-03","23-188","NOP","","CHO","L (-6)","0","20:42","3","7",".429","0","0","","2","4",".500","0","9","9","3","0","0","6","3","8","1.1","-5"
"77","19","2019-04-05","23-190","NOP","@","PHO","L (-7)","0","15:48","5","7",".714","0","2",".000","7","8",".875","2","3","5","0","0","1","0","1","17","16.3","+6"
"78","20","2019-04-07","23-192","NOP","@","SAC","W (+4)","1","23:47","5","14",".357","2","3",".667","2","2","1.000","3","4","7","0","0","1","1","1","14","8.8","-2"
"79","21","2019-04-09","23-194","NOP","","GSW","L (-9)","1","33:56","10","21",".476","2","7",".286","4","5",".800","2","10","12","0","0","0","3","3","26","15.1","-4"
