"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","19-286","CLE","@","TOR","L (-12)","0","17:43","2","7",".286","0","1",".000","5","5","1.000","1","2","3","0","0","0","4","4","9","0.6","0"
"2","2","2018-10-19","19-288","CLE","@","MIN","L (-8)","0","23:03","6","9",".667","0","0","","2","2","1.000","0","2","2","1","0","0","0","1","14","11.0","-15"
"3","3","2018-10-21","19-290","CLE","","ATL","L (-22)","0","27:33","2","11",".182","0","1",".000","0","0","","1","1","2","2","0","0","2","4","4","-4.1","-23"
"4","4","2018-10-24","19-293","CLE","","BRK","L (-16)","0","25:01","6","10",".600","0","1",".000","2","2","1.000","0","3","3","1","0","0","2","2","14","8.2","+1"
"5","5","2018-10-25","19-294","CLE","@","DET","L (-7)","0","25:02","5","9",".556","0","1",".000","4","5",".800","0","0","0","5","2","0","1","1","14","13.4","+3"
"6","6","2018-10-27","19-296","CLE","","IND","L (-12)","0","22:34","2","8",".250","0","1",".000","8","9",".889","0","1","1","4","1","0","2","1","12","8.5","+1"
"7","7","2018-10-30","19-299","CLE","","ATL","W (+22)","0","27:42","4","10",".400","1","2",".500","8","9",".889","4","4","8","3","0","1","3","3","17","13.8","-2"
"8","8","2018-11-01","19-301","CLE","","DEN","L (-19)","0","25:04","5","11",".455","1","1","1.000","1","1","1.000","1","1","2","2","1","0","4","2","12","4.9","-9"
"9","9","2018-11-03","19-303","CLE","@","CHO","L (-32)","0","19:18","1","5",".200","0","1",".000","2","2","1.000","0","1","1","2","1","0","1","4","4","1.0","-25"
"10","10","2018-11-05","19-305","CLE","@","ORL","L (-2)","0","16:44","2","6",".333","1","1","1.000","0","0","","0","1","1","2","0","0","2","2","5","0.5","-7"
"11","11","2018-11-07","19-307","CLE","","OKC","L (-9)","1","41:46","7","14",".500","1","2",".500","0","0","","0","2","2","1","0","1","3","4","15","5.4","-2"
"12","12","2018-11-10","19-310","CLE","@","CHI","L (-1)","1","34:20","8","16",".500","2","3",".667","2","2","1.000","1","3","4","3","0","0","1","2","20","13.9","-7"
"13","13","2018-11-13","19-313","CLE","","CHO","W (+24)","1","32:40","7","18",".389","2","2","1.000","0","0","","2","3","5","4","1","0","4","3","16","7.1","+24"
"14","14","2018-11-14","19-314","CLE","@","WAS","L (-24)","1","33:53","9","16",".563","2","3",".667","4","4","1.000","0","3","3","2","0","0","4","2","24","13.9","-15"
"15","15","2018-11-19","19-319","CLE","@","DET","L (-11)","1","23:46","6","10",".600","2","3",".667","4","6",".667","0","1","1","4","1","0","0","3","18","15.5","-21"
"16","16","2018-11-21","19-321","CLE","","LAL","L (-4)","1","35:47","5","17",".294","0","2",".000","2","2","1.000","1","2","3","2","0","0","0","0","12","4.8","-6"
"17","17","2018-11-23","19-323","CLE","@","PHI","W (+9)","1","31:30","10","18",".556","0","0","","3","4",".750","1","4","5","3","1","1","2","1","23","17.3","0"
"18","18","2018-11-24","19-324","CLE","","HOU","W (+9)","1","33:39","14","21",".667","1","3",".333","0","0","","0","4","4","2","0","0","3","4","29","17.9","+7"
"19","19","2018-11-26","19-326","CLE","","MIN","L (-7)","1","38:57","5","19",".263","0","3",".000","1","1","1.000","1","6","7","4","0","0","4","2","11","0.2","+8"
"20","20","2018-11-28","19-328","CLE","@","OKC","L (-17)","1","37:57","9","20",".450","1","2",".500","2","2","1.000","1","9","10","3","1","0","2","2","21","14.3","-7"
"21","21","2018-11-30","19-330","CLE","@","BOS","L (-33)","1","33:07","6","18",".333","0","1",".000","3","3","1.000","0","4","4","4","0","0","3","4","15","4.2","-32"
"22","22","2018-12-01","19-331","CLE","","TOR","L (-11)","1","26:25","5","12",".417","0","1",".000","0","0","","0","2","2","2","0","0","3","3","10","1.4","-15"
"23","23","2018-12-03","19-333","CLE","@","BRK","W (+2)","1","31:59","7","16",".438","1","1","1.000","0","0","","1","0","1","2","1","0","0","1","15","9.3","-2"
"24","24","2018-12-05","19-335","CLE","","GSW","L (-24)","1","35:16","7","14",".500","3","3","1.000","4","5",".800","0","2","2","3","0","0","1","1","21","14.9","-20"
"25","25","2018-12-07","19-337","CLE","","SAC","L (-19)","1","34:41","9","16",".563","0","2",".000","5","6",".833","1","0","1","2","0","0","5","4","23","10.5","-28"
"26","26","2018-12-08","19-338","CLE","","WAS","W (+15)","1","40:07","13","23",".565","3","7",".429","0","0","","0","3","3","6","2","0","4","3","29","20.0","+10"
"27","27","2018-12-10","19-340","CLE","@","MIL","L (-16)","1","32:15","5","18",".278","2","3",".667","3","4",".750","1","3","4","2","0","0","2","4","15","3.4","-13"
"28","28","2018-12-12","19-342","CLE","","NYK","W (+7)","1","28:40","9","16",".563","1","4",".250","0","0","","1","2","3","2","0","0","5","4","19","7.5","-15"
"29","29","2018-12-14","19-344","CLE","","MIL","L (-12)","1","23:58","2","11",".182","0","2",".000","1","2",".500","1","2","3","1","0","0","1","1","5","-1.7","-18"
"30","30","2018-12-16","19-346","CLE","","PHI","L (-23)","1","30:30","6","13",".462","0","2",".000","0","0","","0","1","1","2","2","0","3","3","12","4.8","-22"
"31","31","2018-12-18","19-348","CLE","@","IND","W (+1)","1","32:26","6","13",".462","0","1",".000","0","0","","1","0","1","0","0","0","2","1","12","3.6","-17"
"32","32","2018-12-19","19-349","CLE","@","CHO","L (-11)","1","27:11","5","16",".313","1","2",".500","0","0","","0","3","3","3","1","0","1","4","11","3.2","-5"
"33","33","2018-12-21","19-351","CLE","@","TOR","L (-16)","1","28:07","6","17",".353","0","1",".000","5","5","1.000","1","4","5","3","1","0","1","6","17","9.1","-20"
"34","34","2018-12-23","19-353","CLE","","CHI","L (-20)","1","32:51","3","16",".188","0","2",".000","0","0","","1","2","3","3","1","0","1","1","6","-1.0","-13"
"35","35","2018-12-26","19-356","CLE","@","MEM","L (-8)","1","30:08","6","15",".400","0","2",".000","4","4","1.000","2","3","5","6","1","0","2","3","16","12.2","-2"
"36","36","2018-12-28","19-358","CLE","@","MIA","L (-24)","1","28:37","2","10",".200","1","4",".250","3","4",".750","0","2","2","3","0","0","3","1","8","0.7","-18"
"37","37","2018-12-29","19-359","CLE","@","ATL","L (-3)","1","28:03","6","15",".400","0","1",".000","6","8",".750","0","3","3","6","0","0","0","4","18","12.6","+6"
"38","38","2019-01-02","19-363","CLE","","MIA","L (-25)","1","30:01","5","15",".333","2","4",".500","0","0","","0","4","4","4","0","0","1","3","12","5.3","-17"
"39","39","2019-01-04","20-000","CLE","","UTA","L (-26)","1","29:38","3","13",".231","3","4",".750","4","4","1.000","0","1","1","3","1","0","4","3","13","3.3","-13"
"40","40","2019-01-05","20-001","CLE","","NOP","L (-35)","1","30:41","5","12",".417","2","5",".400","3","4",".750","1","2","3","2","0","0","3","2","15","7.1","-30"
