"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"23","1","2018-12-05","22-289","MIL","","DET","W (+23)","0","5:37","2","3",".667","2","3",".667","1","2",".500","0","0","0","0","1","0","0","3","7","5.1","0"
"26","2","2018-12-10","22-294","MIL","","CLE","W (+16)","0","13:09","3","4",".750","1","2",".500","0","0","","0","1","1","0","1","0","1","1","7","5.3","-7"
"29","3","2018-12-17","22-301","MIL","@","DET","W (+3)","0","25:44","4","5",".800","1","1","1.000","0","0","","0","3","3","3","0","1","0","2","9","10.0","+2"
"30","4","2018-12-19","22-303","MIL","","NOP","W (+8)","0","23:55","4","10",".400","1","4",".250","0","0","","4","6","10","0","0","1","0","1","9","8.5","+8"
"31","5","2018-12-21","22-305","MIL","@","BOS","W (+13)","0","12:47","1","2",".500","1","2",".500","1","2",".500","2","3","5","0","0","1","1","4","4","3.0","+3"
"32","6","2018-12-22","22-306","MIL","@","MIA","L (-7)","0","26:08","2","6",".333","1","3",".333","0","0","","2","6","8","0","0","0","0","3","5","3.6","+2"
"33","7","2018-12-25","22-309","MIL","@","NYK","W (+14)","0","16:20","1","4",".250","1","2",".500","2","6",".333","0","3","3","0","1","0","0","4","5","1.3","0"
"34","8","2018-12-27","22-311","MIL","","NYK","W (+16)","0","20:47","4","8",".500","1","2",".500","1","1","1.000","3","11","14","1","0","2","1","0","10","12.5","+17"
"35","9","2018-12-29","22-313","MIL","","BRK","W (+14)","0","19:49","2","6",".333","1","2",".500","2","2","1.000","0","7","7","1","0","0","0","2","7","5.6","+3"
"36","10","2019-01-01","22-316","MIL","","DET","W (+23)","0","17:14","0","2",".000","0","1",".000","0","0","","1","4","5","1","0","0","0","1","0","0.8","+13"
"37","11","2019-01-04","22-319","MIL","","ATL","W (+32)","0","21:57","3","4",".750","1","1","1.000","1","2",".500","0","4","4","5","1","0","0","1","8","11.3","+17"
