"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-18","28-095","POR","","LAL","W (+9)","1","35:24","9","21",".429","2","7",".286","8","8","1.000","1","5","6","4","1","1","3","0","28","20.6","-8"
"2","2","2018-10-20","28-097","POR","","SAS","W (+13)","1","30:16","9","15",".600","3","6",".500","8","8","1.000","0","2","2","9","0","0","0","0","29","29.0","+18"
"3","3","2018-10-22","28-099","POR","","WAS","L (-1)","1","40:32","7","21",".333","2","10",".200","13","15",".867","0","8","8","8","1","0","5","1","29","19.9","+1"
"4","4","2018-10-25","28-102","POR","@","ORL","W (+14)","1","36:09","13","23",".565","5","10",".500","10","12",".833","2","5","7","6","1","0","1","0","41","36.4","+15"
"5","5","2018-10-27","28-104","POR","@","MIA","L (-9)","1","36:52","15","28",".536","5","11",".455","7","7","1.000","2","5","7","6","0","0","1","3","42","33.3","-1"
"6","6","2018-10-29","28-106","POR","@","IND","W (+10)","1","32:49","5","13",".385","2","7",".286","4","4","1.000","0","1","1","2","0","1","3","4","16","6.7","-13"
"7","7","2018-10-30","28-107","POR","@","HOU","W (+19)","1","27:36","8","10",".800","1","2",".500","5","5","1.000","0","3","3","7","1","0","3","2","22","21.2","+20"
"8","8","2018-11-01","28-109","POR","","NOP","W (+13)","1","30:59","7","16",".438","4","7",".571","8","8","1.000","2","5","7","6","1","0","4","3","26","20.5","+12"
"9","9","2018-11-03","28-111","POR","","LAL","L (-4)","1","35:48","10","23",".435","2","9",".222","8","8","1.000","1","3","4","4","3","0","0","1","30","24.9","+16"
"10","10","2018-11-04","28-112","POR","","MIN","W (+30)","1","28:01","6","16",".375","1","4",".250","5","6",".833","0","5","5","5","1","0","0","0","18","14.8","+19"
"11","11","2018-11-06","28-114","POR","","MIL","W (+15)","1","36:06","5","15",".333","3","7",".429","0","0","","1","5","6","3","0","1","2","2","13","6.7","+12"
"12","12","2018-11-08","28-116","POR","","LAC","W (+11)","1","34:57","11","25",".440","3","7",".429","0","0","","1","3","4","4","1","1","2","1","25","15.6","+5"
"13","13","2018-11-11","28-119","POR","","BOS","W (+6)","1","35:15","7","15",".467","2","7",".286","3","3","1.000","0","5","5","12","0","0","4","1","19","16.8","+15"
"14","14","2018-11-14","28-122","POR","@","LAL","L (-9)","1","37:31","8","23",".348","3","9",".333","12","13",".923","1","7","8","11","0","1","2","2","31","26.1","-7"
"15","15","2018-11-16","28-124","POR","@","MIN","L (-16)","1","36:35","5","18",".278","1","7",".143","5","6",".833","2","4","6","5","0","0","5","2","16","5.3","-21"
"16","16","2018-11-18","28-126","POR","@","WAS","W (+10)","1","38:03","12","29",".414","3","10",".300","13","15",".867","2","4","6","5","1","0","1","2","40","29.0","+17"
"17","17","2018-11-20","28-128","POR","@","NYK","W (+4)","1","36:12","9","22",".409","3","9",".333","8","10",".800","1","5","6","8","2","0","4","2","29","21.4","+8"
"18","18","2018-11-21","28-129","POR","@","MIL","L (-43)","1","30:47","5","12",".417","1","6",".167","11","13",".846","0","4","4","5","0","2","4","2","22","16.1","-25"
"19","19","2018-11-23","28-131","POR","@","GSW","L (-28)","1","34:45","9","24",".375","3","7",".429","2","3",".667","0","2","2","8","2","1","2","1","23","15.9","-19"
"20","20","2018-11-25","28-133","POR","","LAC","L (-4)","1","41:01","12","27",".444","3","13",".231","3","4",".750","1","5","6","4","0","0","3","3","30","16.3","-13"
"21","21","2018-11-28","28-136","POR","","ORL","W (+3)","1","37:22","13","22",".591","10","15",".667","5","7",".714","0","8","8","4","2","1","3","2","41","34.1","+15"
"22","22","2018-11-30","28-138","POR","","DEN","L (-1)","1","39:44","6","16",".375","3","8",".375","0","0","","0","1","1","8","0","0","1","1","15","10.7","-4"
"23","23","2018-12-02","28-140","POR","@","SAS","L (-13)","1","41:23","12","28",".429","3","11",".273","10","10","1.000","0","2","2","10","2","0","1","2","37","30.0","-7"
"24","24","2018-12-04","28-142","POR","@","DAL","L (-9)","1","37:32","10","23",".435","2","8",".250","11","12",".917","2","6","8","8","1","2","6","5","33","23.7","-12"
"25","25","2018-12-06","28-144","POR","","PHO","W (+22)","1","27:42","8","14",".571","3","5",".600","6","7",".857","1","4","5","8","1","1","4","1","25","22.8","+31"
"26","26","2018-12-08","28-146","POR","","MIN","W (+8)","1","36:11","8","16",".500","4","9",".444","8","9",".889","1","7","8","6","1","0","3","1","28","24.2","+15"
"27","27","2018-12-11","28-149","POR","@","HOU","L (-7)","1","38:36","12","25",".480","4","7",".571","6","7",".857","1","1","2","2","0","0","3","3","34","19.1","+7"
"28","28","2018-12-12","28-150","POR","@","MEM","L (-9)","1","38:07","4","18",".222","1","5",".200","5","7",".714","1","6","7","3","2","0","4","2","14","4.0","-4"
"29","29","2018-12-14","28-152","POR","","TOR","W (+6)","1","29:29","8","10",".800","3","3","1.000","5","5","1.000","0","2","2","4","1","1","1","2","24","23.5","-4"
"30","30","2018-12-17","28-155","POR","@","LAC","W (+4)","1","35:30","11","20",".550","6","7",".857","11","13",".846","0","3","3","6","2","0","2","4","39","32.1","+15"
"31","31","2018-12-19","28-157","POR","","MEM","W (+7)","1","33:22","9","18",".500","5","8",".625","1","1","1.000","0","5","5","4","2","2","4","1","24","18.3","-11"
"32","32","2018-12-21","28-159","POR","","UTA","L (-30)","1","34:02","7","16",".438","4","8",".500","1","2",".500","3","1","4","2","3","2","4","0","19","14.4","-10"
"33","33","2018-12-23","28-161","POR","","DAL","W (+3)","1","39:25","11","24",".458","2","7",".286","9","9","1.000","0","2","2","7","0","1","2","3","33","23.6","0"
"34","34","2018-12-25","28-163","POR","@","UTA","L (-21)","1","34:18","9","21",".429","2","5",".400","0","0","","2","3","5","4","0","1","1","3","20","12.5","-13"
"35","35","2018-12-27","28-165","POR","@","GSW","W (+1)","1","41:19","7","20",".350","3","8",".375","4","4","1.000","0","1","1","5","1","0","1","2","21","12.8","-1"
"36","36","2018-12-29","28-167","POR","","GSW","L (-10)","1","38:43","14","23",".609","6","13",".462","6","7",".857","1","1","2","5","1","0","3","5","40","29.6","+3"
"37","37","2018-12-30","28-168","POR","","PHI","W (+34)","1","27:11","6","10",".600","3","6",".500","0","0","","0","7","7","5","0","0","7","0","15","9.0","+28"
"38","38","2019-01-01","28-170","POR","@","SAC","W (+5)","1","41:54","8","21",".381","1","9",".111","8","8","1.000","1","5","6","6","1","0","5","0","25","15.9","+10"
"39","39","2019-01-04","28-173","POR","","OKC","L (-2)","1","35:39","7","19",".368","1","8",".125","8","9",".889","0","0","0","8","2","0","4","4","23","14.1","-7"
"40","40","2019-01-05","28-174","POR","","HOU","W (+9)","1","36:12","5","15",".333","2","5",".400","5","6",".833","1","4","5","12","2","0","4","1","17","16.0","+13"
"41","41","2019-01-07","28-176","POR","","NYK","W (+10)","1","32:18","5","14",".357","2","6",".333","5","5","1.000","1","3","4","9","1","0","4","1","17","13.7","+10"
"42","42","2019-01-09","28-178","POR","","CHI","W (+12)","1","33:23","4","12",".333","2","5",".400","6","6","1.000","0","1","1","10","1","0","2","0","16","15.5","+7"
"43","43","2019-01-11","28-180","POR","","CHO","W (+31)","1","28:44","8","16",".500","2","7",".286","2","2","1.000","2","2","4","5","3","4","2","2","20","20.5","+26"
"44","44","2019-01-13","28-182","POR","@","DEN","L (-3)","1","38:00","8","21",".381","2","10",".200","8","8","1.000","1","3","4","7","0","0","2","1","26","18.6","-7"
"45","45","2019-01-14","28-183","POR","@","SAC","L (-8)","1","36:54","11","27",".407","4","12",".333","9","9","1.000","1","2","3","5","1","0","6","1","35","19.9","+6"
"46","46","2019-01-16","28-185","POR","","CLE","W (+17)","1","32:00","11","19",".579","4","6",".667","7","7","1.000","0","2","2","6","0","0","0","2","33","28.1","+23"
"47","47","2019-01-18","28-187","POR","","NOP","W (+16)","1","36:35","8","20",".400","2","9",".222","6","8",".750","3","2","5","8","1","0","2","0","24","19.7","+16"
"48","48","2019-01-21","28-190","POR","@","UTA","W (+5)","1","36:26","10","20",".500","1","5",".200","5","6",".833","1","7","8","8","0","0","2","2","26","21.2","+9"
"49","49","2019-01-22","28-191","POR","@","OKC","L (-9)","1","40:24","12","24",".500","2","10",".200","8","8","1.000","1","4","5","8","5","0","5","4","34","27.9","+3"
"50","50","2019-01-24","28-193","POR","@","PHO","W (+14)","1","29:31","7","16",".438","1","3",".333","9","9","1.000","0","3","3","3","2","2","2","2","24","19.2","+17"
"52","51","2019-01-30","28-199","POR","","UTA","W (+27)","1","37:02","12","21",".571","3","7",".429","9","9","1.000","0","8","8","11","2","0","3","2","36","34.4","+29"
"53","52","2019-02-05","28-205","POR","","MIA","L (-10)","1","35:10","5","15",".333","2","10",".200","1","2",".500","0","3","3","10","1","0","4","3","13","7.8","-16"
"54","53","2019-02-07","28-207","POR","","SAS","W (+9)","1","36:01","10","20",".500","0","7",".000","4","4","1.000","0","2","2","9","5","0","2","2","24","23.1","+9"
"55","54","2019-02-10","28-210","POR","@","DAL","L (-1)","1","36:19","10","23",".435","6","11",".545","4","4","1.000","0","3","3","5","2","0","5","1","30","18.9","+2"
"56","55","2019-02-11","28-211","POR","@","OKC","L (-9)","1","36:49","9","22",".409","3","8",".375","10","11",".909","1","6","7","6","2","1","4","4","31","22.6","+8"
"57","56","2019-02-13","28-213","POR","","GSW","W (+22)","1","31:38","9","15",".600","6","8",".750","5","6",".833","1","2","3","8","0","0","0","1","29","28.2","+8"
"58","57","2019-02-21","28-221","POR","@","BRK","W (+14)","1","36:26","5","21",".238","2","9",".222","1","1","1.000","4","4","8","8","2","0","1","2","13","10.1","+30"
"59","58","2019-02-23","28-223","POR","@","PHI","W (+15)","1","29:38","5","10",".500","1","5",".200","6","6","1.000","1","5","6","8","1","0","1","1","17","19.4","+24"
"60","59","2019-02-25","28-225","POR","@","CLE","W (+13)","1","37:20","6","13",".462","3","9",".333","6","6","1.000","0","4","4","8","0","2","4","3","21","17.3","+11"
"61","60","2019-02-27","28-227","POR","@","BOS","W (+5)","1","37:17","13","28",".464","3","10",".300","4","4","1.000","3","4","7","4","1","0","1","2","33","23.9","+9"
