"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"3","1","2018-10-20","24-167","NYK","","BOS","L (-2)","0","22:21","4","8",".500","2","5",".400","0","0","","0","2","2","2","2","0","0","2","10","9.2","+7"
"4","2","2018-10-22","24-169","NYK","@","MIL","L (-11)","0","31:30","5","13",".385","4","8",".500","0","0","","1","7","8","0","2","0","0","3","14","10.5","-8"
"5","3","2018-10-24","24-171","NYK","@","MIA","L (-23)","0","34:28","8","14",".571","3","8",".375","1","2",".500","2","8","10","2","1","1","1","2","20","18.1","-5"
"6","4","2018-10-26","24-173","NYK","","GSW","L (-28)","1","29:33","5","12",".417","2","6",".333","0","0","","2","5","7","0","1","0","1","1","12","8.1","-8"
"7","5","2018-10-29","24-176","NYK","","BRK","W (+19)","1","28:00","4","10",".400","1","6",".167","1","1","1.000","1","4","5","0","0","0","2","2","10","3.7","+21"
"8","6","2018-10-31","24-178","NYK","","IND","L (-6)","1","31:57","5","11",".455","2","4",".500","1","1","1.000","0","3","3","1","1","0","0","0","13","9.9","-8"
"9","7","2018-11-02","24-180","NYK","@","DAL","W (+12)","1","36:21","5","13",".385","1","3",".333","0","2",".000","1","7","8","1","1","0","1","1","11","6.2","+18"
"10","8","2018-11-04","24-182","NYK","@","WAS","L (-13)","1","30:32","5","11",".455","0","3",".000","1","1","1.000","1","5","6","2","0","0","2","2","11","6.1","-13"
"11","9","2018-11-05","24-183","NYK","","CHI","L (-1)","1","41:24","7","14",".500","2","7",".286","2","2","1.000","1","4","5","2","0","0","0","3","18","13.1","-1"
"12","10","2018-11-07","24-185","NYK","@","ATL","W (+5)","1","17:51","1","1","1.000","1","1","1.000","0","0","","0","3","3","2","0","0","0","4","3","3.4","+6"
"13","11","2018-11-10","24-188","NYK","@","TOR","L (-16)","1","23:15","5","15",".333","1","6",".167","0","0","","1","3","4","1","1","0","0","2","11","5.0","-8"
"14","12","2018-11-11","24-189","NYK","","ORL","L (-26)","1","20:48","2","4",".500","1","2",".500","0","0","","0","1","1","0","0","0","2","0","5","1.3","-19"
"15","13","2018-11-14","24-192","NYK","@","OKC","L (-25)","0","23:18","2","7",".286","0","1",".000","0","0","","2","2","4","3","2","1","0","1","4","6.3","-11"
"16","14","2018-11-16","24-194","NYK","@","NOP","L (-5)","0","18:32","3","8",".375","0","2",".000","0","0","","0","2","2","0","2","0","1","2","6","2.4","0"
"17","15","2018-11-18","24-196","NYK","@","ORL","L (-14)","0","13:39","1","3",".333","0","0","","1","2",".500","0","0","0","0","0","0","1","2","3","-0.9","-2"
"22","16","2018-11-27","24-205","NYK","@","DET","L (-7)","0","23:15","6","8",".750","3","3","1.000","2","2","1.000","0","1","1","0","1","0","0","2","17","14.3","+5"
"23","17","2018-11-28","24-206","NYK","@","PHI","L (-26)","0","23:37","6","11",".545","2","6",".333","2","2","1.000","1","3","4","0","3","1","0","2","16","15.2","+5"
"24","18","2018-12-01","24-209","NYK","","MIL","W (+2)","0","33:22","7","9",".778","5","5","1.000","2","2","1.000","1","4","5","1","1","0","0","1","21","20.7","+15"
"25","19","2018-12-03","24-211","NYK","","WAS","L (-3)","0","24:20","6","12",".500","3","6",".500","2","2","1.000","5","4","9","1","1","0","1","1","17","16.0","-3"
"26","20","2018-12-06","24-214","NYK","@","BOS","L (-28)","0","20:00","2","11",".182","0","6",".000","1","2",".500","0","3","3","0","1","0","1","2","5","-2.2","-19"
"27","21","2018-12-08","24-216","NYK","","BRK","L (-8)","0","29:35","5","10",".500","2","3",".667","0","2",".000","0","3","3","2","0","0","1","3","12","6.3","-1"
"28","22","2018-12-09","24-217","NYK","","CHO","L (-12)","0","31:19","6","8",".750","0","0","","0","0","","0","1","1","3","0","0","3","0","12","8.2","+7"
"29","23","2018-12-12","24-220","NYK","@","CLE","L (-7)","0","19:08","2","7",".286","0","3",".000","0","0","","0","1","1","1","1","1","1","4","4","0.0","-9"
"33","24","2018-12-19","24-227","NYK","@","PHI","L (-22)","0","22:18","6","11",".545","2","6",".333","0","0","","0","1","1","0","0","0","1","1","14","7.6","-13"
"34","25","2018-12-21","24-229","NYK","","ATL","L (-7)","0","15:36","1","4",".250","0","1",".000","0","0","","1","1","2","0","1","0","1","1","2","0.2","-4"
"35","26","2018-12-25","24-233","NYK","","MIL","L (-14)","0","19:07","1","2",".500","0","1",".000","0","0","","1","3","4","3","0","0","1","3","2","2.5","-4"
"36","27","2018-12-27","24-235","NYK","@","MIL","L (-16)","0","28:41","1","9",".111","1","2",".500","1","2",".500","0","4","4","0","2","0","0","4","4","-0.7","-8"
"37","28","2018-12-29","24-237","NYK","@","UTA","L (-32)","0","21:18","2","6",".333","2","4",".500","3","3","1.000","1","3","4","0","2","0","0","1","9","8.8","-36"
"38","29","2019-01-01","24-240","NYK","@","DEN","L (-7)","0","13:07","0","2",".000","0","1",".000","1","2",".500","0","0","0","3","0","0","0","2","1","0.5","+4"
"39","30","2019-01-04","24-243","NYK","@","LAL","W (+7)","0","24:10","4","10",".400","1","5",".200","2","2","1.000","0","2","2","3","4","0","0","1","11","11.9","-9"
"40","31","2019-01-07","24-246","NYK","@","POR","L (-10)","0","21:37","2","4",".500","1","2",".500","0","0","","0","2","2","1","0","0","1","2","5","2.5","-8"
"41","32","2019-01-08","24-247","NYK","@","GSW","L (-27)","0","22:21","0","7",".000","0","4",".000","0","0","","0","1","1","1","2","0","0","1","0","-2.3","-9"
"42","33","2019-01-11","24-250","NYK","","IND","L (-15)","0","27:35","4","7",".571","3","5",".600","4","4","1.000","1","5","6","4","0","0","1","1","15","15.3","-4"
"43","34","2019-01-13","24-252","NYK","","PHI","L (-3)","1","36:22","2","5",".400","2","3",".667","2","3",".667","0","4","4","5","0","0","1","3","8","7.4","+2"
"44","35","2019-01-17","24-256","NYK","@","WAS","L (-1)","0","25:19","5","8",".625","3","4",".750","0","0","","0","3","3","2","0","0","0","2","13","10.9","+7"
"45","36","2019-01-21","24-260","NYK","","OKC","L (-18)","0","23:37","1","4",".250","0","2",".000","1","2",".500","0","3","3","2","1","0","0","1","3","3.1","-9"
"46","37","2019-01-23","24-262","NYK","","HOU","L (-4)","0","24:51","2","5",".400","2","4",".500","2","2","1.000","0","6","6","0","0","0","2","2","8","4.3","+15"
"47","38","2019-01-25","24-264","NYK","@","BRK","L (-10)","0","22:25","1","5",".200","1","3",".333","0","0","","0","0","0","2","1","0","0","1","3","1.9","-16"
"48","39","2019-01-27","24-266","NYK","","MIA","L (-9)","0","26:03","5","9",".556","2","5",".400","2","5",".400","0","1","1","4","2","1","2","0","14","12.3","+6"
"49","40","2019-01-28","24-267","NYK","@","CHO","L (-9)","0","14:11","1","3",".333","1","1","1.000","0","1",".000","1","1","2","0","2","0","0","2","3","3.1","-16"
"50","41","2019-01-30","24-269","NYK","","DAL","L (-24)","0","20:29","2","7",".286","1","4",".250","0","0","","0","2","2","1","0","0","0","4","5","0.6","+2"
"51","42","2019-02-01","24-271","NYK","","BOS","L (-14)","1","37:40","9","16",".563","4","8",".500","0","0","","0","6","6","0","0","0","2","3","22","13.0","-16"
"52","43","2019-02-03","24-273","NYK","","MEM","L (-12)","1","19:33","2","7",".286","1","5",".200","0","0","","0","3","3","2","0","0","1","1","5","1.8","-23"
"53","44","2019-02-05","24-275","NYK","","DET","L (-13)","0","19:40","1","7",".143","1","2",".500","1","2",".500","1","2","3","3","1","0","0","0","4","3.5","0"
"54","45","2019-02-08","24-278","NYK","@","DET","L (-17)","1","23:56","4","8",".500","1","2",".500","1","2",".500","0","2","2","2","0","0","1","3","10","5.4","-10"
"55","46","2019-02-09","24-279","NYK","","TOR","L (-5)","1","19:24","2","9",".222","0","2",".000","0","0","","0","2","2","2","1","0","2","2","4","-1.3","-2"
"56","47","2019-02-11","24-281","NYK","@","CLE","L (-3)","1","22:20","2","6",".333","1","2",".500","3","4",".750","1","4","5","1","1","0","0","2","8","7.0","-2"
"57","48","2019-02-13","24-283","NYK","","PHI","L (-15)","0","30:41","6","16",".375","2","7",".286","2","2","1.000","2","0","2","3","0","0","0","2","16","9.9","-18"
"58","49","2019-02-14","24-284","NYK","@","ATL","W (+15)","1","21:10","4","11",".364","1","7",".143","4","4","1.000","0","5","5","1","1","1","2","2","13","8.0","+8"
"59","50","2019-02-22","24-292","NYK","","MIN","L (-11)","1","33:50","7","16",".438","5","9",".556","1","1","1.000","1","2","3","3","0","1","2","1","20","13.3","+2"
"60","51","2019-02-24","24-294","NYK","","SAS","W (+12)","1","36:36","9","17",".529","8","13",".615","1","2",".500","0","5","5","2","1","0","0","3","27","21.0","+14"
"61","52","2019-02-26","24-296","NYK","","ORL","W (+5)","1","16:52","2","7",".286","1","4",".250","1","1","1.000","0","2","2","1","1","0","0","0","6","4.2","-14"
"62","53","2019-02-28","24-298","NYK","","CLE","L (-7)","1","29:24","4","10",".400","0","3",".000","1","2",".500","0","3","3","6","2","0","0","3","9","9.1","+15"
"63","54","2019-03-03","24-301","NYK","@","LAC","L (-21)","1","28:48","5","14",".357","4","8",".500","3","4",".750","1","4","5","0","1","0","0","1","17","11.3","-12"
"64","55","2019-03-04","24-302","NYK","@","SAC","L (-7)","1","30:25","4","10",".400","1","5",".200","2","2","1.000","0","4","4","3","0","0","2","2","11","6.1","-2"
"65","56","2019-03-06","24-304","NYK","@","PHO","L (-11)","1","33:34","6","12",".500","2","4",".500","1","1","1.000","1","8","9","5","0","0","1","4","15","13.0","-7"
"66","57","2019-03-09","24-307","NYK","","SAC","L (-8)","1","33:18","2","12",".167","0","4",".000","1","2",".500","0","6","6","3","0","0","0","0","5","0.9","-12"
"67","58","2019-03-10","24-308","NYK","@","MIN","L (-11)","1","40:37","10","19",".526","4","9",".444","2","2","1.000","2","4","6","6","2","0","3","2","26","21.7","-2"
"68","59","2019-03-12","24-310","NYK","@","IND","L (-5)","1","36:22","6","16",".375","4","8",".500","2","2","1.000","0","6","6","3","1","0","3","3","18","9.9","-1"
"69","60","2019-03-15","24-313","NYK","@","SAS","L (-26)","1","35:07","9","19",".474","3","6",".500","0","0","","0","2","2","2","2","0","0","1","21","14.9","-13"
"70","61","2019-03-17","24-315","NYK","","LAL","W (+1)","1","41:20","10","20",".500","3","10",".300","2","2","1.000","0","6","6","1","0","0","2","2","25","14.7","+9"
"71","62","2019-03-18","24-316","NYK","@","TOR","L (-36)","1","17:52","4","8",".500","3","7",".429","0","0","","0","0","0","0","2","0","2","1","11","6.6","-32"
"72","63","2019-03-20","24-318","NYK","","UTA","L (-21)","1","37:06","7","13",".538","4","9",".444","3","5",".600","0","1","1","3","1","1","2","5","21","14.0","-19"
"73","64","2019-03-22","24-320","NYK","","DEN","L (-18)","1","36:05","2","9",".222","1","7",".143","1","1","1.000","0","3","3","2","1","0","1","1","6","2.4","-8"
"74","65","2019-03-24","24-322","NYK","","LAC","L (-11)","1","44:22","7","16",".438","1","8",".125","3","4",".750","1","2","3","2","0","0","1","2","18","10.1","-9"
"75","66","2019-03-28","24-326","NYK","","TOR","L (-25)","1","29:24","3","9",".333","1","5",".200","2","2","1.000","0","5","5","0","0","0","1","3","9","3.2","-22"
"76","67","2019-03-30","24-328","NYK","","MIA","L (-8)","1","23:38","0","8",".000","0","6",".000","2","2","1.000","0","3","3","4","1","0","4","0","2","-2.9","-2"
"77","68","2019-04-01","24-330","NYK","","CHI","W (+8)","1","41:03","6","8",".750","6","7",".857","0","0","","0","6","6","6","1","1","4","5","18","16.5","+11"
"78","69","2019-04-03","24-332","NYK","@","ORL","L (-14)","1","36:15","3","7",".429","1","4",".250","0","0","","0","1","1","1","0","0","2","5","7","0.3","+9"
"79","70","2019-04-05","24-334","NYK","@","HOU","L (-24)","1","27:57","3","14",".214","1","8",".125","0","0","","0","3","3","1","0","0","0","0","7","0.0","-30"
"80","71","2019-04-07","24-336","NYK","","WAS","W (+3)","1","32:12","2","8",".250","2","3",".667","0","0","","0","3","3","5","0","1","2","0","6","4.3","+8"
"81","72","2019-04-09","24-338","NYK","@","CHI","W (+10)","1","40:59","5","10",".500","2","5",".400","0","0","","0","5","5","4","0","0","2","2","12","8.5","+16"
"82","73","2019-04-10","24-339","NYK","","DET","L (-26)","1","29:01","2","8",".250","1","4",".250","0","0","","0","2","2","3","0","0","1","0","5","1.9","-32"
