"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","30-070","LAC","","DEN","L (-9)","1","33:53","5","14",".357","4","7",".571","2","2","1.000","2","6","8","1","0","0","1","6","16","8.7","+9",".538",".500","5.6","16.3","11.0","5.1","0.0","0.0","6.3","20.3","106","111"
"2","2","2018-10-19","30-072","LAC","","OKC","W (+16)","1","26:36","10","16",".625","4","5",".800","2","3",".667","1","4","5","1","0","0","0","1","26","20.6","+2",".751",".750","3.8","13.6","9.0","10.6","0.0","0.0","0.0","28.2","146","97"
"3","3","2018-10-21","30-074","LAC","","HOU","W (+3)","1","32:26","7","19",".368","1","7",".143","5","5","1.000","3","6","9","4","0","1","2","3","20","13.7","+6",".472",".395","10.8","20.7","15.9","18.7","0.0","2.7","8.6","30.3","107","116"
"4","4","2018-10-23","30-076","LAC","@","NOP","L (-7)","1","35:07","8","15",".533","1","4",".250","7","7","1.000","1","5","6","1","1","1","0","3","24","20.1","-14",".664",".567","3.0","13.7","8.6","4.5","1.3","2.0","0.0","21.5","142","111"
"5","5","2018-10-26","30-079","LAC","@","HOU","W (+20)","1","21:06","4","5",".800","1","2",".500","7","7","1.000","0","5","5","1","0","1","1","1","16","15.6","+3",".990",".900","0.0","20.7","13.2","6.7","0.0","4.0","11.0","18.7","182","110"
"6","6","2018-10-28","30-081","LAC","","WAS","W (+32)","1","26:03","4","14",".286","1","3",".333","2","2","1.000","2","5","7","2","2","1","2","0","11","7.8","+14",".370",".321","8.2","16.2","12.6","7.6","3.5","2.6","11.8","25.3","87","93"
"7","7","2018-10-30","30-083","LAC","@","OKC","L (-18)","1","26:21","7","15",".467","3","4",".750","10","10","1.000","1","2","3","0","2","0","1","2","27","20.8","-16",".696",".567","4.8","8.9","6.9","0.0","3.3","0.0","4.9","31.8","136","115"
"8","8","2018-11-01","30-085","LAC","@","PHI","L (-9)","1","35:28","5","14",".357","4","8",".500","11","11","1.000","0","8","8","1","0","0","1","1","25","18.9","+11",".663",".500","0.0","24.6","12.7","4.3","0.0","0.0","5.0","22.7","135","117"
"9","9","2018-11-02","30-086","LAC","@","ORL","W (+25)","1","23:47","5","10",".500","1","2",".500","2","2","1.000","1","1","2","3","1","0","1","1","13","10.7","+10",".597",".550","4.8","4.2","4.5","19.6","2.0","0.0","8.4","21.1","125","97"
"10","10","2018-11-05","30-089","LAC","","MIN","W (+11)","1","31:05","7","16",".438","2","6",".333","6","6","1.000","0","4","4","3","0","0","2","5","22","12.9","0",".590",".500","0.0","16.3","7.6","14.4","0.0","0.0","9.7","29.1","119","117"
