"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","31-178","SAS","","MIN","W (+4)","0","6:36","0","2",".000","0","0","","0","0","","0","1","1","1","0","0","1","1","0","-1.8","-4"
"2","2","2018-10-20","31-181","SAS","@","POR","L (-13)","0","16:06","1","4",".250","1","2",".500","0","0","","1","1","2","1","0","0","0","1","3","1.9","+4"
"3","3","2018-10-22","31-183","SAS","@","LAL","W (+1)","1","29:14","1","2",".500","1","1","1.000","0","0","","2","10","12","1","2","1","0","6","3","7.4","+5"
"4","4","2018-10-24","31-185","SAS","","IND","L (-20)","0","11:43","0","1",".000","0","1",".000","2","2","1.000","0","1","1","0","0","0","0","2","2","0.8","0"
"5","5","2018-10-27","31-188","SAS","","LAL","W (+4)","1","26:02","1","5",".200","0","2",".000","2","2","1.000","2","3","5","0","1","0","0","0","4","4.2","-7"
"6","6","2018-10-29","31-190","SAS","","DAL","W (+5)","1","26:12","2","4",".500","0","1",".000","0","0","","0","4","4","1","1","0","0","1","4","4.5","-9"
"7","7","2018-10-31","31-192","SAS","@","PHO","W (+30)","1","26:13","2","4",".500","0","1",".000","0","0","","1","2","3","3","0","0","1","0","4","4.4","+3"
"8","8","2018-11-03","31-195","SAS","","NOP","W (+14)","1","37:39","5","8",".625","3","5",".600","2","2","1.000","3","4","7","2","1","2","1","3","15","16.3","+17"
"9","9","2018-11-04","31-196","SAS","","ORL","L (-7)","1","16:43","0","3",".000","0","1",".000","0","0","","1","2","3","3","0","2","0","3","0","1.5","-8"
"10","10","2018-11-07","31-199","SAS","@","MIA","L (-7)","1","21:34","1","1","1.000","0","0","","0","0","","1","3","4","1","1","1","1","2","2","3.9","-11"
"11","11","2018-11-10","31-202","SAS","","HOU","W (+7)","1","10:25","1","2",".500","0","0","","0","0","","0","2","2","0","1","0","1","4","2","0.0","+5"
"12","12","2018-11-12","31-204","SAS","@","SAC","L (-5)","1","29:07","4","7",".571","1","1","1.000","0","0","","4","3","7","0","1","0","1","3","9","8.2","-12"
"13","13","2018-11-14","31-206","SAS","@","PHO","L (-20)","1","25:03","2","5",".400","1","2",".500","0","0","","1","1","2","1","2","1","2","1","5","4.3","-18"
"14","14","2018-11-15","31-207","SAS","@","LAC","L (-5)","1","16:56","2","4",".500","0","1",".000","2","2","1.000","2","1","3","1","1","1","0","3","6","6.9","-14"
