"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-11-26","25-172","HOU","@","WAS","L (-4)","0","28:29","1","5",".200","0","3",".000","2","2","1.000","2","1","3","1","0","0","1","3","4","1.1","-6"
"2","2","2018-11-28","25-174","HOU","","DAL","L (-20)","0","23:25","6","13",".462","2","8",".250","4","6",".667","2","3","5","1","0","0","1","4","18","10.9","-14"
"3","3","2018-11-30","25-176","HOU","@","SAS","W (+31)","0","24:21","2","4",".500","2","4",".500","2","2","1.000","2","3","5","1","0","0","0","2","8","8.2","+6"
"4","4","2018-12-01","25-177","HOU","","CHI","W (+16)","0","17:14","2","7",".286","0","3",".000","2","4",".500","0","1","1","0","0","0","0","3","6","0.2","+6"
"5","5","2018-12-03","25-179","HOU","@","MIN","L (-12)","0","12:20","2","4",".500","2","4",".500","0","0","","0","0","0","1","1","0","1","3","6","3.5","+2"
"6","6","2018-12-06","25-182","HOU","@","UTA","L (-27)","0","23:58","2","4",".500","0","1",".000","3","4",".750","0","3","3","1","1","1","2","3","7","4.7","-11"
"7","7","2018-12-08","25-184","HOU","@","DAL","L (-3)","0","8:49","0","1",".000","0","1",".000","0","0","","0","2","2","1","0","0","0","1","0","0.2","+3"
"8","8","2018-12-11","25-187","HOU","","POR","W (+7)","0","18:50","4","8",".500","1","4",".250","3","4",".750","0","5","5","1","1","0","0","0","12","10.8","+24"
"9","9","2018-12-13","25-189","HOU","","LAL","W (+15)","0","29:16","5","8",".625","3","5",".600","2","2","1.000","1","2","3","0","1","0","1","0","15","12.7","+18"
"10","10","2018-12-15","25-191","HOU","@","MEM","W (+8)","0","19:11","0","2",".000","0","2",".000","0","0","","1","1","2","0","0","0","0","1","0","-0.8","+14"
"11","11","2018-12-17","25-193","HOU","","UTA","W (+5)","0","18:31","1","3",".333","0","2",".000","2","2","1.000","2","2","4","0","0","1","1","2","4","3.2","+16"
"12","12","2018-12-19","25-195","HOU","","WAS","W (+18)","0","25:12","2","8",".250","2","8",".250","3","5",".600","0","4","4","0","1","0","3","0","9","2.6","+10"
"13","13","2018-12-20","25-196","HOU","@","MIA","L (-2)","0","18:21","3","4",".750","2","3",".667","2","2","1.000","0","1","1","0","1","0","0","0","10","9.7","-11"
"14","14","2018-12-22","25-198","HOU","","SAS","W (+7)","1","27:34","2","4",".500","0","2",".000","0","0","","0","3","3","1","0","0","0","3","4","2.4","+6"
"15","15","2018-12-25","25-201","HOU","","OKC","W (+4)","1","25:28","3","6",".500","2","4",".500","1","1","1.000","2","2","4","2","1","1","1","1","9","9.7","+5"
"16","16","2018-12-27","25-203","HOU","","BOS","W (+14)","1","27:36","3","5",".600","1","3",".333","0","0","","2","6","8","2","1","1","1","3","7","8.8","+10"
"17","17","2018-12-29","25-205","HOU","@","NOP","W (+4)","1","32:19","5","8",".625","3","5",".600","2","4",".500","1","3","4","1","1","0","0","2","15","13.1","+7"
