"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","31-055","IND","","MEM","W (+28)","1","21:29","0","5",".000","0","1",".000","0","0","","0","1","1","5","0","0","3","4","0","-4.3","-1"
"2","2","2018-10-19","31-057","IND","@","MIL","L (-17)","1","26:48","4","6",".667","0","0","","2","2","1.000","0","2","2","3","1","0","3","0","10","8.1","-15"
"3","3","2018-10-20","31-058","IND","","BRK","W (+20)","1","22:53","5","8",".625","2","4",".500","1","2",".500","1","1","2","3","1","0","0","3","13","11.9","+12"
"4","4","2018-10-22","31-060","IND","@","MIN","L (-10)","1","25:09","1","6",".167","0","2",".000","3","4",".750","0","4","4","6","2","0","2","1","5","5.8","-2"
"5","5","2018-10-24","31-062","IND","@","SAS","W (+20)","1","21:09","2","7",".286","1","3",".333","0","0","","0","0","0","3","2","0","1","1","5","3.6","-1"
"6","6","2018-10-27","31-065","IND","@","CLE","W (+12)","1","29:52","5","8",".625","1","1","1.000","4","4","1.000","0","2","2","6","3","0","2","3","15","16.0","+15"
"7","7","2018-10-29","31-067","IND","","POR","L (-10)","1","36:04","8","14",".571","0","1",".000","1","2",".500","1","1","2","6","2","0","0","1","17","16.8","+9"
"8","8","2018-10-31","31-069","IND","@","NYK","W (+6)","1","23:47","4","7",".571","0","0","","0","0","","0","3","3","6","1","0","1","1","8","9.4","+3"
"9","9","2018-11-02","31-071","IND","@","CHI","W (+2)","1","35:32","6","15",".400","1","6",".167","1","1","1.000","1","3","4","4","2","0","2","2","14","9.5","+10"
"10","10","2018-11-03","31-072","IND","","BOS","W (+1)","1","25:45","4","7",".571","1","2",".500","0","0","","1","1","2","4","1","0","1","1","9","9.1","+1"
"11","11","2018-11-05","31-074","IND","","HOU","L (-4)","1","27:30","3","6",".500","0","1",".000","2","4",".500","0","1","1","2","1","0","1","2","8","5.1","-7"
"12","12","2018-11-07","31-076","IND","","PHI","L (-6)","1","18:23","0","3",".000","0","0","","0","0","","0","1","1","1","1","0","1","2","0","-1.9","-17"
"13","13","2018-11-09","31-078","IND","@","MIA","W (+8)","1","36:24","6","10",".600","0","3",".000","5","8",".625","0","3","3","4","1","2","1","1","17","15.9","+11"
"14","14","2018-11-11","31-080","IND","@","HOU","L (-12)","1","34:44","5","10",".500","3","5",".600","0","1",".000","1","2","3","3","0","1","2","2","13","8.9","-12"
"15","15","2018-11-16","31-085","IND","","MIA","W (+8)","1","24:15","1","7",".143","1","1","1.000","1","2",".500","0","0","0","2","4","0","2","1","4","2.1","-14"
"16","16","2018-11-17","31-086","IND","","ATL","W (+8)","1","26:16","4","10",".400","2","3",".667","2","2","1.000","1","1","2","5","2","0","1","3","12","10.9","+6"
"17","17","2018-11-19","31-088","IND","","UTA","W (+27)","1","26:54","4","9",".444","1","2",".500","0","0","","2","4","6","7","1","0","0","0","9","12.8","+14"
"18","18","2018-11-21","31-090","IND","@","CHO","L (-18)","1","24:08","3","8",".375","0","2",".000","0","0","","0","1","1","3","0","0","1","2","6","2.2","-22"
"19","19","2018-11-23","31-092","IND","","SAS","L (-11)","1","26:15","2","8",".250","0","3",".000","0","0","","0","1","1","6","1","0","2","3","4","1.5","-20"
"20","20","2018-11-26","31-095","IND","@","UTA","W (+33)","1","26:15","4","6",".667","0","1",".000","0","0","","1","2","3","11","4","0","0","0","8","18.4","+17"
"21","21","2018-11-27","31-096","IND","@","PHO","W (+5)","1","32:09","3","9",".333","0","1",".000","5","8",".625","1","4","5","11","1","0","3","1","11","11.9","+2"
"22","22","2018-11-29","31-098","IND","@","LAL","L (-8)","1","26:39","3","12",".250","1","4",".250","2","2","1.000","0","3","3","4","4","0","0","1","9","9.1","-12"
"23","23","2018-12-01","31-100","IND","@","SAC","L (-1)","1","33:48","3","8",".375","2","3",".667","3","3","1.000","1","3","4","12","6","0","6","5","11","14.6","+13"
"24","24","2018-12-04","31-103","IND","","CHI","W (+6)","1","35:06","6","7",".857","3","4",".750","8","8","1.000","0","8","8","3","0","0","2","1","23","22.6","+13"
"25","25","2018-12-07","31-106","IND","@","ORL","W (+22)","1","26:19","1","5",".200","0","1",".000","0","0","","1","2","3","8","1","0","0","1","2","6.4","+8"
