"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","30-088","DAL","@","PHO","L (-21)","1","30:31","5","9",".556","0","0","","1","1","1.000","4","8","12","1","1","1","0","5","11","12.3","-21"
"2","2","2018-10-20","30-091","DAL","","MIN","W (+4)","1","31:45","8","10",".800","0","0","","6","7",".857","4","6","10","1","2","5","1","2","22","26.8","+2"
"3","3","2018-10-22","30-093","DAL","","CHI","W (+6)","1","31:36","8","11",".727","0","0","","2","2","1.000","6","10","16","0","0","1","3","3","18","17.2","+4"
"4","4","2018-10-24","30-095","DAL","@","ATL","L (-7)","1","35:31","3","6",".500","0","0","","5","7",".714","3","13","16","3","0","2","4","4","11","11.1","-21"
"5","5","2018-10-26","30-097","DAL","@","TOR","L (-9)","1","33:30","5","10",".500","0","0","","8","9",".889","5","10","15","5","0","1","2","1","18","20.9","0"
"6","6","2018-10-28","30-099","DAL","","UTA","L (-9)","1","36:36","4","5",".800","0","0","","4","4","1.000","5","14","19","9","0","1","2","3","12","21.6","+3"
"7","7","2018-10-29","30-100","DAL","@","SAS","L (-5)","1","41:08","4","6",".667","0","0","","0","2",".000","1","18","19","2","1","1","3","3","8","9.6","+11"
"8","8","2018-10-31","30-102","DAL","@","LAL","L (-1)","1","30:45","4","4","1.000","0","0","","2","2","1.000","1","11","12","0","1","1","6","3","10","7.3","-14"
"9","9","2018-11-02","30-104","DAL","","NYK","L (-12)","1","32:17","2","5",".400","0","0","","0","0","","2","8","10","1","1","0","1","3","4","4.6","-8"
"10","10","2018-11-06","30-108","DAL","","WAS","W (+19)","1","32:15","3","5",".600","0","0","","2","2","1.000","1","11","12","3","0","1","2","2","8","9.7","+13"
"11","11","2018-11-07","30-109","DAL","@","UTA","L (-15)","1","31:24","2","5",".400","0","0","","7","8",".875","1","11","12","3","1","2","4","5","11","10.4","-14"
"12","12","2018-11-10","30-112","DAL","","OKC","W (+15)","1","27:59","2","4",".500","0","0","","2","2","1.000","1","8","9","1","0","1","1","1","6","7.1","-2"
"13","13","2018-11-12","30-114","DAL","@","CHI","W (+5)","1","30:59","3","5",".600","0","0","","0","2",".000","0","16","16","2","0","0","1","5","6","6.1","-12"
"14","14","2018-11-14","30-116","DAL","","UTA","W (+50)","1","22:23","2","3",".667","0","0","","0","0","","3","7","10","4","1","0","4","3","4","5.5","+16"
"15","15","2018-11-17","30-119","DAL","","GSW","W (+3)","1","30:55","4","5",".800","0","0","","5","6",".833","0","10","10","0","1","1","3","2","13","11.6","+15"
"16","16","2018-11-19","30-121","DAL","@","MEM","L (-10)","1","38:21","6","12",".500","0","0","","5","6",".833","5","15","20","2","0","0","2","1","17","17.6","-3"
"17","17","2018-11-21","30-123","DAL","","BRK","W (+6)","1","29:29","4","6",".667","0","0","","4","6",".667","1","13","14","3","2","0","3","3","12","13.1","-2"
"18","18","2018-11-24","30-126","DAL","","BOS","W (+9)","1","33:26","5","7",".714","0","0","","4","7",".571","2","11","13","3","1","0","2","1","14","15.3","+10"
"19","19","2018-11-28","30-130","DAL","@","HOU","W (+20)","1","23:39","4","5",".800","0","0","","5","8",".625","2","5","7","1","0","2","3","1","13","11.5","-6"
"20","20","2018-11-30","30-132","DAL","@","LAL","L (-11)","1","30:15","3","5",".600","0","0","","2","2","1.000","4","8","12","1","0","1","3","4","8","7.7","-5"
"21","21","2018-12-02","30-134","DAL","","LAC","W (+4)","1","33:34","6","11",".545","0","0","","4","7",".571","6","17","23","3","1","1","1","4","16","20.0","+8"
"22","22","2018-12-04","30-136","DAL","","POR","W (+9)","1","31:04","4","8",".500","0","0","","4","5",".800","2","14","16","2","1","1","0","1","12","15.9","+4"
"23","23","2018-12-05","30-137","DAL","@","NOP","L (-26)","1","24:22","1","2",".500","0","0","","0","0","","1","7","8","0","0","0","4","2","2","-1.0","-16"
"24","24","2018-12-08","30-140","DAL","","HOU","W (+3)","1","32:00","6","9",".667","0","0","","0","0","","9","11","20","2","2","1","3","0","12","18.8","+8"
"25","25","2018-12-10","30-142","DAL","","ORL","W (+25)","1","27:15","3","7",".429","0","0","","1","1","1.000","0","9","9","2","1","2","2","1","7","7.4","+15"
"26","26","2018-12-12","30-144","DAL","","ATL","W (+7)","1","33:17","4","7",".571","0","0","","3","4",".750","1","10","11","2","0","0","2","1","11","10.0","+2"
"27","27","2018-12-13","30-145","DAL","@","PHO","L (-10)","1","32:17","5","5","1.000","0","0","","4","7",".571","5","10","15","1","1","0","5","0","14","14.5","-13"
"28","28","2018-12-16","30-148","DAL","","SAC","L (-7)","1","29:36","4","7",".571","0","0","","0","0","","10","13","23","3","0","3","0","2","8","19.0","-8"
"29","29","2018-12-18","30-150","DAL","@","DEN","L (-8)","1","26:48","4","6",".667","0","0","","3","6",".500","2","10","12","1","2","0","2","6","11","9.9","+18"
"30","30","2018-12-20","30-152","DAL","@","LAC","L (-4)","1","32:44","4","6",".667","0","0","","3","4",".750","7","15","22","4","1","0","0","2","11","20.4","-3"
"31","31","2018-12-22","30-154","DAL","@","GSW","L (-4)","1","35:41","4","8",".500","0","0","","4","10",".400","4","19","23","5","2","1","1","2","12","18.5","+6"
"32","32","2018-12-23","30-155","DAL","@","POR","L (-3)","1","34:21","6","8",".750","0","0","","2","3",".667","3","7","10","1","0","0","1","1","14","13.9","-2"
"33","33","2018-12-26","30-158","DAL","","NOP","W (+3)","1","30:08","7","7","1.000","0","0","","6","8",".750","1","11","12","2","0","1","3","2","20","19.4","0"
"34","34","2018-12-28","30-160","DAL","@","NOP","L (-2)","1","34:46","3","3","1.000","0","0","","3","5",".600","4","11","15","1","0","4","3","4","9","12.3","+4"
"35","35","2018-12-30","30-162","DAL","","OKC","W (+2)","1","33:27","4","6",".667","0","0","","4","6",".667","3","14","17","1","2","2","3","2","12","15.2","+8"
"36","36","2018-12-31","30-163","DAL","@","OKC","L (-20)","1","23:33","1","2",".500","0","0","","0","0","","1","9","10","1","0","0","6","4","2","-2.5","-13"
"37","37","2019-01-02","30-165","DAL","@","CHO","W (+38)","1","24:15","4","7",".571","0","0","","0","0","","4","9","13","1","0","1","0","3","8","10.4","+15"
"38","38","2019-01-04","30-167","DAL","@","BOS","L (-21)","1","30:38","5","6",".833","0","0","","2","2","1.000","5","10","15","2","1","2","0","1","12","19.7","+1"
"39","39","2019-01-05","30-168","DAL","@","PHI","L (-6)","1","30:44","4","5",".800","0","0","","0","0","","2","6","8","5","0","0","3","4","8","8.2","-9"
"40","40","2019-01-07","30-170","DAL","","LAL","L (-10)","1","33:27","2","3",".667","0","0","","6","8",".750","3","16","19","0","2","3","5","4","10","12.3","-5"
"41","41","2019-01-09","30-172","DAL","","PHO","W (+10)","1","31:39","4","8",".500","0","0","","3","6",".500","2","5","7","1","0","2","4","4","11","5.2","+12"
