"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","29-071","SAS","","MIN","W (+4)","1","38:11","10","21",".476","1","3",".333","7","11",".636","0","4","4","4","0","0","3","3","28","15.5","+7"
"2","2","2018-10-20","29-074","SAS","@","POR","L (-13)","1","34:22","11","22",".500","0","1",".000","6","6","1.000","1","2","3","9","2","0","2","3","28","23.4","-12"
"3","3","2018-10-22","29-076","SAS","@","LAL","W (+1)","1","45:00","11","29",".379","2","5",".400","8","9",".889","1","7","8","14","1","0","2","3","32","26.1","+7"
"4","4","2018-10-24","29-078","SAS","","IND","L (-20)","1","33:29","8","18",".444","0","1",".000","2","3",".667","0","3","3","4","0","0","1","3","18","9.7","-3"
"5","5","2018-10-27","29-081","SAS","","LAL","W (+4)","1","39:24","14","23",".609","0","0","","2","2","1.000","1","11","12","8","2","1","4","4","30","26.2","+2"
"6","6","2018-10-29","29-083","SAS","","DAL","W (+5)","1","42:53","12","21",".571","0","1",".000","10","10","1.000","1","5","6","9","3","0","2","4","34","32.0","-7"
"7","7","2018-10-31","29-085","SAS","@","PHO","W (+30)","1","27:51","10","12",".833","0","0","","5","5","1.000","0","4","4","3","1","1","1","1","25","24.2","+24"
"8","8","2018-11-03","29-088","SAS","","NOP","W (+14)","1","38:17","11","24",".458","0","3",".000","4","4","1.000","0","3","3","4","0","0","2","3","26","14.1","+3"
"9","9","2018-11-04","29-089","SAS","","ORL","L (-7)","1","32:47","9","16",".563","1","4",".250","6","6","1.000","1","6","7","5","2","0","4","2","25","20.6","0"
"10","10","2018-11-07","29-092","SAS","@","MIA","L (-7)","1","36:34","6","15",".400","1","2",".500","5","5","1.000","3","11","14","8","2","1","3","3","18","19.4","+1"
"11","11","2018-11-10","29-095","SAS","","HOU","W (+7)","1","39:19","5","12",".417","0","3",".000","3","4",".750","1","10","11","3","0","0","4","2","13","7.2","+12"
"12","12","2018-11-12","29-097","SAS","@","SAC","L (-5)","1","36:54","8","17",".471","0","2",".000","7","8",".875","0","2","2","8","0","0","4","1","23","15.7","-6"
"13","13","2018-11-14","29-099","SAS","@","PHO","L (-20)","1","32:16","7","15",".467","0","0","","10","10","1.000","0","5","5","4","0","0","2","2","24","17.8","-17"
"14","14","2018-11-15","29-100","SAS","@","LAC","L (-5)","1","40:51","14","30",".467","0","3",".000","6","8",".750","0","6","6","5","3","1","1","4","34","24.2","+11"
