"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2018-10-24","26-181","TOR","","MIN","W (+7)","0","5:14","0","0","","0","0","","0","0","","0","0","0","0","0","1","0","0","0","0.7","-13"
"7","2","2018-10-29","26-186","TOR","@","MIL","L (-15)","0","13:09","1","5",".200","0","1",".000","2","2","1.000","0","2","2","1","0","0","0","1","4","1.8","-15"
"8","3","2018-10-30","26-187","TOR","","PHI","W (+17)","0","13:58","3","9",".333","1","2",".500","0","0","","1","3","4","1","1","0","0","3","7","4.0","-9"
"9","4","2018-11-02","26-190","TOR","@","PHO","W (+9)","0","6:42","0","0","","0","0","","2","2","1.000","0","2","2","0","0","0","0","2","2","1.8","-2"
"10","5","2018-11-04","26-192","TOR","@","LAL","W (+14)","0","21:34","5","8",".625","0","2",".000","1","1","1.000","2","0","2","2","0","0","0","1","11","9.8","-10"
"11","6","2018-11-05","26-193","TOR","@","UTA","W (+13)","0","23:44","3","6",".500","1","3",".333","2","2","1.000","0","1","1","0","0","0","0","0","9","6.3","-5"
"12","7","2018-11-07","26-195","TOR","@","SAC","W (+9)","0","13:00","0","3",".000","0","1",".000","2","2","1.000","0","0","0","1","1","0","1","0","2","0.6","+3"
"13","8","2018-11-10","26-198","TOR","","NYK","W (+16)","0","24:18","4","6",".667","2","3",".667","2","2","1.000","1","4","5","3","1","1","1","0","12","14.1","+14"
"14","9","2018-11-12","26-200","TOR","","NOP","L (-16)","0","16:10","3","5",".600","2","3",".667","2","2","1.000","2","0","2","0","1","0","2","0","10","8.1","-3"
"15","10","2018-11-14","26-202","TOR","","DET","L (-2)","0","14:05","0","4",".000","0","3",".000","0","0","","1","1","2","2","1","0","1","0","0","-0.4","-1"
"16","11","2018-11-16","26-204","TOR","@","BOS","L (-7)","0","25:31","3","7",".429","1","2",".500","0","0","","0","2","2","2","2","1","0","1","7","7.6","-15"
"17","12","2018-11-17","26-205","TOR","@","CHI","W (+39)","0","19:09","3","8",".375","1","3",".333","0","0","","2","2","4","4","2","1","3","1","7","6.7","+14"
"18","13","2018-11-20","26-208","TOR","@","ORL","W (+2)","0","13:15","2","5",".400","0","1",".000","0","0","","0","1","1","2","0","1","2","0","4","1.7","+5"
"19","14","2018-11-21","26-209","TOR","@","ATL","W (+16)","0","22:30","3","7",".429","0","1",".000","0","0","","1","1","2","1","0","0","2","2","6","1.2","+2"
"20","15","2018-11-23","26-211","TOR","","WAS","W (+18)","0","18:30","4","4","1.000","2","2","1.000","0","0","","0","3","3","3","0","1","1","3","10","10.3","+1"
"21","16","2018-11-25","26-213","TOR","","MIA","W (+10)","0","13:21","4","7",".571","2","3",".667","0","0","","2","2","4","1","0","0","1","2","10","7.6","-9"
"22","17","2018-11-27","26-215","TOR","@","MEM","W (+8)","0","13:32","1","3",".333","1","1","1.000","0","0","","0","0","0","2","0","0","1","0","3","1.7","-3"
"23","18","2018-11-29","26-217","TOR","","GSW","W (+3)","0","12:03","2","3",".667","2","2","1.000","2","2","1.000","0","0","0","2","0","0","0","2","8","7.3","+1"
"24","19","2018-12-01","26-219","TOR","@","CLE","W (+11)","0","19:34","1","4",".250","0","1",".000","0","0","","0","1","1","1","2","0","0","1","2","2.2","-17"
"25","20","2018-12-03","26-221","TOR","","DEN","L (-3)","0","15:06","4","7",".571","1","1","1.000","0","0","","1","2","3","2","2","0","1","0","9","9.4","+6"
