"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","25-031","OKC","@","GSW","L (-8)","1","34:05","7","19",".368","2","6",".333","5","6",".833","2","6","8","6","3","1","3","4","21","16.6","-7"
"2","2","2018-10-19","25-034","OKC","@","LAC","L (-16)","1","30:01","2","15",".133","0","3",".000","4","4","1.000","0","2","2","8","0","0","3","4","8","-0.1","-18"
"3","3","2018-10-21","25-036","OKC","","SAC","L (-11)","0","32:23","5","16",".313","2","5",".400","2","2","1.000","1","3","4","8","1","0","3","4","14","8.4","-5"
"4","4","2018-10-25","25-040","OKC","","BOS","L (-6)","0","23:44","4","10",".400","1","3",".333","1","2",".500","0","3","3","6","1","0","2","4","10","6.7","-12"
"5","5","2018-10-28","25-043","OKC","","PHO","W (+7)","0","26:52","4","10",".400","0","1",".000","4","6",".667","0","4","4","7","0","0","2","4","12","8.3","+15"
"6","6","2018-10-30","25-045","OKC","","LAC","W (+18)","0","24:33","6","13",".462","1","3",".333","2","2","1.000","0","2","2","3","0","0","3","3","15","6.8","-13"
"7","7","2018-11-01","25-047","OKC","@","CHO","W (+4)","0","30:16","7","15",".467","2","6",".333","5","8",".625","1","2","3","5","1","0","2","3","21","14.7","+12"
"8","8","2018-11-02","25-048","OKC","@","WAS","W (+23)","0","27:28","6","11",".545","2","3",".667","2","2","1.000","1","5","6","5","2","0","4","1","16","14.0","+14"
"9","9","2018-11-05","25-051","OKC","","NOP","W (+6)","0","23:34","9","16",".563","1","3",".333","3","3","1.000","0","3","3","2","1","0","2","4","22","14.1","-5"
"10","10","2018-11-07","25-053","OKC","@","CLE","W (+9)","1","34:01","11","19",".579","0","3",".000","6","8",".750","0","7","7","0","1","1","2","2","28","19.3","+20"
"11","11","2018-11-08","25-054","OKC","","HOU","W (+18)","1","33:43","6","12",".500","0","3",".000","2","2","1.000","1","5","6","5","1","0","6","1","14","8.3","+22"
"12","12","2018-11-10","25-056","OKC","@","DAL","L (-15)","1","31:38","8","21",".381","1","4",".250","2","3",".667","3","3","6","3","2","0","4","0","19","10.2","-1"
"13","13","2018-11-12","25-058","OKC","","PHO","W (+17)","1","35:38","6","19",".316","2","2","1.000","6","6","1.000","0","5","5","9","4","0","1","2","20","19.1","+20"
"14","14","2018-11-14","25-060","OKC","","NYK","W (+25)","1","29:54","5","10",".500","3","5",".600","2","2","1.000","0","4","4","12","1","1","3","2","15","17.5","+30"
"15","15","2018-11-17","25-063","OKC","@","PHO","W (+10)","1","35:57","6","15",".400","1","3",".333","2","2","1.000","1","4","5","7","4","0","5","2","15","11.9","+9"
"16","16","2018-11-19","25-065","OKC","@","SAC","L (-4)","0","29:23","3","17",".176","0","6",".000","0","0","","1","4","5","5","1","0","4","4","6","-3.9","-2"
"17","17","2018-11-21","25-067","OKC","@","GSW","W (+28)","0","27:57","12","19",".632","5","6",".833","3","3","1.000","1","3","4","4","1","0","1","3","32","26.7","+21"
"18","18","2018-11-23","25-069","OKC","","CHO","W (+5)","1","31:46","9","19",".474","4","8",".500","1","1","1.000","1","4","5","1","0","0","3","1","23","12.5","+2"
"19","19","2018-11-24","25-070","OKC","","DEN","L (-7)","0","29:30","5","14",".357","2","7",".286","6","6","1.000","0","2","2","2","1","0","2","0","18","11.2","+4"
"20","20","2018-11-28","25-074","OKC","","CLE","W (+17)","0","23:15","2","9",".222","0","3",".000","2","2","1.000","0","2","2","1","1","0","1","4","6","0.2","-7"
"21","21","2018-11-30","25-076","OKC","","ATL","W (+15)","0","28:18","8","15",".533","2","6",".333","0","0","","0","3","3","8","0","2","5","4","18","12.0","+20"
"22","22","2018-12-03","25-079","OKC","@","DET","W (+27)","0","24:39","6","13",".462","0","1",".000","0","0","","0","9","9","6","1","0","4","1","12","8.8","+25"
