"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-094","UTA","@","SAC","W (+6)","1","23:33","7","8",".875","0","0","","4","8",".500","1","8","9","1","0","1","2","1","18","15.7","+7"
"2","2","2018-10-19","27-096","UTA","","GSW","L (-1)","1","20:58","2","5",".400","0","1",".000","1","2",".500","4","1","5","0","2","0","4","3","5","1.8","-8"
"3","3","2018-10-22","27-099","UTA","","MEM","L (-8)","1","25:24","3","11",".273","0","2",".000","2","2","1.000","4","3","7","1","0","2","2","3","8","4.1","-4"
"4","4","2018-10-24","27-101","UTA","@","HOU","W (+11)","1","22:32","3","5",".600","0","0","","2","2","1.000","1","7","8","0","1","2","1","4","8","8.3","+1"
"5","5","2018-10-27","27-104","UTA","@","NOP","W (+21)","1","18:36","4","10",".400","0","3",".000","2","2","1.000","2","5","7","0","0","2","1","5","10","5.9","+2"
"7","6","2018-10-31","27-108","UTA","@","MIN","L (-3)","1","22:51","5","11",".455","1","3",".333","3","4",".750","7","2","9","0","0","0","1","4","14","10.8","-7"
"8","7","2018-11-02","27-110","UTA","","MEM","L (-10)","1","23:09","5","9",".556","1","2",".500","1","2",".500","4","2","6","1","0","2","0","3","12","11.6","-13"
"9","8","2018-11-03","27-111","UTA","@","DEN","L (-15)","1","18:56","6","10",".600","0","1",".000","0","1",".000","3","2","5","1","0","1","0","1","12","10.7","-10"
"10","9","2018-11-05","27-113","UTA","","TOR","L (-13)","1","23:15","4","6",".667","0","0","","3","4",".750","5","5","10","1","3","2","1","2","11","16.3","-22"
"11","10","2018-11-07","27-115","UTA","","DAL","W (+15)","1","24:42","5","9",".556","1","1","1.000","2","4",".500","4","2","6","0","2","3","1","2","13","13.6","+11"
"12","11","2018-11-09","27-117","UTA","","BOS","W (+8)","1","21:39","5","5","1.000","1","1","1.000","3","5",".600","4","2","6","1","0","0","0","3","14","14.6","-4"
"13","12","2018-11-12","27-120","UTA","@","MEM","W (+8)","1","27:45","4","5",".800","2","2","1.000","2","2","1.000","3","5","8","3","2","1","2","3","12","15.3","0"
"14","13","2018-11-14","27-122","UTA","@","DAL","L (-50)","1","21:56","4","8",".500","0","1",".000","0","0","","1","3","4","0","1","2","1","3","8","5.8","-7"
"15","14","2018-11-16","27-124","UTA","@","PHI","L (-6)","1","24:46","5","5","1.000","0","0","","3","6",".500","3","3","6","0","1","1","0","2","13","14.2","+11"
"16","15","2018-11-17","27-125","UTA","@","BOS","W (+12)","1","23:33","4","6",".667","0","1",".000","2","6",".333","1","7","8","1","1","1","0","1","10","10.6","+4"
"17","16","2018-11-19","27-127","UTA","@","IND","L (-27)","1","26:44","2","6",".333","0","1",".000","1","2",".500","0","6","6","1","0","2","1","2","5","3.3","-5"
"18","17","2018-11-21","27-129","UTA","","SAC","L (-9)","1","21:37","4","7",".571","0","2",".000","0","0","","7","5","12","1","1","2","3","2","8","10.4","-16"
"19","18","2018-11-23","27-131","UTA","@","LAL","L (-7)","1","23:39","5","7",".714","0","0","","0","0","","2","1","3","4","0","0","0","1","10","11.2","-3"
"20","19","2018-11-25","27-133","UTA","@","SAC","W (+21)","0","23:52","4","7",".571","0","0","","3","5",".600","4","3","7","2","3","3","3","3","11","12.9","+11"
"21","20","2018-11-26","27-134","UTA","","IND","L (-33)","1","23:50","6","9",".667","0","2",".000","1","2",".500","2","6","8","0","0","1","2","2","13","9.8","-14"
