"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","21-244","MIA","@","ORL","L (-3)","1","17:13","2","5",".400","1","2",".500","0","0","","1","1","2","2","0","0","2","6","5","0.3","+4",".500",".500","5.5","5.4","5.4","17.2","0.0","0.0","28.6","15.9","87","105"
"2","2","2018-10-18","21-245","MIA","@","WAS","W (+1)","1","23:51","5","10",".500","1","2",".500","6","9",".667","4","1","5","0","1","0","0","5","17","12.9","-3",".609",".550","14.6","5.0","10.6","0.0","2.0","0.0","0.0","22.0","143","111"
"3","3","2018-10-20","21-247","MIA","","CHO","L (-1)","1","30:02","5","13",".385","1","5",".200","1","2",".500","0","3","3","2","1","2","2","2","12","6.4","-1",".432",".423","0.0","9.8","5.4","9.7","1.6","6.3","12.6","21.9","87","113"
"7","4","2018-10-30","21-257","MIA","@","CHO","L (-12)","0","5:04","1","4",".250","0","0","","0","0","","1","0","1","0","0","0","0","0","2","0.3","-1",".250",".250","23.1","0.0","13.0","0.0","0.0","0.0","0.0","33.7","71","136"
"8","5","2018-11-03","21-261","MIA","@","ATL","L (-5)","0","12:09","0","2",".000","0","0","","2","2","1.000","0","1","1","0","0","0","1","0","2","-0.1","-3",".347",".000","0.0","11.0","5.1","0.0","0.0","0.0","25.8","13.5","60","127"
"9","6","2018-11-05","21-263","MIA","@","DET","W (+5)","0","18:29","2","4",".500","0","0","","0","0","","1","5","6","0","0","1","2","2","4","2.1","+5",".500",".500","6.0","23.1","15.6","0.0","0.0","4.1","33.3","13.4","71","98"
"10","7","2018-11-07","21-265","MIA","","SAS","W (+7)","0","8:16","0","3",".000","0","0","","0","0","","3","3","6","0","0","0","1","0","0","-0.1","-7",".000",".000","34.2","30.0","32.0","0.0","0.0","0.0","25.0","20.4","41","91"
"11","8","2018-11-09","21-267","MIA","","IND","L (-8)","0","25:30","4","6",".667","1","1","1.000","1","2",".500","1","1","2","1","1","1","0","1","10","10.0","-2",".727",".750","4.5","5.4","4.9","6.6","1.8","3.2","0.0","11.3","147","106"
"12","9","2018-11-10","21-268","MIA","","WAS","L (-6)","0","0:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","127"
"13","10","2018-11-12","21-270","MIA","","PHI","L (-10)","0","10:03","2","4",".500","0","2",".000","0","0","","1","1","2","2","0","1","0","1","4","4.7","-8",".500",".500","11.9","11.4","11.6","34.8","0.0","10.2","0.0","17.9","132","127"
"16","11","2018-11-18","21-276","MIA","","LAL","L (-16)","0","12:33","2","4",".500","0","0","","0","0","","2","2","4","0","0","0","1","2","4","2.2","+3",".500",".500","15.9","15.3","15.6","0.0","0.0","0.0","20.0","17.8","94","121"
"17","12","2018-11-20","21-278","MIA","","BRK","L (-12)","1","17:29","1","6",".167","1","3",".333","0","0","","1","3","4","0","0","1","2","3","3","-1.7","-8",".250",".250","4.7","17.5","10.5","0.0","0.0","4.8","25.0","17.9","47","107"
"20","13","2018-11-27","21-285","MIA","","ATL","L (-2)","0","5:38","0","2",".000","0","1",".000","0","0","","0","1","1","0","1","0","0","1","0","-0.5","-12",".000",".000","0.0","20.3","9.6","0.0","8.0","0.0","0.0","14.2","0","98"
"24","14","2018-12-07","21-295","MIA","@","PHO","W (+17)","0","6:30","2","3",".667","1","2",".500","0","0","","0","0","0","0","0","0","0","2","5","2.9","-5",".833",".833","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.9","142","106"
"25","15","2018-12-08","21-296","MIA","@","LAC","W (+23)","0","24:47","2","5",".400","0","1",".000","3","6",".500","5","6","11","1","1","2","0","4","7","9.9","+16",".458",".400","19.4","20.8","20.1","5.4","1.9","6.5","0.0","12.3","129","89"
"26","16","2018-12-10","21-298","MIA","@","LAL","L (-3)","0","29:03","3","4",".750","0","0","","2","2","1.000","5","9","14","0","3","3","1","1","8","16.3","+11",".820",".750","17.2","31.0","24.1","0.0","5.0","8.5","17.0","8.3","152","94"
"27","17","2018-12-12","21-300","MIA","@","UTA","L (-27)","0","26:00","3","6",".500","0","3",".000","2","4",".500","0","4","4","0","5","0","0","2","8","9.6","0",".515",".500","0.0","21.1","9.0","0.0","9.7","0.0","0.0","14.2","100","99"
"28","18","2018-12-14","21-302","MIA","@","MEM","W (+3)","0","23:21","6","10",".600","1","1","1.000","0","0","","2","6","8","1","0","2","0","4","13","12.1","+14",".650",".650","10.8","26.8","19.6","8.7","0.0","7.6","0.0","19.4","143","104"
"29","19","2018-12-16","21-304","MIA","@","NOP","W (+6)","0","21:23","5","7",".714","1","2",".500","0","3",".000","5","3","8","0","2","0","0","1","11","12.9","-6",".661",".786","22.9","14.6","18.9","0.0","4.9","0.0","0.0","15.7","142","99"
"30","20","2018-12-20","21-308","MIA","","HOU","W (+2)","0","27:10","3","8",".375","1","3",".333","8","11",".727","6","2","8","1","2","2","0","3","15","17.1","+11",".584",".438","20.0","7.2","13.9","5.8","3.8","12.6","0.0","19.4","147","100"
"31","21","2018-12-22","21-310","MIA","","MIL","W (+7)","0","8:32","2","5",".400","0","1",".000","1","3",".333","3","0","3","1","0","1","0","2","5","4.2","-8",".396",".400","31.8","0.0","16.1","24.7","0.0","13.7","0.0","32.0","105","86"
"32","22","2018-12-23","21-311","MIA","@","ORL","W (+24)","0","21:58","2","5",".400","1","2",".500","1","2",".500","2","3","5","0","0","1","0","3","6","4.7","+7",".510",".500","11.8","15.6","13.8","0.0","0.0","5.2","0.0","12.3","123","103"
"33","23","2018-12-26","21-314","MIA","","TOR","L (-2)","0","9:01","2","2","1.000","0","0","","1","1","1.000","0","0","0","0","0","0","3","1","5","1.0","-3","1.025","1.000","0.0","0.0","0.0","0.0","0.0","0.0","55.1","28.9","70","125"
"34","24","2018-12-28","21-316","MIA","","CLE","W (+24)","0","18:24","1","1","1.000","0","0","","0","0","","0","3","3","1","0","1","0","3","2","2.8","+11","1.000","1.000","0.0","17.8","9.0","5.7","0.0","5.9","0.0","2.5","206","103"
