"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","21-352","PHO","","DAL","W (+21)","1","33:27","12","19",".632","6","10",".600","5","6",".833","0","4","4","7","0","0","3","4","35","27.6","+22"
"2","2","2018-10-20","21-355","PHO","@","DEN","L (-28)","1","36:27","5","15",".333","1","6",".167","14","17",".824","0","2","2","7","1","0","6","3","25","14.6","-24"
"3","3","2018-10-22","21-357","PHO","@","GSW","L (-20)","1","38:27","11","21",".524","3","9",".333","3","3","1.000","1","4","5","6","2","0","9","5","28","14.8","-5"
"4","4","2018-10-24","21-359","PHO","","LAL","L (-18)","1","29:05","8","16",".500","2","6",".333","5","7",".714","0","7","7","7","0","0","4","3","23","16.0","-14"
"8","5","2018-11-02","22-003","PHO","","TOR","L (-9)","1","35:33","8","20",".400","2","7",".286","0","1",".000","1","3","4","6","1","1","3","1","18","10.9","-6"
"9","6","2018-11-04","22-005","PHO","","MEM","W (+2)","1","34:59","7","17",".412","2","8",".250","9","10",".900","0","0","0","7","0","0","4","5","25","14.4","+3"
"10","7","2018-11-06","22-007","PHO","","BRK","L (-22)","1","36:23","6","21",".286","2","8",".250","6","6","1.000","3","5","8","2","1","0","4","4","20","8.1","-6"
"11","8","2018-11-08","22-009","PHO","","BOS","L (-7)","1","42:39","15","30",".500","4","13",".308","4","5",".800","0","3","3","9","3","0","6","3","38","25.6","-2"
"12","9","2018-11-10","22-011","PHO","@","NOP","L (-20)","1","34:32","4","12",".333","2","5",".400","2","2","1.000","0","1","1","7","2","0","4","4","12","6.8","-10"
"13","10","2018-11-12","22-013","PHO","@","OKC","L (-17)","1","37:01","7","18",".389","1","4",".250","4","4","1.000","2","2","4","6","0","0","3","3","19","11.2","-32"
"14","11","2018-11-14","22-015","PHO","","SAS","W (+20)","1","37:10","5","14",".357","2","6",".333","1","1","1.000","1","3","4","12","2","0","7","1","13","9.8","+20"
"15","12","2018-11-17","22-018","PHO","","OKC","L (-10)","1","39:14","5","16",".313","3","8",".375","3","4",".750","0","4","4","12","0","0","1","5","16","13.0","-10"
"16","13","2018-11-19","22-020","PHO","@","PHI","L (-5)","1","36:27","13","28",".464","6","15",".400","5","7",".714","0","3","3","8","0","0","2","6","37","23.9","0"
"17","14","2018-11-21","22-022","PHO","@","CHI","L (-8)","1","33:34","9","20",".450","1","8",".125","4","4","1.000","0","2","2","6","3","0","6","5","23","12.4","-8"
"18","15","2018-11-23","22-024","PHO","@","MIL","W (+2)","1","39:20","13","26",".500","1","5",".200","2","2","1.000","0","4","4","7","3","0","3","4","29","20.5","+14"
"19","16","2018-11-25","22-026","PHO","@","DET","L (-11)","1","37:22","14","24",".583","3","9",".333","6","6","1.000","0","4","4","5","0","0","4","2","37","25.7","-4"
"20","17","2018-11-27","22-028","PHO","","IND","L (-5)","1","36:21","7","21",".333","3","9",".333","3","6",".500","1","3","4","8","3","0","5","3","20","10.9","-4"
"21","18","2018-11-28","22-029","PHO","@","LAC","L (-16)","1","35:06","9","21",".429","1","6",".167","4","4","1.000","0","4","4","4","1","0","3","3","23","12.7","-20"
"23","19","2018-12-02","22-033","PHO","@","LAL","L (-24)","1","17:05","3","8",".375","0","2",".000","0","0","","0","1","1","2","0","1","1","2","6","2.2","+6"
"30","20","2018-12-15","22-046","PHO","","MIN","W (+8)","1","35:59","10","16",".625","3","6",".500","5","6",".833","0","7","7","7","0","0","2","2","28","24.6","+2"
"31","21","2018-12-17","22-048","PHO","@","NYK","W (+18)","1","37:16","11","23",".478","2","7",".286","14","15",".933","0","7","7","2","2","0","1","5","38","28.4","+10"
"32","22","2018-12-19","22-050","PHO","@","BOS","W (+8)","1","37:14","9","23",".391","3","8",".375","4","6",".667","2","3","5","8","1","2","6","2","25","15.2","-4"
"33","23","2018-12-22","22-053","PHO","@","WAS","L (-3)","1","54:36","12","28",".429","2","12",".167","7","8",".875","3","1","4","14","1","1","4","5","33","25.7","-1"
"34","24","2018-12-23","22-054","PHO","@","BRK","L (-8)","1","30:03","10","23",".435","1","4",".250","4","4","1.000","2","0","2","9","0","0","4","2","25","15.8","-4"
"35","25","2018-12-26","22-057","PHO","@","ORL","W (+2)","1","39:52","13","24",".542","5","8",".625","4","5",".800","0","7","7","8","2","1","5","3","35","27.2","-3"
"36","26","2018-12-28","22-059","PHO","","OKC","L (-16)","1","32:55","8","22",".364","2","5",".400","7","8",".875","0","7","7","10","3","0","2","5","25","20.5","-6"
"37","27","2018-12-29","22-060","PHO","","DEN","L (-4)","1","36:11","11","18",".611","1","5",".200","4","4","1.000","0","1","1","8","1","0","3","2","27","21.9","-4"
"38","28","2018-12-31","22-062","PHO","","GSW","L (-23)","1","32:46","6","15",".400","2","5",".400","6","6","1.000","0","2","2","6","1","0","5","4","20","11.1","-21"
"39","29","2019-01-02","22-064","PHO","","PHI","L (-5)","1","35:21","10","22",".455","2","7",".286","15","17",".882","1","1","2","8","0","0","3","4","37","26.8","-14"
"40","30","2019-01-04","22-066","PHO","","LAC","L (-10)","1","37:06","8","14",".571","1","2",".500","6","11",".545","2","1","3","4","0","0","4","4","23","13.3","-16"
"41","31","2019-01-06","22-068","PHO","","CHO","L (-6)","1","12:16","3","7",".429","1","2",".500","0","0","","0","0","0","3","0","0","2","1","7","3.0","+3"
"45","32","2019-01-15","22-077","PHO","@","IND","L (-34)","1","26:33","4","12",".333","0","4",".000","0","0","","0","5","5","5","0","0","4","5","8","0.2","-31"
"46","33","2019-01-17","22-079","PHO","@","TOR","L (-2)","1","35:11","10","21",".476","4","9",".444","6","9",".667","0","2","2","8","0","0","6","3","30","17.1","+2"
"47","34","2019-01-19","22-081","PHO","@","CHO","L (-20)","1","37:32","10","23",".435","2","7",".286","10","12",".833","1","1","2","11","0","0","0","0","32","27.8","0"
"48","35","2019-01-20","22-082","PHO","@","MIN","L (-2)","1","32:57","7","15",".467","1","6",".167","3","4",".750","0","6","6","6","0","0","5","5","18","8.9","-11"
"49","36","2019-01-22","22-084","PHO","","MIN","L (-27)","1","24:12","6","11",".545","0","1",".000","2","2","1.000","0","3","3","4","1","1","4","3","14","8.9","-20"
"50","37","2019-01-24","22-086","PHO","","POR","L (-14)","1","30:15","9","20",".450","2","7",".286","7","8",".875","0","1","1","3","1","0","8","2","27","10.8","-31"
"51","38","2019-01-25","22-087","PHO","@","DEN","L (-37)","1","30:02","9","19",".474","2","4",".500","15","16",".938","0","4","4","2","0","0","4","2","35","22.7","-20"
"52","39","2019-01-27","22-089","PHO","@","LAL","L (-14)","1","36:18","9","18",".500","0","1",".000","3","3","1.000","1","1","2","6","0","0","3","3","21","13.0","-11"
"53","40","2019-01-29","22-091","PHO","@","SAS","L (-2)","1","40:17","14","19",".737","3","6",".500","7","7","1.000","0","5","5","7","2","0","6","1","38","32.3","0"
"54","41","2019-02-02","22-095","PHO","","ATL","L (-6)","1","42:44","13","27",".481","4","10",".400","2","3",".667","1","7","8","10","1","0","4","2","32","23.9","+5"
"55","42","2019-02-04","22-097","PHO","","HOU","L (-8)","1","32:38","7","12",".583","0","2",".000","5","7",".714","2","5","7","5","0","0","0","4","19","17.4","-21"
"58","43","2019-02-10","22-103","PHO","@","SAC","L (-13)","1","35:22","9","19",".474","3","5",".600","6","7",".857","1","7","8","6","0","0","5","5","27","16.9","-15"
"59","44","2019-02-13","22-106","PHO","@","LAC","L (-27)","1","32:48","2","10",".200","0","3",".000","6","6","1.000","1","5","6","5","1","1","3","3","10","7.0","-15"
"60","45","2019-02-21","22-114","PHO","@","CLE","L (-13)","1","37:57","10","20",".500","3","9",".333","7","9",".778","0","1","1","7","1","0","9","4","30","14.8","-12"
"61","46","2019-02-23","22-116","PHO","@","ATL","L (-8)","1","36:06","8","23",".348","2","6",".333","8","8","1.000","0","7","7","8","0","1","2","3","26","18.3","-14"
"62","47","2019-02-25","22-118","PHO","@","MIA","W (+3)","1","32:49","6","16",".375","3","9",".333","5","5","1.000","1","3","4","9","0","0","4","5","20","13.1","+3"
"63","48","2019-03-01","22-122","PHO","","NOP","L (-14)","1","33:33","6","17",".353","1","5",".200","13","14",".929","2","4","6","7","1","0","6","2","26","17.8","-12"
"64","49","2019-03-02","22-123","PHO","","LAL","W (+9)","1","39:46","8","18",".444","0","5",".000","9","9","1.000","0","4","4","4","1","0","4","2","25","15.8","+13"
"65","50","2019-03-04","22-125","PHO","","MIL","W (+9)","1","39:13","8","18",".444","2","4",".500","4","4","1.000","1","4","5","7","1","0","4","3","22","15.2","+15"
"66","51","2019-03-06","22-127","PHO","","NYK","W (+11)","1","33:56","14","23",".609","6","10",".600","7","7","1.000","1","4","5","4","2","1","5","4","41","31.3","+17"
"67","52","2019-03-09","22-130","PHO","@","POR","L (-7)","1","30:35","7","19",".368","1","4",".250","8","8","1.000","0","2","2","5","2","0","4","3","23","13.4","-6"
"68","53","2019-03-10","22-131","PHO","@","GSW","W (+4)","1","40:36","13","23",".565","2","6",".333","9","9","1.000","1","7","8","11","2","0","5","3","37","32.4","+12"
"69","54","2019-03-13","22-134","PHO","","UTA","L (-17)","1","35:36","9","20",".450","2","4",".500","7","9",".778","0","4","4","6","0","1","4","2","27","17.1","-8"
"70","55","2019-03-15","22-136","PHO","@","HOU","L (-6)","1","37:09","9","22",".409","1","7",".143","10","11",".909","1","4","5","7","0","0","5","1","29","18.2","-1"
