"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","22-268","MEM","@","IND","L (-28)","0","6:17","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-2.1","-9",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","14.8","0","127"
"2","2","2018-10-19","22-270","MEM","","ATL","W (+14)","0","17:05","1","7",".143","0","1",".000","2","4",".500","1","0","1","1","0","0","1","3","4","-2.1","-16",".228",".143","7.8","0.0","3.5","6.8","0.0","0.0","10.2","23.7","60","118"
"3","3","2018-10-22","22-273","MEM","@","UTA","W (+8)","0","21:09","3","6",".500","1","1","1.000","0","0","","0","1","1","1","0","1","1","1","7","4.3","+18",".583",".583","0.0","4.9","2.4","9.4","0.0","4.5","14.3","15.1","97","96"
"4","4","2018-10-24","22-275","MEM","@","SAC","L (-5)","0","13:33","0","1",".000","0","0","","2","2","1.000","0","3","3","1","0","0","0","3","2","1.7","+12",".532",".000","0.0","20.8","10.0","9.8","0.0","0.0","0.0","5.8","137","100"
"5","5","2018-10-27","22-278","MEM","","PHO","W (+21)","0","27:03","3","8",".375","1","5",".200","1","2",".500","1","5","6","2","2","0","1","3","8","6.6","+20",".450",".438","5.4","21.6","14.4","9.2","3.6","0.0","10.1","17.4","93","95"
"6","6","2018-10-30","22-281","MEM","","WAS","W (+12)","0","25:11","2","5",".400","1","2",".500","2","2","1.000","1","1","2","2","3","1","1","5","7","7.4","-2",".595",".500","5.0","5.2","5.1","11.8","6.0","4.9","14.5","12.8","117","93"
"7","7","2018-11-02","22-284","MEM","@","UTA","W (+10)","0","15:01","3","6",".500","0","2",".000","0","0","","0","1","1","1","1","1","0","5","6","3.7","-2",".500",".500","0.0","8.0","4.1","11.3","3.5","7.8","0.0","19.0","109","104"
"8","8","2018-11-04","22-286","MEM","@","PHO","L (-2)","0","29:16","7","10",".700","2","3",".667","1","2",".500","1","0","1","0","1","0","0","4","17","12.5","-12",".781",".800","4.0","0.0","2.4","0.0","1.8","0.0","0.0","17.5","154","117"
"9","9","2018-11-05","22-287","MEM","@","GSW","L (-16)","0","23:33","6","13",".462","2","4",".500","4","4","1.000","0","1","1","1","1","0","1","2","18","11.5","-2",".610",".538","0.0","6.0","2.7","7.9","2.1","0.0","6.3","31.4","108","127"
"10","10","2018-11-07","22-289","MEM","","DEN","W (+2)","0","21:28","1","5",".200","0","1",".000","2","2","1.000","1","2","3","1","0","1","2","1","4","1.2","-6",".340",".200","6.2","10.9","8.7","8.1","0.0","4.5","25.4","18.0","67","104"
"11","11","2018-11-10","22-292","MEM","","PHI","W (+6)","0","8:30","1","4",".250","0","0","","0","0","","1","3","4","0","0","0","1","2","2","-0.6","-3",".250",".250","11.3","49.2","26.8","0.0","0.0","0.0","20.0","25.9","55","100"
"33","12","2018-12-23","22-335","MEM","@","LAL","W (+8)","0","12:24","1","5",".200","0","2",".000","0","0","","0","0","0","2","0","0","2","2","2","-2.5","+6",".200",".200","0.0","0.0","0.0","20.3","0.0","0.0","28.6","25.8","46","114"
"34","13","2018-12-26","22-338","MEM","","CLE","W (+8)","0","14:53","1","3",".333","0","1",".000","0","2",".000","0","2","2","0","0","0","1","1","2","-1.3","-3",".258",".333","0.0","12.9","7.4","0.0","0.0","0.0","20.5","16.6","38","102"
"35","14","2018-12-29","22-341","MEM","","BOS","L (-9)","0","24:42","5","11",".455","4","5",".800","5","5","1.000","0","0","0","1","0","0","2","2","19","11.2","-10",".720",".636","0.0","0.0","0.0","7.4","0.0","0.0","13.2","28.2","123","127"
"36","15","2018-12-31","22-343","MEM","@","HOU","L (-12)","0","18:54","1","7",".143","0","3",".000","1","2",".500","2","0","2","1","1","0","3","4","3","-3.4","+7",".190",".143","11.3","0.0","6.0","7.2","2.7","0.0","27.6","26.3","46","122"
"37","16","2019-01-02","22-345","MEM","","DET","L (-7)","0","18:05","6","10",".600","0","2",".000","2","2","1.000","1","3","4","1","0","0","1","4","14","9.1","-9",".643",".600","6.2","18.5","12.3","13.2","0.0","0.0","8.4","32.1","119","114"
"38","17","2019-01-04","22-347","MEM","","BRK","L (-9)","0","16:08","2","9",".222","1","3",".333","0","0","","0","0","0","0","1","0","0","3","5","-0.7","-6",".278",".278","0.0","0.0","0.0","0.0","2.9","0.0","0.0","23.8","58","110"
"39","18","2019-01-05","22-348","MEM","@","SAS","L (-20)","0","16:42","6","11",".545","3","5",".600","0","1",".000","0","0","0","1","0","0","1","4","15","7.4","+1",".656",".682","0.0","0.0","0.0","20.9","0.0","0.0","8.0","32.4","107","116"
