"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","22-040","UTA","@","SAC","W (+6)","1","36:12","8","21",".381","3","10",".300","5","6",".833","0","3","3","2","2","0","4","5","24","10.4","-12"
"2","2","2018-10-19","22-042","UTA","","GSW","L (-1)","1","34:41","7","23",".304","4","12",".333","1","2",".500","1","1","2","3","2","0","0","2","19","9.6","+5"
"3","3","2018-10-22","22-045","UTA","","MEM","L (-8)","1","36:58","6","17",".353","1","7",".143","1","2",".500","0","3","3","4","2","0","6","2","14","3.0","-3"
"4","4","2018-10-24","22-047","UTA","@","HOU","W (+11)","1","39:08","14","25",".560","4","9",".444","6","8",".750","0","5","5","7","0","0","3","1","38","28.3","+12"
"5","5","2018-10-27","22-050","UTA","@","NOP","W (+21)","1","32:35","7","10",".700","3","4",".750","5","6",".833","0","2","2","6","1","0","1","2","22","21.4","+25"
"6","6","2018-10-28","22-051","UTA","@","DAL","W (+9)","1","35:04","10","19",".526","0","3",".000","0","0","","1","0","1","4","1","1","5","5","20","8.9","-8"
"7","7","2018-10-31","22-054","UTA","@","MIN","L (-3)","1","30:52","10","24",".417","3","5",".600","3","3","1.000","1","0","1","5","1","1","1","2","26","17.3","-6"
"9","8","2018-11-03","22-057","UTA","@","DEN","L (-15)","1","32:25","7","22",".318","0","7",".000","2","2","1.000","0","5","5","2","5","0","0","2","16","10.5","-12"
"11","9","2018-11-07","22-061","UTA","","DAL","W (+15)","1","32:58","9","17",".529","3","8",".375","2","2","1.000","1","4","5","7","2","0","1","2","23","21.7","+9"
"12","10","2018-11-09","22-063","UTA","","BOS","W (+8)","1","33:50","5","14",".357","1","6",".167","10","13",".769","0","2","2","5","2","0","5","1","21","12.7","-2"
"13","11","2018-11-12","22-066","UTA","@","MEM","W (+8)","1","36:18","3","14",".214","0","2",".000","6","6","1.000","0","1","1","4","1","0","1","3","12","5.3","+15"
"14","12","2018-11-14","22-068","UTA","@","DAL","L (-50)","1","24:44","3","9",".333","1","3",".333","3","3","1.000","2","1","3","3","0","1","5","1","10","4.0","-12"
"15","13","2018-11-16","22-070","UTA","@","PHI","L (-6)","1","33:47","13","35",".371","1","11",".091","4","7",".571","0","2","2","0","4","1","1","3","31","13.6","+1"
"16","14","2018-11-17","22-071","UTA","@","BOS","W (+12)","1","35:58","10","21",".476","5","12",".417","3","4",".750","0","3","3","6","3","1","3","2","28","21.9","+15"
"17","15","2018-11-19","22-073","UTA","@","IND","L (-27)","1","32:02","3","8",".375","0","1",".000","1","2",".500","0","1","1","1","0","1","3","2","7","0.1","-19"
"18","16","2018-11-21","22-075","UTA","","SAC","L (-9)","1","32:29","13","23",".565","4","9",".444","5","5","1.000","0","2","2","3","0","1","1","5","35","24.5","-8"
"19","17","2018-11-23","22-077","UTA","@","LAL","L (-7)","1","11:33","2","9",".222","0","4",".000","0","0","","0","3","3","1","2","0","2","1","4","-0.3","-2"
"22","18","2018-11-28","22-082","UTA","@","BRK","W (+10)","1","36:26","12","24",".500","2","8",".250","3","4",".750","0","5","5","1","4","0","4","4","29","17.2","+5"
"23","19","2018-11-30","22-084","UTA","@","CHO","W (+8)","1","33:58","12","22",".545","2","7",".286","4","5",".800","1","5","6","6","1","0","3","0","30","23.4","+6"
"24","20","2018-12-02","22-086","UTA","@","MIA","L (-2)","1","37:40","8","24",".333","1","7",".143","1","1","1.000","0","5","5","3","1","0","2","2","18","6.2","-5"
"25","21","2018-12-04","22-088","UTA","","SAS","W (+34)","1","25:14","7","13",".538","4","6",".667","2","2","1.000","1","0","1","2","2","0","1","3","20","15.6","+18"
"26","22","2018-12-06","22-090","UTA","","HOU","W (+27)","1","25:43","3","9",".333","0","3",".000","0","0","","0","1","1","2","2","0","2","4","6","1.0","+16"
"27","23","2018-12-09","22-093","UTA","@","SAS","L (-13)","1","35:28","8","21",".381","3","8",".375","8","10",".800","1","4","5","1","2","1","2","3","27","16.8","-22"
"28","24","2018-12-10","22-094","UTA","@","OKC","L (-9)","1","26:58","6","15",".400","3","8",".375","4","4","1.000","0","4","4","0","1","0","6","5","19","5.1","-21"
"29","25","2018-12-12","22-096","UTA","","MIA","W (+27)","1","26:02","9","17",".529","2","5",".400","1","1","1.000","2","3","5","3","2","0","3","2","21","15.3","+25"
"30","26","2018-12-15","22-099","UTA","@","ORL","L (-7)","1","34:22","8","21",".381","2","5",".400","6","6","1.000","0","1","1","1","1","0","0","5","24","12.5","0"
"31","27","2018-12-17","22-101","UTA","@","HOU","L (-5)","1","39:01","8","22",".364","2","8",".250","5","7",".714","1","7","8","5","3","0","4","2","23","14.5","-3"
"32","28","2018-12-19","22-103","UTA","","GSW","W (+5)","1","36:01","5","26",".192","2","11",".182","5","7",".714","1","4","5","6","2","1","6","3","17","1.6","+5"
"33","29","2018-12-21","22-105","UTA","@","POR","W (+30)","1","27:56","1","10",".100","0","4",".000","1","2",".500","1","6","7","4","1","1","4","2","3","-1.8","+17"
"34","30","2018-12-22","22-106","UTA","","OKC","L (-1)","1","36:41","7","17",".412","2","8",".250","4","6",".667","2","7","9","6","1","0","4","3","20","13.6","+3"
"35","31","2018-12-25","22-109","UTA","","POR","W (+21)","1","31:09","8","18",".444","2","5",".400","1","4",".250","0","2","2","2","1","0","2","4","19","7.8","+8"
"36","32","2018-12-27","22-111","UTA","","PHI","L (-17)","1","33:21","10","20",".500","3","10",".300","0","0","","1","3","4","3","3","0","4","4","23","14.1","-10"
"37","33","2018-12-29","22-113","UTA","","NYK","W (+32)","1","27:23","6","14",".429","2","6",".333","1","1","1.000","2","3","5","3","1","0","2","2","15","10.2","+22"
"38","34","2019-01-01","22-116","UTA","@","TOR","L (-6)","1","35:04","7","23",".304","2","8",".250","3","3","1.000","1","3","4","3","1","0","0","2","19","9.6","-10"
"39","35","2019-01-04","22-119","UTA","@","CLE","W (+26)","1","31:31","7","12",".583","3","4",".750","1","2",".500","1","2","3","5","0","0","1","2","18","15.0","+28"
"40","36","2019-01-05","22-120","UTA","@","DET","W (+5)","1","38:15","10","21",".476","1","3",".333","5","6",".833","0","5","5","5","3","1","2","3","26","20.4","-3"
"41","37","2019-01-07","22-122","UTA","@","MIL","L (-12)","1","39:55","8","24",".333","6","12",".500","4","4","1.000","2","1","3","1","1","0","7","4","26","7.2","-16"
"42","38","2019-01-09","22-124","UTA","","ORL","W (+13)","1","37:15","12","21",".571","4","7",".571","5","6",".833","0","4","4","7","1","0","2","4","33","26.2","0"
