"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","25-339","SAS","","MIN","W (+4)","0","17:50","3","4",".750","3","4",".750","0","0","","0","1","1","2","0","0","0","0","9","9.1","+3"
"2","2","2018-10-20","25-342","SAS","@","POR","L (-13)","0","19:42","4","8",".500","3","6",".500","0","0","","3","1","4","2","0","1","1","1","11","10.1","-4"
"3","3","2018-10-22","25-344","SAS","@","LAL","W (+1)","0","7:51","1","2",".500","1","1","1.000","0","0","","0","1","1","2","1","0","0","0","3","4.7","-5"
"4","4","2018-10-24","25-346","SAS","","IND","L (-20)","0","19:04","2","4",".500","1","3",".333","2","2","1.000","1","3","4","1","0","0","1","2","7","5.5","-14"
"5","5","2018-10-27","25-349","SAS","","LAL","W (+4)","1","13:03","0","2",".000","0","2",".000","0","0","","0","1","1","1","1","0","0","1","0","0.2","-1"
"6","6","2018-10-29","25-351","SAS","","DAL","W (+5)","0","9:16","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","1","0","3","1.0","-7"
"7","7","2018-10-31","25-353","SAS","@","PHO","W (+30)","0","23:38","1","2",".500","1","2",".500","2","2","1.000","0","4","4","1","0","1","0","2","5","5.8","+19"
"8","8","2018-11-03","25-356","SAS","","NOP","W (+14)","0","10:04","1","2",".500","0","1",".000","0","0","","0","1","1","2","0","0","0","2","2","1.9","-2"
"9","9","2018-11-04","25-357","SAS","","ORL","L (-7)","1","25:35","3","10",".300","2","7",".286","0","0","","1","4","5","0","0","0","1","0","8","3.1","-12"
"10","10","2018-11-07","25-360","SAS","@","MIA","L (-7)","0","26:26","6","10",".600","4","7",".571","3","3","1.000","1","3","4","1","1","1","0","3","19","17.2","+4"
"11","11","2018-11-10","25-363","SAS","","HOU","W (+7)","0","20:16","2","5",".400","2","5",".400","0","0","","0","2","2","1","0","2","0","2","6","5.2","0"
"12","12","2018-11-12","26-000","SAS","@","SAC","L (-5)","0","7:49","3","4",".750","3","4",".750","0","0","","0","0","0","0","0","0","1","0","9","6.4","+2"
"13","13","2018-11-14","26-002","SAS","@","PHO","L (-20)","0","13:39","1","3",".333","0","2",".000","0","1",".000","1","2","3","1","0","0","1","2","2","0.1","-1"
"14","14","2018-11-15","26-003","SAS","@","LAC","L (-5)","0","2:27","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","-7"
"17","15","2018-11-21","26-009","SAS","","MEM","L (-1)","0","19:27","2","3",".667","1","2",".500","3","3","1.000","0","5","5","2","1","1","0","1","8","10.9","+9"
"18","16","2018-11-23","26-011","SAS","@","IND","W (+11)","0","12:33","2","5",".400","1","3",".333","2","2","1.000","0","1","1","0","1","0","2","3","7","2.4","+1"
"19","17","2018-11-24","26-012","SAS","@","MIL","L (-6)","0","23:13","6","11",".545","4","7",".571","1","1","1.000","0","6","6","1","1","0","0","2","17","14.4","+17"
"20","18","2018-11-26","26-014","SAS","@","CHI","W (+1)","0","18:26","1","7",".143","0","4",".000","0","0","","0","4","4","1","1","0","2","1","2","-2.0","+15"
"21","19","2018-11-28","26-016","SAS","@","MIN","L (-39)","0","17:12","3","7",".429","0","3",".000","0","0","","3","2","5","1","0","1","0","1","6","6.0","-11"
"22","20","2018-11-30","26-018","SAS","","HOU","L (-31)","0","18:13","3","5",".600","2","4",".500","0","0","","0","2","2","1","0","0","1","1","8","5.6","-3"
