"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-19","31-152","UTA","","GSW","L (-1)","0","3:07","0","0","","0","0","","0","0","","1","0","1","0","0","1","1","1","0","0.0","-4"
"4","2","2018-10-24","31-157","UTA","@","HOU","W (+11)","0","3:29","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","1.0","-3"
"5","3","2018-10-27","31-160","UTA","@","NOP","W (+21)","0","5:51","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","1","2","1","-0.9","-2"
"6","4","2018-10-28","31-161","UTA","@","DAL","W (+9)","0","14:57","0","0","","0","0","","2","2","1.000","0","2","2","2","0","1","0","1","2","4.3","+11"
"7","5","2018-10-31","31-164","UTA","@","MIN","L (-3)","0","2:23","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","0","1","1","0.5","-3"
"9","6","2018-11-03","31-167","UTA","@","DEN","L (-15)","0","2:32","1","1","1.000","0","0","","0","0","","0","0","0","0","0","2","0","0","2","3.1","+2"
"10","7","2018-11-05","31-169","UTA","","TOR","L (-13)","0","6:17","1","1","1.000","0","0","","0","0","","0","1","1","0","1","0","0","0","2","3.0","+7"
"11","8","2018-11-07","31-171","UTA","","DAL","W (+15)","0","1:58","0","0","","0","0","","0","0","","0","0","0","0","0","1","1","1","0","-0.7","-3"
"13","9","2018-11-12","31-176","UTA","@","MEM","W (+8)","0","1:16","1","1","1.000","0","0","","0","0","","1","0","1","0","0","1","0","0","2","3.1","+1"
"14","10","2018-11-14","31-178","UTA","@","DAL","L (-50)","0","11:12","1","2",".500","0","0","","0","0","","0","2","2","0","0","0","1","2","2","-0.2","-22"
"15","11","2018-11-16","31-180","UTA","@","PHI","L (-6)","0","1:50","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-2"
"16","12","2018-11-17","31-181","UTA","@","BOS","W (+12)","0","2:20","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-6"
"17","13","2018-11-19","31-183","UTA","@","IND","L (-27)","0","5:03","2","2","1.000","0","0","","0","0","","0","1","1","0","0","1","0","1","4","4.0","-4"
"20","14","2018-11-25","31-189","UTA","@","SAC","W (+21)","0","2:57","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"21","15","2018-11-26","31-190","UTA","","IND","L (-33)","0","7:43","0","0","","0","0","","0","0","","0","2","2","1","0","0","0","0","0","1.3","-4"
"25","16","2018-12-04","31-198","UTA","","SAS","W (+34)","0","6:07","1","1","1.000","0","0","","0","0","","0","1","1","1","0","0","0","1","2","2.3","+8"
"26","17","2018-12-06","31-200","UTA","","HOU","W (+27)","0","19:14","4","5",".800","0","0","","1","2",".500","2","5","7","1","1","1","1","4","9","9.4","+7"
"27","18","2018-12-09","31-203","UTA","@","SAS","L (-13)","0","0:22","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"28","19","2018-12-10","31-204","UTA","@","OKC","L (-9)","0","9:14","5","5","1.000","0","0","","0","2",".000","0","0","0","2","0","2","0","2","10","9.7","+16"
"29","20","2018-12-12","31-206","UTA","","MIA","W (+27)","0","8:00","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-12"
"33","21","2018-12-21","31-215","UTA","@","POR","W (+30)","0","4:18","1","1","1.000","0","0","","0","0","","1","2","3","0","1","0","0","0","2","4.0","+4"
