"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","20-359","PHO","","DAL","W (+21)","0","7:30","1","2",".500","0","1",".000","0","0","","0","0","0","1","0","0","0","2","2","0.9","+1"
"2","2","2018-10-20","20-362","PHO","@","DEN","L (-28)","0","3:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-6"
"5","3","2018-10-27","21-004","PHO","@","MEM","L (-21)","0","18:03","4","9",".444","2","5",".400","2","2","1.000","0","0","0","2","0","0","1","5","12","5.7","-6"
"6","4","2018-10-28","21-005","PHO","@","OKC","L (-7)","0","30:33","5","9",".556","3","6",".500","5","6",".833","2","3","5","7","0","0","3","5","18","15.5","+2"
"7","5","2018-10-31","21-008","PHO","","SAS","L (-30)","1","28:26","3","9",".333","0","2",".000","2","2","1.000","0","4","4","5","1","0","2","3","8","5.4","-12"
"8","6","2018-11-02","21-010","PHO","","TOR","L (-9)","0","15:42","2","8",".250","0","3",".000","0","0","","0","1","1","2","0","0","2","2","4","-1.9","-10"
"9","7","2018-11-04","21-012","PHO","","MEM","W (+2)","0","14:27","2","6",".333","1","2",".500","0","0","","0","2","2","0","0","0","0","2","5","1.4","-4"
"10","8","2018-11-06","21-014","PHO","","BRK","L (-22)","0","13:11","1","5",".200","1","3",".333","0","0","","0","1","1","2","0","0","1","1","3","0.2","-15"
"11","9","2018-11-08","21-016","PHO","","BOS","L (-7)","0","10:34","2","5",".400","0","1",".000","0","0","","0","1","1","1","0","0","1","2","4","0.5","0"
"12","10","2018-11-10","21-018","PHO","@","NOP","L (-20)","0","10:51","2","6",".333","0","2",".000","4","4","1.000","0","2","2","0","2","1","0","0","8","7.9","0"
"13","11","2018-11-12","21-020","PHO","@","OKC","L (-17)","0","13:22","1","2",".500","0","1",".000","0","0","","0","0","0","5","0","0","0","1","2","4.1","+4"
"21","12","2018-11-28","21-036","PHO","@","LAC","L (-16)","0","31:52","8","12",".667","3","5",".600","0","0","","0","2","2","4","3","0","3","3","19","16.0","-5"
"22","13","2018-11-30","21-038","PHO","","ORL","L (-14)","1","28:55","4","11",".364","1","4",".250","0","0","","1","3","4","2","1","0","0","3","9","5.7","+2"
"23","14","2018-12-02","21-040","PHO","@","LAL","L (-24)","0","29:39","1","9",".111","1","2",".500","0","0","","0","1","1","4","0","0","3","1","3","-3.2","-14"
"24","15","2018-12-04","21-042","PHO","","SAC","L (-17)","1","26:17","3","8",".375","0","4",".000","0","0","","0","3","3","1","0","1","2","5","6","-0.1","-22"
"25","16","2018-12-06","21-044","PHO","@","POR","L (-22)","1","27:48","5","13",".385","1","4",".250","0","0","","2","3","5","1","1","1","2","6","11","4.2","-11"
"26","17","2018-12-07","21-045","PHO","","MIA","L (-17)","0","22:02","2","5",".400","0","2",".000","0","0","","0","5","5","5","2","0","3","5","4","3.3","+5"
"27","18","2018-12-10","21-048","PHO","","LAC","L (-4)","0","22:55","1","5",".200","0","2",".000","0","0","","0","2","2","4","5","0","2","3","2","4.1","+3"
"35","19","2018-12-26","21-064","PHO","@","ORL","W (+2)","0","24:01","4","7",".571","1","2",".500","0","0","","0","1","1","0","0","0","1","1","9","4.6","+11"
"37","20","2018-12-29","21-067","PHO","","DEN","L (-4)","0","10:00","0","3",".000","0","1",".000","0","0","","0","0","0","2","0","0","2","1","0","-3.1","0"
"38","21","2018-12-31","21-069","PHO","","GSW","L (-23)","0","3:46","1","2",".500","1","1","1.000","1","2",".500","0","1","1","0","0","0","1","1","4","1.5","+5"
"39","22","2019-01-02","21-071","PHO","","PHI","L (-5)","0","17:43","3","5",".600","3","3","1.000","0","0","","0","1","1","2","2","0","2","2","9","7.6","+10"
"40","23","2019-01-04","21-073","PHO","","LAC","L (-10)","0","16:43","1","3",".333","0","1",".000","1","1","1.000","1","1","2","4","0","0","2","4","3","1.5","-2"
"41","24","2019-01-06","21-075","PHO","","CHO","L (-6)","0","12:34","2","5",".400","0","2",".000","0","0","","0","0","0","0","1","0","1","0","4","1.3","-8"
"43","25","2019-01-09","21-078","PHO","@","DAL","L (-10)","0","23:10","4","10",".400","2","5",".400","0","0","","0","4","4","3","0","0","2","5","10","3.9","-10"
"44","26","2019-01-12","21-081","PHO","","DEN","W (+9)","0","15:35","1","3",".333","0","0","","3","4",".750","0","3","3","5","1","1","1","0","5","8.0","+15"
"45","27","2019-01-15","21-084","PHO","@","IND","L (-34)","0","20:38","1","5",".200","1","4",".250","1","2",".500","0","1","1","4","1","0","0","4","4","3.0","-4"
"46","28","2019-01-17","21-086","PHO","@","TOR","L (-2)","0","15:40","2","3",".667","1","2",".500","3","4",".750","0","1","1","0","2","0","1","1","8","7.2","-3"
"47","29","2019-01-19","21-088","PHO","@","CHO","L (-20)","0","12:40","0","2",".000","0","2",".000","2","2","1.000","0","2","2","4","0","0","1","3","2","1.8","-16"
"48","30","2019-01-20","21-089","PHO","@","MIN","L (-2)","0","6:28","2","5",".400","0","1",".000","0","0","","0","0","0","1","0","0","1","1","4","0.6","+3"
"49","31","2019-01-22","21-091","PHO","","MIN","L (-27)","0","3:48","0","4",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.8","-3"
"50","32","2019-01-24","21-093","PHO","","POR","L (-14)","0","27:46","4","9",".444","3","5",".600","1","1","1.000","1","6","7","1","1","0","0","2","12","10.7","+10"
"51","33","2019-01-25","21-094","PHO","@","DEN","L (-37)","1","30:38","3","6",".500","1","4",".250","0","0","","0","3","3","4","0","0","1","3","7","5.5","-30"
"52","34","2019-01-27","21-096","PHO","@","LAL","L (-14)","1","21:36","2","6",".333","0","2",".000","0","0","","1","1","2","3","0","1","1","2","4","2.6","-4"
"53","35","2019-01-29","21-098","PHO","@","SAS","L (-2)","1","19:28","2","4",".500","1","3",".333","0","0","","0","3","3","2","0","0","2","1","5","2.9","-10"
"54","36","2019-02-02","21-102","PHO","","ATL","L (-6)","1","31:17","4","7",".571","1","4",".250","0","0","","0","3","3","11","0","0","0","3","9","13.1","+5"
"55","37","2019-02-04","21-104","PHO","","HOU","L (-8)","1","18:16","1","3",".333","0","1",".000","0","0","","0","2","2","3","1","0","4","1","2","-0.4","-7"
"56","38","2019-02-06","21-106","PHO","@","UTA","L (-28)","1","33:08","2","6",".333","0","2",".000","0","0","","0","3","3","4","0","0","4","2","4","-0.5","-3"
"57","39","2019-02-08","21-108","PHO","","GSW","L (-10)","1","20:30","1","6",".167","0","3",".000","1","1","1.000","0","1","1","4","1","0","0","3","3","2.1","+16"
"58","40","2019-02-10","21-110","PHO","@","SAC","L (-13)","0","18:29","2","7",".286","0","4",".000","2","2","1.000","0","3","3","3","0","0","2","3","6","1.7","-1"
"59","41","2019-02-13","21-113","PHO","@","LAC","L (-27)","0","15:19","1","2",".500","1","2",".500","1","2",".500","0","0","0","1","0","0","1","1","4","1.9","-16"
"60","42","2019-02-21","21-121","PHO","@","CLE","L (-13)","0","3:16","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-7"
"66","43","2019-03-06","21-134","PHO","","NYK","W (+11)","0","1:39","0","0","","0","0","","2","5",".400","0","0","0","0","0","0","0","0","2","0.8","-5"
"69","44","2019-03-13","21-141","PHO","","UTA","L (-17)","0","2:02","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+4"
"74","45","2019-03-23","21-151","PHO","@","SAC","L (-9)","0","19:32","1","5",".200","1","4",".250","0","0","","0","4","4","2","0","0","1","1","3","1.1","-7"
"75","46","2019-03-25","21-153","PHO","@","UTA","L (-33)","0","26:38","2","6",".333","0","2",".000","0","0","","1","1","2","4","1","1","1","3","4","3.9","-29"
"76","47","2019-03-27","21-155","PHO","","WAS","L (-3)","0","9:49","1","2",".500","1","2",".500","0","0","","1","1","2","0","1","0","1","1","3","2.6","-4"
"77","48","2019-03-30","21-158","PHO","","MEM","L (-5)","0","7:00","1","2",".500","0","1",".000","1","2",".500","1","1","2","0","1","0","0","2","3","2.8","-6"
"78","49","2019-04-01","21-160","PHO","","CLE","W (+9)","1","13:07","2","3",".667","2","3",".667","0","0","","0","1","1","0","0","0","3","1","6","1.6","-3"
"79","50","2019-04-03","21-162","PHO","","UTA","L (-21)","1","25:07","6","11",".545","2","3",".667","1","1","1.000","0","1","1","2","0","1","2","2","15","9.3","0"
"80","51","2019-04-05","21-164","PHO","","NOP","W (+7)","1","23:18","3","7",".429","1","5",".200","0","0","","0","1","1","3","1","0","1","0","7","5.7","+2"
"81","52","2019-04-07","21-166","PHO","@","HOU","L (-36)","1","25:18","5","10",".500","0","2",".000","2","2","1.000","1","2","3","4","1","0","1","2","12","10.3","-17"
"82","53","2019-04-09","21-168","PHO","@","DAL","L (-11)","1","26:24","3","6",".500","3","4",".750","2","2","1.000","0","1","1","3","2","0","3","3","11","8.2","-9"
