"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-19","25-198","CHO","@","ORL","W (+32)","0","7:57","1","2",".500","0","1",".000","0","0","","0","2","2","1","0","0","2","1","2","-0.1","0"
"4","2","2018-10-22","25-201","CHO","@","TOR","L (-21)","0","4:48","1","3",".333","0","1",".000","0","0","","0","1","1","0","0","0","0","0","2","0.6","+2"
"6","3","2018-10-26","25-205","CHO","","CHI","W (+29)","0","4:25","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","+3"
"10","4","2018-11-03","25-213","CHO","","CLE","W (+32)","0","4:35","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","1","0","-1.1","+1"
"14","5","2018-11-13","25-223","CHO","@","CLE","L (-24)","0","4:31","1","2",".500","1","1","1.000","2","2","1.000","2","1","3","1","0","0","1","0","5","5.4","-1"
"17","6","2018-11-21","25-231","CHO","","IND","W (+18)","0","22:02","4","10",".400","1","3",".333","2","2","1.000","1","2","3","2","0","0","2","2","11","5.5","+3"
"18","7","2018-11-23","25-233","CHO","@","OKC","L (-5)","0","18:37","6","9",".667","0","2",".000","0","0","","2","6","8","1","1","2","1","3","12","12.2","-1"
"19","8","2018-11-25","25-235","CHO","@","ATL","L (-1)","0","12:20","2","2","1.000","1","1","1.000","6","9",".667","0","2","2","2","0","0","0","0","11","11.2","+3"
"20","9","2018-11-26","25-236","CHO","","MIL","W (+3)","0","4:07","1","2",".500","1","2",".500","0","0","","0","2","2","1","0","0","1","0","3","2.3","+8"
"21","10","2018-11-28","25-238","CHO","","ATL","W (+14)","0","19:33","3","9",".333","2","5",".400","0","0","","0","6","6","2","2","0","2","2","8","5.3","+19"
"22","11","2018-11-30","25-240","CHO","","UTA","L (-8)","0","15:37","0","4",".000","0","2",".000","0","0","","1","2","3","1","1","0","0","0","0","0.2","-9"
"23","12","2018-12-02","25-242","CHO","","NOP","L (-10)","0","25:29","7","10",".700","1","4",".250","4","6",".667","3","2","5","1","0","0","1","5","19","14.4","+4"
"24","13","2018-12-05","25-245","CHO","@","MIN","L (-17)","0","21:33","4","7",".571","2","4",".500","0","0","","0","1","1","2","0","0","1","4","10","5.8","-6"
"25","14","2018-12-07","25-247","CHO","","DEN","W (+6)","0","16:27","4","8",".500","2","4",".500","1","1","1.000","1","5","6","2","0","1","0","1","11","10.9","+8"
"26","15","2018-12-09","25-249","CHO","@","NYK","W (+12)","0","12:25","1","2",".500","0","0","","0","0","","1","0","1","0","0","0","2","3","2","-1.5","-1"
"27","16","2018-12-12","25-252","CHO","","DET","W (+1)","0","8:45","0","1",".000","0","1",".000","3","6",".500","1","0","1","2","0","0","0","0","3","3.2","-8"
"28","17","2018-12-14","25-254","CHO","","NYK","L (-2)","0","16:08","4","7",".571","1","3",".333","2","3",".667","0","1","1","0","0","2","0","2","11","8.2","-10"
"29","18","2018-12-15","25-255","CHO","","LAL","L (-28)","0","7:38","1","2",".500","0","1",".000","0","0","","0","1","1","1","0","0","0","0","2","2.0","-5"
"30","19","2018-12-19","25-259","CHO","","CLE","W (+11)","0","3:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","+1"
"33","20","2018-12-26","25-266","CHO","@","BRK","L (-2)","0","0:01","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"36","21","2018-12-31","25-271","CHO","","ORL","W (+25)","0","7:49","2","2","1.000","1","1","1.000","1","2",".500","1","1","2","1","0","0","1","0","6","5.7","-5"
"37","22","2019-01-02","25-273","CHO","","DAL","L (-38)","0","16:14","2","6",".333","0","2",".000","1","2",".500","4","2","6","3","1","0","1","0","5","6.7","-20"
"41","23","2019-01-11","25-282","CHO","@","POR","L (-31)","0","7:47","2","3",".667","1","1","1.000","0","0","","1","1","2","1","0","0","1","0","5","4.4","-4"
"50","24","2019-01-30","25-301","CHO","@","BOS","L (-32)","0","8:50","1","4",".250","1","3",".333","0","2",".000","1","2","3","1","0","0","0","0","3","1.8","-5"
"56","25","2019-02-11","25-313","CHO","@","IND","L (-9)","0","4:25","0","2",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","0","0","-0.8","-4"
"57","26","2019-02-14","25-316","CHO","@","ORL","L (-38)","0","5:21","2","3",".667","1","2",".500","0","0","","0","0","0","1","0","0","0","1","5","4.0","-7"
"62","27","2019-03-01","25-331","CHO","@","BRK","W (+11)","0","24:05","7","12",".583","1","2",".500","0","0","","3","4","7","1","0","1","4","5","15","8.1","+2"
"63","28","2019-03-03","25-333","CHO","","POR","L (-10)","0","27:44","5","10",".500","2","6",".333","6","7",".857","0","7","7","0","0","0","2","3","18","11.5","+15"
"64","29","2019-03-06","25-336","CHO","","MIA","L (-7)","0","23:24","8","11",".727","4","5",".800","0","2",".000","1","2","3","0","0","0","2","2","20","13.2","+1"
