"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","20-081","NYK","","ATL","W (+19)","1","33:38","2","7",".286","1","2",".500","0","0","","0","5","5","1","3","1","1","1","5","5.4","-2"
"2","2","2018-10-19","20-083","NYK","@","BRK","L (-2)","1","30:42","4","9",".444","1","4",".250","0","0","","0","1","1","4","3","0","0","1","9","10.0","+6"
"3","3","2018-10-20","20-084","NYK","","BOS","L (-2)","1","18:52","2","7",".286","1","5",".200","0","0","","0","1","1","1","1","0","2","4","5","-0.7","-22"
"4","4","2018-10-22","20-086","NYK","@","MIL","L (-11)","1","35:00","2","6",".333","1","3",".333","0","0","","0","1","1","5","0","0","1","4","5","2.8","-6"
"5","5","2018-10-24","20-088","NYK","@","MIA","L (-23)","1","30:56","3","7",".429","2","3",".667","1","2",".500","0","3","3","5","0","0","3","5","9","4.3","-9"
"6","6","2018-10-26","20-090","NYK","","GSW","L (-28)","1","25:57","6","11",".545","3","7",".429","2","2","1.000","0","1","1","2","1","0","3","2","17","10.6","-12"
"7","7","2018-10-29","20-093","NYK","","BRK","W (+19)","1","31:35","5","13",".385","3","5",".600","3","3","1.000","1","4","5","4","0","1","0","2","16","13.5","+15"
"8","8","2018-10-31","20-095","NYK","","IND","L (-6)","1","32:50","2","8",".250","0","2",".000","0","0","","0","1","1","7","1","0","2","2","4","2.6","-8"
"9","9","2018-11-02","20-097","NYK","@","DAL","W (+12)","1","32:02","2","8",".250","0","4",".000","3","3","1.000","0","0","0","7","3","1","3","2","7","7.0","+7"
"10","10","2018-11-04","20-099","NYK","@","WAS","L (-13)","1","22:31","3","7",".429","0","4",".000","0","0","","0","1","1","3","0","2","4","4","6","0.5","-13"
"11","11","2018-11-05","20-100","NYK","","CHI","L (-1)","1","16:12","0","6",".000","0","3",".000","0","0","","0","1","1","2","0","0","0","2","0","-3.3","-17"
"12","12","2018-11-07","20-102","NYK","@","ATL","W (+5)","1","22:56","5","10",".500","2","4",".500","2","2","1.000","0","3","3","3","1","0","3","6","14","7.6","+3"
"13","13","2018-11-10","20-105","NYK","@","TOR","L (-16)","1","24:35","2","8",".250","1","4",".250","0","0","","0","1","1","4","4","0","2","4","5","3.7","-3"
"14","14","2018-11-11","20-106","NYK","","ORL","L (-26)","1","5:45","0","3",".000","0","2",".000","0","0","","0","1","1","0","0","1","2","1","0","-3.5","-12"
"15","15","2018-11-14","20-109","NYK","@","OKC","L (-25)","0","21:25","2","6",".333","0","2",".000","0","0","","0","2","2","2","0","1","0","1","4","2.9","-11"
"16","16","2018-11-16","20-111","NYK","@","NOP","L (-5)","0","14:48","2","6",".333","0","3",".000","0","0","","0","2","2","2","0","0","0","5","4","0.6","-16"
"17","17","2018-11-18","20-113","NYK","@","ORL","L (-14)","0","21:31","0","1",".000","0","0","","0","0","","0","2","2","2","1","0","0","2","0","1.5","+10"
"18","18","2018-11-20","20-115","NYK","","POR","L (-4)","0","27:32","3","7",".429","1","5",".200","0","0","","0","4","4","1","0","0","1","3","7","3.0","-8"
"19","19","2018-11-21","20-116","NYK","@","BOS","W (+8)","0","27:08","3","6",".500","0","2",".000","0","0","","0","1","1","1","0","0","2","4","6","0.4","+10"
"20","20","2018-11-23","20-118","NYK","","NOP","W (+5)","0","14:19","1","3",".333","1","1","1.000","2","2","1.000","0","2","2","2","0","2","1","1","5","5.3","+6"
"21","21","2018-11-25","20-120","NYK","@","MEM","W (+5)","0","13:05","2","6",".333","1","2",".500","2","2","1.000","2","4","6","1","0","0","0","2","7","6.1","-6"
"22","22","2018-11-27","20-122","NYK","@","DET","L (-7)","0","14:47","0","3",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","3","0","-4.3","-5"
"23","23","2018-11-28","20-123","NYK","@","PHI","L (-26)","0","14:23","0","5",".000","0","2",".000","0","0","","0","0","0","2","0","0","0","0","0","-2.1","-11"
"27","24","2018-12-08","20-133","NYK","","BRK","L (-8)","0","15:43","3","6",".500","1","4",".250","0","0","","0","1","1","3","0","0","1","0","7","5.4","+7"
"28","25","2018-12-09","20-134","NYK","","CHO","L (-12)","0","20:00","7","11",".636","4","4","1.000","0","0","","0","0","0","1","0","0","3","6","18","8.4","+2"
"29","26","2018-12-12","20-137","NYK","@","CLE","L (-7)","0","23:31","6","13",".462","2","4",".500","2","2","1.000","0","3","3","4","1","1","4","1","16","10.3","-14"
"30","27","2018-12-14","20-139","NYK","@","CHO","W (+2)","0","14:42","1","4",".250","0","1",".000","1","2",".500","1","2","3","1","2","1","2","0","3","2.9","-8"
"31","28","2018-12-16","20-141","NYK","@","IND","L (-11)","0","18:23","1","4",".250","0","2",".000","1","2",".500","0","2","2","4","0","0","1","2","3","1.8","-11"
"32","29","2018-12-17","20-142","NYK","","PHO","L (-18)","0","28:45","3","11",".273","2","6",".333","1","2",".500","1","2","3","1","0","0","0","3","9","2.9","-17"
"33","30","2018-12-19","20-144","NYK","@","PHI","L (-22)","0","16:08","1","7",".143","0","2",".000","1","2",".500","0","2","2","2","0","0","0","2","3","-0.7","-9"
"34","31","2018-12-21","20-146","NYK","","ATL","L (-7)","0","13:51","0","2",".000","0","0","","0","0","","0","1","1","4","0","0","2","4","0","-1.9","-1"
"36","32","2018-12-27","20-152","NYK","@","MIL","L (-16)","0","20:45","2","5",".400","1","2",".500","0","0","","2","3","5","2","1","0","1","4","5","4.4","-2"
"37","33","2018-12-29","20-154","NYK","@","UTA","L (-32)","0","16:29","1","7",".143","0","2",".000","0","0","","1","1","2","0","0","0","1","2","2","-3.3","-36"
"38","34","2019-01-01","20-157","NYK","@","DEN","L (-7)","0","18:15","4","6",".667","2","3",".667","0","0","","0","0","0","5","1","0","0","2","10","11.1","-9"
"39","35","2019-01-04","20-160","NYK","@","LAL","W (+7)","0","0:56","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","1","0","-1.1","-5"
"43","36","2019-01-13","20-169","NYK","","PHI","L (-3)","0","27:33","4","11",".364","0","1",".000","0","2",".000","1","1","2","6","2","1","0","1","8","8.6","+10"
"44","37","2019-01-17","20-173","NYK","@","WAS","L (-1)","0","16:46","1","7",".143","1","2",".500","0","0","","0","3","3","2","0","1","1","1","3","0.1","+11"
"45","38","2019-01-21","20-177","NYK","","OKC","L (-18)","0","30:03","4","12",".333","1","3",".333","0","0","","0","2","2","5","1","0","3","2","9","3.5","+3"
"46","39","2019-01-23","20-179","NYK","","HOU","L (-4)","0","23:57","0","5",".000","0","2",".000","0","0","","0","2","2","6","1","0","2","2","0","-0.5","+8"
"47","40","2019-01-25","20-181","NYK","@","BRK","L (-10)","1","18:31","2","5",".400","0","1",".000","0","0","","1","3","4","5","2","1","1","6","4","5.7","-3"
"48","41","2019-01-27","20-183","NYK","","MIA","L (-9)","1","14:50","3","6",".500","0","1",".000","0","0","","0","2","2","4","1","0","0","0","6","7.4","+4"
"73","42","2019-03-22","20-237","NYK","","DEN","L (-18)","0","25:12","1","6",".167","1","4",".250","2","2","1.000","2","2","4","5","0","0","0","3","5","5.5","0"
"74","43","2019-03-24","20-239","NYK","","LAC","L (-11)","0","6:50","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","2","1","0","-2.8","-11"
