"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","24-234","TOR","","CLE","W (+12)","0","25:24","6","14",".429","1","5",".200","1","3",".333","0","2","2","5","0","0","1","4","14","7.3","-4"
"2","2","2018-10-19","24-236","TOR","","BOS","W (+12)","0","27:43","4","11",".364","2","7",".286","1","3",".333","2","4","6","7","0","0","2","1","11","9.2","+2"
"3","3","2018-10-20","24-237","TOR","@","WAS","W (+4)","0","26:44","4","9",".444","1","2",".500","4","5",".800","0","4","4","5","0","0","1","2","13","10.8","-6"
"4","4","2018-10-22","24-239","TOR","","CHO","W (+21)","0","18:41","4","9",".444","0","2",".000","0","0","","0","0","0","4","1","0","1","2","8","5.3","+2"
"9","5","2018-11-02","24-250","TOR","@","PHO","W (+9)","0","20:19","3","7",".429","2","4",".500","0","0","","0","3","3","6","2","1","2","2","8","9.3","+7"
"10","6","2018-11-04","24-252","TOR","@","LAL","W (+14)","0","23:06","0","6",".000","0","4",".000","3","4",".750","0","0","0","2","0","0","5","4","3","-6.8","-10"
"11","7","2018-11-05","24-253","TOR","@","UTA","W (+13)","0","28:11","6","14",".429","2","5",".400","3","3","1.000","0","4","4","6","0","0","2","0","17","13.0","+10"
"12","8","2018-11-07","24-255","TOR","@","SAC","W (+9)","0","21:22","3","9",".333","2","6",".333","0","0","","0","1","1","2","2","0","0","3","8","5.4","+3"
"13","9","2018-11-10","24-258","TOR","","NYK","W (+16)","0","22:04","3","7",".429","1","3",".333","0","0","","1","3","4","4","0","0","1","3","7","5.5","+14"
"14","10","2018-11-12","24-260","TOR","","NOP","L (-16)","0","22:26","4","8",".500","2","4",".500","0","0","","0","0","0","3","2","0","0","0","10","10.1","-12"
"15","11","2018-11-14","24-262","TOR","","DET","L (-2)","0","22:42","2","8",".250","0","2",".000","0","0","","1","1","2","5","1","0","0","1","4","4.3","-16"
"16","12","2018-11-16","24-264","TOR","@","BOS","L (-7)","0","22:07","0","6",".000","0","6",".000","0","0","","1","0","1","2","1","0","1","2","0","-2.9","-21"
"17","13","2018-11-17","24-265","TOR","@","CHI","W (+39)","1","29:06","7","11",".636","4","7",".571","0","0","","2","2","4","4","1","1","1","2","18","17.8","+31"
"18","14","2018-11-20","24-268","TOR","@","ORL","W (+2)","0","26:21","1","5",".200","0","1",".000","2","2","1.000","0","2","2","5","1","0","1","1","4","4.6","+6"
"19","15","2018-11-21","24-269","TOR","@","ATL","W (+16)","1","36:24","5","11",".455","1","3",".333","0","0","","0","1","1","6","0","0","1","1","11","8.4","+15"
"20","16","2018-11-23","24-271","TOR","","WAS","W (+18)","0","22:53","4","7",".571","3","5",".600","2","2","1.000","1","3","4","7","0","0","1","0","13","15.2","+23"
"21","17","2018-11-25","24-273","TOR","","MIA","W (+10)","0","19:06","4","6",".667","1","2",".500","1","2",".500","0","2","2","4","1","1","3","0","10","9.1","-7"
"22","18","2018-11-27","24-275","TOR","@","MEM","W (+8)","0","21:59","6","6","1.000","3","3","1.000","3","4",".750","1","1","2","3","3","0","1","3","18","19.7","+8"
"23","19","2018-11-29","24-277","TOR","","GSW","W (+3)","0","14:52","0","3",".000","0","3",".000","0","0","","0","1","1","3","0","0","2","2","0","-2.5","-13"
"24","20","2018-12-01","24-279","TOR","@","CLE","W (+11)","1","33:00","5","12",".417","1","4",".250","4","4","1.000","0","3","3","4","1","0","2","3","15","10.1","+14"
"25","21","2018-12-03","24-281","TOR","","DEN","L (-3)","0","18:14","1","7",".143","0","5",".000","0","0","","0","2","2","4","3","0","2","0","2","1.9","-2"
"26","22","2018-12-05","24-283","TOR","","PHI","W (+11)","0","18:39","2","7",".286","1","3",".333","0","0","","0","1","1","1","1","0","1","1","5","1.5","+7"
"27","23","2018-12-07","24-285","TOR","@","BRK","L (-1)","0","27:02","2","7",".286","2","6",".333","2","2","1.000","0","1","1","3","1","0","0","0","8","7.3","-6"
"28","24","2018-12-09","24-287","TOR","","MIL","L (-5)","0","27:24","7","12",".583","5","7",".714","0","0","","0","2","2","2","1","0","0","3","19","15.2","+3"
"29","25","2018-12-11","24-289","TOR","@","LAC","W (+24)","1","29:24","2","5",".400","1","2",".500","0","0","","2","4","6","14","0","1","2","0","5","13.4","+21"
"30","26","2018-12-12","24-290","TOR","@","GSW","W (+20)","1","27:34","4","8",".500","2","3",".667","0","0","","1","2","3","2","3","0","0","1","10","11.3","+10"
"31","27","2018-12-14","24-292","TOR","@","POR","L (-6)","1","37:52","7","11",".636","3","5",".600","4","5",".800","0","4","4","8","0","0","4","2","21","17.7","+3"
"33","28","2018-12-19","24-297","TOR","","IND","W (+3)","1","30:52","4","17",".235","3","11",".273","0","0","","0","2","2","1","2","2","0","1","11","5.0","+4"
