"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","32-162","MEM","@","IND","L (-28)","1","24:30","4","13",".308","4","8",".500","0","0","","0","0","0","2","0","1","1","4","12","4.0","-6",".462",".462","0.0","0.0","0.0","22.8","0.0","3.4","7.1","26.5","85","125"
"2","2","2018-10-19","32-164","MEM","","ATL","W (+14)","1","33:49","10","11",".909","5","6",".833","5","7",".714","0","4","4","2","1","1","1","1","30","28.4","+37","1.065","1.136","0.0","12.6","7.0","9.5","1.3","2.7","6.6","18.5","184","112"
"3","3","2018-10-22","32-167","MEM","@","UTA","W (+8)","1","35:51","2","8",".250","1","4",".250","1","2",".500","1","2","3","0","2","0","1","1","6","2.7","+2",".338",".313","2.8","5.8","4.3","0.0","2.8","0.0","10.1","12.5","67","92"
"4","4","2018-10-24","32-169","MEM","@","SAC","L (-5)","1","28:49","1","7",".143","1","5",".200","0","0","","1","4","5","2","1","1","1","4","3","0.9","-14",".214",".214","3.0","13.1","7.9","9.7","1.7","2.6","12.5","11.6","59","99"
"5","5","2018-10-27","32-172","MEM","","PHO","W (+21)","1","23:44","4","6",".667","1","1","1.000","6","6","1.000","0","3","3","1","1","0","0","3","15","13.8","+9",".868",".750","0.0","14.8","8.2","5.6","2.1","0.0","0.0","17.4","177","99"
"6","6","2018-10-30","32-175","MEM","","WAS","W (+12)","1","35:46","5","13",".385","4","7",".571","6","6","1.000","1","6","7","1","0","0","3","0","20","13.1","+18",".639",".538","3.5","21.8","12.5","4.6","0.0","0.0","16.1","24.4","107","108"
"7","7","2018-11-02","32-178","MEM","@","UTA","W (+10)","1","34:59","5","10",".500","1","4",".250","1","2",".500","2","2","4","0","2","0","1","3","12","8.4","+5",".551",".550","7.2","6.9","7.0","0.0","3.0","0.0","8.4","16.1","109","112"
"8","8","2018-11-04","32-180","MEM","@","PHO","L (-2)","1","36:08","3","5",".600","0","2",".000","2","3",".667","0","5","5","3","0","0","1","4","8","6.3","-10",".633",".600","0.0","25.5","9.9","12.4","0.0","0.0","13.7","9.6","122","118"
"9","9","2018-11-05","32-181","MEM","@","GSW","L (-16)","1","27:49","6","10",".600","1","4",".250","0","0","","0","1","1","1","2","0","1","3","13","9.2","-5",".650",".650","0.0","5.1","2.3","6.2","3.6","0.0","9.1","18.6","104","124"
"10","10","2018-11-07","32-183","MEM","","DEN","W (+2)","1","29:59","1","4",".250","0","2",".000","3","4",".750","0","2","2","0","0","0","1","3","5","0.6","+10",".434",".250","0.0","7.8","4.2","0.0","0.0","0.0","14.8","11.0","80","107"
"11","11","2018-11-10","32-186","MEM","","PHI","W (+6)","1","36:38","7","14",".500","3","6",".500","0","0","","0","2","2","0","2","0","1","3","17","10.4","+9",".607",".607","0.0","7.6","3.1","0.0","2.8","0.0","6.7","18.0","118","101"
"12","12","2018-11-12","32-188","MEM","","UTA","L (-8)","1","34:07","2","8",".250","0","4",".000","2","2","1.000","0","2","2","0","0","0","1","5","6","-1.2","-22",".338",".250","0.0","6.0","3.1","0.0","0.0","0.0","10.1","13.2","64","110"
"13","13","2018-11-14","32-190","MEM","@","MIL","W (+3)","1","38:13","3","9",".333","1","4",".250","4","4","1.000","0","5","5","2","2","0","1","4","11","8.2","+13",".511",".389","0.0","16.1","8.1","6.6","2.5","0.0","8.5","14.0","102","113"
"14","14","2018-11-16","32-192","MEM","","SAC","W (+8)","1","28:57","5","6",".833","3","4",".750","1","1","1.000","0","5","5","2","3","0","0","2","14","16.9","+5","1.087","1.083","0.0","20.7","10.1","9.6","5.0","0.0","0.0","9.8","214","99"
"15","15","2018-11-18","32-194","MEM","@","MIN","W (+13)","1","33:22","3","9",".333","1","2",".500","1","2",".500","1","7","8","1","2","0","1","4","8","5.4","+21",".405",".389","2.9","23.4","12.5","4.7","3.1","0.0","9.2","14.9","82","91"
"16","16","2018-11-19","32-195","MEM","","DAL","W (+10)","1","32:42","3","3","1.000","2","2","1.000","4","4","1.000","0","2","2","5","0","0","0","5","12","13.2","+8","1.261","1.333","0.0","6.2","3.3","22.5","0.0","0.0","0.0","7.0","250","104"
