"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-033","DEN","@","LAC","W (+9)","1","34:25","6","16",".375","0","3",".000","8","8","1.000","3","0","3","2","0","0","0","3","20","13.5","+15",".512",".375","8.0","0.0","4.1","11.3","0.0","0.0","0.0","23.6","123","109"
"2","2","2018-10-20","24-036","DEN","","PHO","W (+28)","1","35:09","7","15",".467","1","4",".250","3","4",".750","0","5","5","4","2","1","1","2","18","15.1","+37",".537",".500","0.0","12.4","7.3","16.3","2.7","3.6","5.6","21.0","113","89"
"3","3","2018-10-21","24-037","DEN","","GSW","W (+2)","1","34:51","11","20",".550","2","9",".222","4","7",".571","1","2","3","1","2","1","0","3","28","20.7","+13",".607",".600","2.9","6.9","4.7","6.9","2.8","2.8","0.0","28.3","126","100"
"4","4","2018-10-23","24-039","DEN","","SAC","W (+14)","1","26:19","8","12",".667","2","4",".500","0","0","","1","2","3","5","1","0","1","0","18","17.6","+21",".750",".750","4.1","8.5","6.2","25.0","1.8","0.0","7.7","20.2","150","115"
"5","5","2018-10-25","24-041","DEN","@","LAL","L (-7)","1","36:28","6","13",".462","1","3",".333","0","0","","0","3","3","5","0","0","1","1","13","9.3","-9",".500",".500","0.0","9.2","4.6","17.3","0.0","0.0","7.1","15.4","108","121"
"6","6","2018-10-29","24-045","DEN","","NOP","W (+5)","1","33:01","8","16",".500","1","3",".333","6","8",".750","1","5","6","6","2","1","0","3","23","22.1","+2",".589",".531","3.2","18.6","10.3","28.7","2.8","2.5","0.0","24.4","133","105"
"7","7","2018-10-31","24-047","DEN","@","CHI","W (+1)","1","37:54","7","19",".368","2","6",".333","0","0","","1","4","5","2","1","0","3","3","16","5.6","-3",".421",".421","2.8","11.4","7.1","7.9","1.4","0.0","13.6","25.0","85","110"
"8","8","2018-11-01","24-048","DEN","@","CLE","W (+19)","1","27:56","4","12",".333","1","5",".200","5","5","1.000","0","3","3","3","1","2","1","0","14","11.6","+14",".493",".375","0.0","12.0","6.5","15.1","2.0","5.3","6.6","24.6","119","103"
"9","9","2018-11-03","24-050","DEN","","UTA","W (+15)","1","31:32","8","13",".615","1","4",".250","3","5",".600","0","4","4","1","0","0","3","3","20","11.0","+1",".658",".654","0.0","12.2","6.9","5.3","0.0","0.0","16.5","25.6","102","98"
"10","10","2018-11-05","24-052","DEN","","BOS","W (+8)","1","37:21","4","13",".308","1","4",".250","4","4","1.000","2","3","5","3","3","0","0","3","13","11.7","+8",".440",".346","5.4","9.9","7.4","10.8","4.0","0.0","0.0","16.4","117","107"
"11","11","2018-11-07","24-054","DEN","@","MEM","L (-2)","1","32:47","6","16",".375","3","6",".500","5","6",".833","1","1","2","2","0","0","3","1","20","9.8","-2",".536",".469","3.6","4.1","3.8","12.6","0.0","0.0","13.9","29.8","104","110"
"12","12","2018-11-09","24-056","DEN","","BRK","L (-2)","1","36:22","1","11",".091","0","5",".000","2","2","1.000","2","0","2","4","0","1","1","5","4","-1.4","+6",".168",".091","5.9","0.0","2.7","13.6","0.0","2.4","7.8","14.9","66","120"
"13","13","2018-11-11","24-058","DEN","","MIL","L (-7)","1","30:07","5","14",".357","2","6",".333","3","5",".600","1","3","4","0","3","0","2","3","15","7.8","-17",".463",".429","3.5","14.1","8.0","0.0","5.0","0.0","11.0","26.9","86","121"
"14","14","2018-11-13","24-060","DEN","","HOU","L (-10)","1","36:21","6","13",".462","3","6",".500","0","0","","0","2","2","1","4","0","2","1","15","11.2","-10",".577",".577","0.0","8.8","4.2","4.4","5.9","0.0","13.3","20.0","96","117"
"15","15","2018-11-15","24-062","DEN","","ATL","W (+45)","1","27:16","7","9",".778","2","3",".667","2","3",".667","0","3","3","4","0","2","1","2","18","17.4","+34",".872",".889","0.0","8.8","5.3","17.3","0.0","7.0","8.8","16.6","161","93"
"16","16","2018-11-17","24-064","DEN","@","NOP","L (-10)","1","38:48","9","16",".563","6","9",".667","0","0","","1","4","5","4","1","1","0","3","24","21.6","+1",".750",".750","2.7","11.5","7.0","14.2","1.2","2.0","0.0","17.4","152","124"
