"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","32-166","CLE","@","TOR","L (-12)","1","31:27","5","11",".455","2","3",".667","3","4",".750","1","1","2","7","0","0","1","3","15","12.6","-10"
"2","2","2018-10-19","32-168","CLE","@","MIN","L (-8)","1","24:57","3","7",".429","0","2",".000","1","2",".500","1","0","1","2","0","0","1","3","7","2.8","+7"
"3","3","2018-10-21","32-170","CLE","","ATL","L (-22)","1","27:33","7","9",".778","2","2","1.000","0","0","","0","0","0","3","1","0","1","2","16","13.8","+4"
"4","4","2018-10-24","32-173","CLE","","BRK","L (-16)","1","24:30","3","8",".375","1","4",".250","0","0","","3","0","3","0","0","0","1","2","7","2.9","-19"
"5","5","2018-10-25","32-174","CLE","@","DET","L (-7)","1","22:58","6","11",".545","0","1",".000","3","3","1.000","0","3","3","0","1","0","2","1","15","9.2","-10"
"6","6","2018-10-27","32-176","CLE","","IND","L (-12)","1","28:34","5","11",".455","1","3",".333","3","3","1.000","2","0","2","2","2","1","2","3","14","10.6","-13"
"7","7","2018-10-30","32-179","CLE","","ATL","W (+22)","1","20:18","6","8",".750","2","2","1.000","3","3","1.000","0","2","2","3","1","0","1","4","17","14.9","+24"
"8","8","2018-11-01","32-181","CLE","","DEN","L (-19)","1","23:49","4","7",".571","2","2","1.000","0","0","","1","0","1","3","1","0","2","4","10","6.9","-12"
"9","9","2018-11-03","32-183","CLE","@","CHO","L (-32)","1","28:00","1","6",".167","0","4",".000","1","1","1.000","0","1","1","4","0","0","3","3","3","-1.9","-8"
"10","10","2018-11-05","32-185","CLE","@","ORL","L (-2)","1","32:30","10","12",".833","2","2","1.000","0","0","","0","4","4","6","4","0","2","2","22","24.2","+7"
"22","11","2018-12-01","32-211","CLE","","TOR","L (-11)","1","18:59","3","5",".600","1","2",".500","1","2",".500","0","1","1","1","0","0","0","1","8","5.9","-6"
"23","12","2018-12-03","32-213","CLE","@","BRK","W (+2)","1","35:22","2","7",".286","0","0","","2","2","1.000","2","3","5","2","1","0","2","3","6","3.4","-6"
"24","13","2018-12-05","32-215","CLE","","GSW","L (-24)","1","25:13","0","5",".000","0","1",".000","0","0","","2","0","2","3","1","0","2","4","0","-2.6","-3"
"27","14","2018-12-10","32-220","MIL","","CLE","W (+16)","0","12:36","1","3",".333","0","1",".000","0","1",".000","0","2","2","2","1","0","0","1","2","2.5","+5"
"28","15","2018-12-12","32-222","MIL","@","IND","L (-16)","0","22:29","2","4",".500","0","2",".000","0","0","","0","0","0","1","1","1","1","1","4","3.0","-9"
"29","16","2018-12-14","32-224","MIL","@","CLE","W (+12)","0","23:49","1","6",".167","0","3",".000","0","0","","2","4","6","1","1","0","0","2","2","1.7","+5"
"30","17","2018-12-17","32-227","MIL","@","DET","W (+3)","0","13:59","0","6",".000","0","2",".000","1","2",".500","0","2","2","1","0","0","1","0","1","-3.3","-11"
"31","18","2018-12-19","32-229","MIL","","NOP","W (+8)","0","28:45","4","5",".800","2","2","1.000","1","1","1.000","1","1","2","1","2","0","0","0","11","12.8","+11"
"32","19","2018-12-21","32-231","MIL","@","BOS","W (+13)","0","22:56","2","4",".500","1","3",".333","2","2","1.000","0","3","3","3","0","0","0","3","7","6.8","+23"
