"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","32-264","HOU","","NOP","L (-19)","0","10:28","0","4",".000","0","4",".000","0","0","","0","1","1","0","1","1","0","1","0","-1.2","+3"
"2","2","2018-10-20","32-267","HOU","@","LAL","W (+9)","0","17:51","5","6",".833","3","4",".750","0","0","","1","1","2","0","1","0","0","0","13","12.8","+11"
"3","3","2018-10-21","32-268","HOU","@","LAC","L (-3)","0","21:20","4","8",".500","2","6",".333","1","1","1.000","2","2","4","1","0","0","2","1","11","7.3","-8"
"4","4","2018-10-24","32-271","HOU","","UTA","L (-11)","0","27:59","1","5",".200","1","5",".200","1","1","1.000","0","2","2","0","1","0","0","2","4","1.7","+8"
"5","5","2018-10-26","32-273","HOU","","LAC","L (-20)","0","22:50","7","14",".500","4","9",".444","1","1","1.000","0","5","5","1","0","0","2","5","19","10.2","-5"
"6","6","2018-10-30","32-277","HOU","","POR","L (-19)","0","25:48","1","10",".100","1","9",".111","0","0","","2","2","4","2","0","0","0","1","3","-0.6","-4"
"7","7","2018-11-02","32-280","HOU","@","BRK","W (+8)","0","16:44","3","8",".375","1","5",".200","2","2","1.000","2","1","3","0","0","0","0","1","9","5.9","-9"
"8","8","2018-11-03","32-281","HOU","@","CHI","W (+8)","0","19:05","3","9",".333","0","5",".000","0","0","","1","3","4","1","0","0","1","1","6","1.8","+10"
"9","9","2018-11-05","32-283","HOU","@","IND","W (+4)","0","16:55","1","6",".167","1","5",".200","0","0","","0","2","2","1","0","0","1","3","3","-1.7","-6"
"10","10","2018-11-08","32-286","HOU","@","OKC","L (-18)","0","16:16","3","6",".500","2","5",".400","0","0","","0","2","2","0","0","0","1","3","8","3.4","-11"
"11","11","2018-11-10","32-288","HOU","@","SAS","L (-7)","0","7:06","0","1",".000","0","1",".000","1","2",".500","0","2","2","0","0","0","0","0","1","0.5","+11"
"14","12","2018-11-15","32-293","HOU","","GSW","W (+21)","0","3:43","1","4",".250","0","2",".000","0","0","","0","0","0","0","0","0","0","1","2","-0.8","-5"
"15","13","2018-11-17","32-295","HOU","","SAC","W (+20)","0","13:40","6","10",".600","5","8",".625","0","0","","0","1","1","0","0","0","1","2","17","10.9","0"
