"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-272","MIN","@","SAS","L (-4)","0","24:03","4","8",".500","0","2",".000","4","6",".667","3","2","5","2","2","1","0","4","12","12.4","-1",".564",".500","12.7","7.8","10.2","12.9","4.2","2.9","0.0","18.6","136","113"
"2","2","2018-10-19","28-274","MIN","","CLE","W (+8)","0","13:19","5","6",".833","1","2",".500","0","0","","0","4","4","1","0","1","2","5","11","7.4","+6",".917",".917","0.0","32.8","17.4","13.9","0.0","5.1","25.0","25.0","116","115"
"3","3","2018-10-20","28-275","MIN","@","DAL","L (-4)","0","14:24","3","4",".750","0","0","","4","4","1.000","1","5","6","1","1","0","1","2","10","10.5","+1",".868",".750","10.1","39.7","26.7","9.8","3.1","0.0","14.8","19.0","158","118"
"4","4","2018-10-22","28-277","MIN","","IND","W (+10)","0","15:02","2","3",".667","0","1",".000","5","6",".833","1","6","7","0","0","1","1","2","9","8.7","+7",".798",".667","7.8","37.6","24.3","0.0","0.0","4.8","15.1","19.2","142","87"
"5","5","2018-10-24","28-279","MIN","@","TOR","L (-7)","0","12:36","2","5",".400","0","0","","0","0","","1","2","3","0","0","0","2","1","4","0.2","-3",".400",".400","7.8","19.5","13.0","0.0","0.0","0.0","28.6","22.6","63","120"
"6","6","2018-10-26","28-281","MIN","","MIL","L (-30)","0","15:28","2","8",".250","0","1",".000","2","2","1.000","3","4","7","1","1","0","0","1","6","5.8","-5",".338",".250","12.9","31.8","19.6","10.4","2.9","0.0","0.0","21.7","91","115"
"7","7","2018-10-29","28-284","MIN","","LAL","W (+4)","0","16:00","3","5",".600","1","2",".500","2","2","1.000","0","5","5","0","1","0","3","2","9","5.4","-1",".765",".700","0.0","31.3","15.2","0.0","2.9","0.0","33.8","21.3","94","108"
"8","8","2018-10-31","28-286","MIN","","UTA","W (+3)","0","7:52","2","4",".500","0","0","","0","0","","1","2","3","2","0","0","0","1","4","4.3","-7",".500",".500","17.4","22.6","20.6","32.3","0.0","0.0","0.0","21.9","134","122"
"9","9","2018-11-02","28-288","MIN","@","GSW","L (-17)","0","12:38","0","3",".000","0","1",".000","0","0","","1","6","7","1","0","1","0","2","0","1.0","-2",".000",".000","6.7","53.0","26.6","10.0","0.0","7.0","0.0","10.2","39","105"
"10","10","2018-11-04","28-290","MIN","@","POR","L (-30)","0","15:37","1","5",".200","0","1",".000","0","0","","3","4","7","1","0","1","0","2","2","2.8","-16",".200",".200","14.9","29.3","20.7","11.9","0.0","5.3","0.0","13.6","74","111"
"11","11","2018-11-05","28-291","MIN","@","LAC","L (-11)","0","12:22","3","3","1.000","0","0","","2","2","1.000","1","0","1","1","1","0","0","0","8","9.5","-6","1.031","1.000","10.2","0.0","4.8","13.7","4.0","0.0","0.0","13.8","213","127"
"12","12","2018-11-07","28-293","MIN","@","LAL","L (-4)","0","9:10","1","5",".200","0","2",".000","2","2","1.000","1","3","4","0","0","0","1","2","4","0.7","-5",".340",".200","11.4","38.3","24.1","0.0","0.0","0.0","14.5","32.8","73","116"
"13","13","2018-11-09","28-295","MIN","@","SAC","L (-11)","0","8:24","1","2",".500","0","0","","1","2",".500","0","3","3","0","0","0","2","1","3","0.1","-6",".521",".500","0.0","35.0","17.0","0.0","0.0","0.0","41.0","22.4","59","112"
"14","14","2018-11-12","28-298","MIN","","BRK","W (+7)","0","10:45","2","4",".500","1","1","1.000","0","0","","0","1","1","0","0","0","0","1","5","2.9","0",".625",".625","0.0","7.2","4.8","0.0","0.0","0.0","0.0","15.3","127","118"
"15","15","2018-11-14","28-300","MIN","","NOP","W (+7)","0","13:14","1","4",".250","0","0","","0","0","","0","4","4","0","1","0","0","4","2","0.2","-2",".250",".250","0.0","31.5","15.6","0.0","3.5","0.0","0.0","12.6","54","91"
"16","16","2018-11-16","28-302","MIN","","POR","W (+16)","0","14:27","3","4",".750","0","0","","0","1",".000","1","2","3","1","1","0","0","1","6","6.6","+8",".676",".750","7.2","14.8","11.0","9.2","3.3","0.0","0.0","13.6","143","95"
"17","17","2018-11-18","28-304","MIN","","MEM","L (-13)","0","9:40","1","2",".500","0","1",".000","0","0","","0","6","6","0","0","1","2","2","2","0.7","-2",".500",".500","0.0","60.8","32.4","0.0","0.0","9.2","50.0","18.6","43","90"
"18","18","2018-11-21","28-307","MIN","","DEN","L (-2)","0","19:58","0","4",".000","0","0","","0","0","","1","6","7","4","1","3","2","2","0","2.8","+8",".000",".000","6.2","35.2","21.0","27.5","2.5","13.4","33.3","13.4","46","93"
"19","19","2018-11-23","28-309","MIN","@","BRK","W (+10)","0","20:10","3","11",".273","1","2",".500","2","2","1.000","1","2","3","2","2","2","1","0","9","7.6","-7",".379",".318","5.2","12.5","8.5","12.9","5.0","14.0","7.8","28.8","85","99"
"20","20","2018-11-24","28-310","MIN","","CHI","W (+15)","0","10:40","1","5",".200","0","1",".000","0","0","","0","1","1","1","0","1","0","1","2","0.2","-2",".200",".200","0.0","10.2","4.5","12.0","0.0","9.4","0.0","17.8","63","96"
"21","21","2018-11-26","28-312","MIN","@","CLE","W (+7)","0","9:56","1","2",".500","0","0","","0","0","","1","1","2","0","0","0","0","1","2","1.6","+14",".500",".500","12.4","12.1","12.2","0.0","0.0","0.0","0.0","9.4","123","109"
"22","22","2018-11-28","28-314","MIN","","SAS","W (+39)","0","14:47","4","5",".800","0","0","","0","0","","1","3","4","1","0","2","1","1","8","8.4","+27",".800",".800","6.9","20.7","13.8","8.8","0.0","10.8","16.7","17.1","134","90"
"23","23","2018-12-01","28-317","MIN","","BOS","L (-9)","0","10:24","1","2",".500","0","0","","1","1","1.000","0","1","1","1","0","0","0","1","3","2.6","+3",".615",".500","0.0","12.5","5.8","14.3","0.0","0.0","0.0","10.0","142","124"
"24","24","2018-12-03","28-319","MIN","","HOU","W (+12)","0","13:11","2","3",".667","0","1",".000","0","0","","0","1","1","0","0","1","2","4","4","0.1","-6",".667",".667","0.0","10.1","4.8","0.0","0.0","10.4","40.0","16.8","69","102"
"25","25","2018-12-05","28-321","MIN","","CHO","W (+17)","0","12:15","2","4",".500","0","1",".000","1","1","1.000","1","4","5","0","0","0","2","1","5","2.5","-9",".563",".500","10.6","29.6","21.8","0.0","0.0","0.0","31.1","22.4","83","105"
