"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"3","1","2018-10-22","23-014","UTA","","MEM","L (-8)","0","10:31","2","2","1.000","1","1","1.000","2","2","1.000","0","0","0","0","0","0","0","2","7","5.6","+6","1.215","1.250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.3","250","106"
"4","2","2018-10-24","23-016","UTA","@","HOU","W (+11)","0","4:12","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31.7","0","104"
"5","3","2018-10-27","23-019","UTA","@","NOP","W (+21)","0","5:20","1","3",".333","0","1",".000","2","2","1.000","0","1","1","0","0","0","1","1","4","1.2","-5",".515",".333","0.0","18.8","10.8","0.0","0.0","0.0","20.5","37.4","84","106"
"6","4","2018-10-28","23-020","UTA","@","DAL","W (+9)","0","12:56","3","3","1.000","1","1","1.000","4","4","1.000","0","1","1","0","0","0","1","0","11","9.4","+17","1.155","1.167","0.0","7.9","4.3","0.0","0.0","0.0","17.4","19.9","182","113"
"7","5","2018-10-31","23-023","UTA","@","MIN","L (-3)","0","8:05","0","1",".000","0","0","","0","0","","0","0","0","2","0","0","0","0","0","0.7","0",".000",".000","0.0","0.0","0.0","25.3","0.0","0.0","0.0","4.8","104","132"
"8","6","2018-11-02","23-025","UTA","","MEM","L (-10)","1","27:12","3","8",".375","2","7",".286","1","2",".500","0","0","0","1","0","0","0","4","9","3.3","-18",".507",".500","0.0","0.0","0.0","5.7","0.0","0.0","0.0","15.4","111","128"
"9","7","2018-11-03","23-026","UTA","@","DEN","L (-15)","0","5:13","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","+4",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.9","0","117"
"10","8","2018-11-05","23-028","UTA","","TOR","L (-13)","0","16:13","3","8",".375","2","6",".333","1","3",".333","0","0","0","0","0","0","0","0","9","3.8","+13",".483",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.8","95","133"
"14","9","2018-11-14","23-037","UTA","@","DAL","L (-50)","0","20:48","2","9",".222","1","5",".200","0","0","","0","0","0","1","0","0","4","5","5","-5.8","-26",".278",".278","0.0","0.0","0.0","11.3","0.0","0.0","30.8","27.2","40","126"
"16","10","2018-11-17","23-040","UTA","@","BOS","W (+12)","0","2:20","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-6",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.6","0","104"
"17","11","2018-11-19","23-042","UTA","@","IND","L (-27)","0","4:33","2","5",".400","1","3",".333","0","0","","0","0","0","0","0","0","1","1","5","0.9","-3",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","16.7","63.9","71","134"
"19","12","2018-11-23","23-046","UTA","@","LAL","L (-7)","0","2:39","0","1",".000","0","0","","0","0","","0","0","0","0","1","0","1","1","0","-1.1","-2",".000",".000","0.0","0.0","0.0","0.0","17.6","0.0","50.0","32.5","0","56"
