"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","22-303","BOS","","PHI","W (+18)","0","1:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2"
"3","2","2018-10-20","22-307","BOS","@","NYK","W (+2)","0","5:47","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","1","2","1.3","+1"
"4","3","2018-10-22","22-309","BOS","","ORL","L (-3)","0","2:31","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+2"
"6","4","2018-10-27","22-314","BOS","@","DET","W (+20)","0","5:15","1","2",".500","0","0","","0","0","","1","2","3","0","0","0","0","0","2","2.3","-9"
"7","5","2018-10-30","22-317","BOS","","DET","W (+3)","0","2:59","0","2",".000","0","2",".000","0","0","","1","1","2","0","0","1","0","0","0","0.3","-6"
"11","6","2018-11-08","22-326","BOS","@","PHO","W (+7)","0","4:47","0","1",".000","0","0","","0","0","","1","1","2","1","0","0","1","1","0","-0.4","-1"
"12","7","2018-11-09","22-327","BOS","@","UTA","L (-8)","0","0:17","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-2"
"14","8","2018-11-14","22-332","BOS","","CHI","W (+29)","0","5:38","0","1",".000","0","0","","3","4",".750","0","1","1","1","0","0","0","0","3","2.9","+1"
"16","9","2018-11-17","22-335","BOS","","UTA","L (-12)","0","8:58","2","5",".400","1","2",".500","4","4","1.000","1","1","2","0","2","0","0","1","9","8.9","+5"
"19","10","2018-11-23","22-341","BOS","@","ATL","W (+18)","0","2:48","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","1","2","0.6","+2"
"21","11","2018-11-26","22-344","BOS","@","NOP","W (+17)","0","1:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","-3"
"22","12","2018-11-30","22-348","BOS","","CLE","W (+33)","0","15:08","2","7",".286","1","3",".333","0","0","","1","3","4","0","0","0","0","2","5","1.7","+1"
"24","13","2018-12-06","22-354","BOS","","NYK","W (+28)","0","2:43","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","0","0","1.0","+5"
