"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"57","1","2019-02-13","30-006","DEN","","SAC","W (+2)","0","13:07","3","6",".500","2","5",".400","0","0","","0","0","0","2","0","0","2","3","8","3.2","+2"
"58","2","2019-02-22","30-015","DEN","@","DAL","W (+10)","0","15:47","5","11",".455","4","7",".571","2","4",".500","2","1","3","2","0","0","1","3","16","10.4","-4"
"59","3","2019-02-24","30-017","DEN","","LAC","W (+27)","0","23:45","3","11",".273","0","5",".000","4","4","1.000","0","1","1","4","0","1","4","2","10","2.5","+11"
"60","4","2019-02-26","30-019","DEN","","OKC","W (+9)","0","15:04","3","5",".600","2","3",".667","3","6",".500","0","1","1","1","0","0","3","1","11","5.1","-8"
"61","5","2019-02-28","30-021","DEN","","UTA","L (-7)","0","11:18","2","6",".333","0","2",".000","0","0","","0","1","1","0","0","0","2","1","4","-1.5","-10"
"62","6","2019-03-02","30-023","DEN","","NOP","L (-8)","0","15:54","5","14",".357","0","3",".000","2","2","1.000","1","0","1","0","1","0","1","2","12","4.1","-4"
"63","7","2019-03-04","30-025","DEN","@","SAS","L (-1)","0","15:46","3","11",".273","1","5",".200","0","0","","1","1","2","2","1","0","1","0","7","2.9","-5"
"64","8","2019-03-06","30-027","DEN","@","LAL","W (+16)","0","14:11","2","5",".400","0","3",".000","0","2",".000","0","2","2","1","1","0","0","1","4","2.4","-10"
"65","9","2019-03-08","30-029","DEN","@","GSW","L (-17)","0","14:53","2","6",".333","0","0","","1","1","1.000","1","0","1","3","0","0","2","0","5","2.4","+9"
"69","10","2019-03-18","30-039","DEN","@","BOS","W (+9)","0","6:50","0","2",".000","0","1",".000","0","0","","0","0","0","2","0","0","1","1","0","-1.4","-8"
"77","11","2019-04-02","30-054","DEN","@","GSW","L (-14)","0","10:23","2","8",".250","2","4",".500","4","4","1.000","0","1","1","3","0","0","0","0","10","7.6","+11"
"80","12","2019-04-07","30-059","DEN","@","POR","L (-7)","0","23:48","4","14",".286","1","5",".200","1","4",".250","0","0","0","3","2","0","1","3","10","2.5","-6"
