"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"3","1","2018-10-22","21-218","LAL","","SAS","L (-1)","0","4:43","0","1",".000","0","0","","0","0","","1","0","1","0","0","1","0","5","0","-1.3","+3"
"4","2","2018-10-24","21-220","LAL","@","PHO","W (+18)","0","2:20","0","1",".000","0","0","","0","0","","1","1","2","1","0","0","0","0","0","1.0","-4"
"9","3","2018-11-03","21-230","LAL","@","POR","W (+4)","0","19:40","4","5",".800","0","0","","1","1","1.000","4","4","8","0","1","0","2","3","9","8.9","+15"
"10","4","2018-11-04","21-231","LAL","","TOR","L (-14)","0","11:12","1","3",".333","0","0","","3","3","1.000","2","4","6","1","0","0","1","4","5","4.0","+1"
"12","5","2018-11-10","21-237","LAL","@","SAC","W (+15)","0","1:39","0","2",".000","0","0","","0","0","","1","1","2","0","0","0","0","0","0","-0.4","-1"
"20","6","2018-11-27","21-254","LAL","@","DEN","L (-32)","0","7:29","0","2",".000","0","0","","0","0","","1","1","2","0","0","1","1","0","0","-0.7","-6"
"23","7","2018-12-02","21-259","LAL","","PHO","W (+24)","0","3:37","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-2"
"26","8","2018-12-08","21-265","LAL","@","MEM","W (+23)","0","3:11","0","0","","0","0","","0","0","","0","2","2","0","0","1","0","0","0","1.3","+3"
"29","9","2018-12-15","21-272","LAL","@","CHO","W (+28)","0","11:35","3","4",".750","0","0","","0","0","","0","1","1","0","0","0","0","0","6","4.7","+1"
"30","10","2018-12-16","21-273","LAL","@","WAS","L (-18)","0","6:35","2","2","1.000","0","0","","0","0","","0","2","2","1","0","0","0","0","4","4.7","+6"
"31","11","2018-12-18","21-275","LAL","@","BRK","L (-5)","0","2:25","0","1",".000","0","0","","0","0","","0","0","0","1","0","1","0","2","0","-0.1","+3"
"32","12","2018-12-21","21-278","LAL","","NOP","W (+8)","1","32:16","8","10",".800","0","0","","0","0","","2","9","11","0","2","2","1","5","16","16.7","+15"
"33","13","2018-12-23","21-280","LAL","","MEM","L (-8)","1","32:53","8","12",".667","0","0","","3","4",".750","1","3","4","1","0","4","1","3","19","16.3","+13"
"34","14","2018-12-25","21-282","LAL","@","GSW","W (+26)","1","30:40","9","10",".900","0","0","","0","0","","3","8","11","2","0","2","1","3","18","19.7","+25"
"35","15","2018-12-27","21-284","LAL","@","SAC","L (-1)","1","20:14","3","8",".375","0","0","","0","0","","2","3","5","0","0","1","1","2","6","2.8","-8"
"36","16","2018-12-28","21-285","LAL","","LAC","L (-11)","1","19:12","1","8",".125","0","0","","5","5","1.000","2","0","2","3","0","1","2","3","7","2.8","-14"
"38","17","2019-01-02","21-290","LAL","","OKC","L (-7)","0","10:21","4","4","1.000","0","0","","0","0","","1","1","2","1","0","1","1","2","8","7.4","-3"
"39","18","2019-01-04","21-292","LAL","","NYK","L (-7)","0","11:33","4","6",".667","0","0","","2","2","1.000","2","4","6","2","0","1","1","1","10","10.7","+5"
"40","19","2019-01-06","21-294","LAL","@","MIN","L (-22)","1","18:30","3","6",".500","0","0","","3","4",".750","2","6","8","0","0","0","2","1","9","6.4","-19"
"41","20","2019-01-07","21-295","LAL","@","DAL","W (+10)","0","3:38","1","2",".500","0","0","","2","2","1.000","1","1","2","0","0","0","1","0","4","3.0","-2"
"42","21","2019-01-09","21-297","LAL","","DET","W (+13)","0","23:24","4","8",".500","0","0","","3","4",".750","3","6","9","1","1","0","0","3","11","11.0","-2"
"43","22","2019-01-11","21-299","LAL","@","UTA","L (-18)","0","14:03","4","10",".400","0","0","","2","2","1.000","2","3","5","1","0","1","0","3","10","7.1","0"
"44","23","2019-01-13","21-301","LAL","","CLE","L (-6)","0","10:43","2","3",".667","0","0","","1","1","1.000","0","2","2","0","0","2","0","0","5","5.7","-2"
"45","24","2019-01-15","21-303","LAL","","CHI","W (+7)","0","7:59","2","2","1.000","0","0","","3","4",".750","0","3","3","1","0","0","0","3","7","6.4","-12"
"46","25","2019-01-17","21-305","LAL","@","OKC","W (+10)","0","28:10","12","14",".857","0","0","","2","3",".667","6","6","12","1","0","0","4","3","26","22.1","+35"
