"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","1","2018-10-19","33-040","CLE","@","MIN","L (-8)","0","3:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1.7","-8",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","21.9","0","133"
"4","2","2018-10-24","33-045","CLE","","BRK","L (-16)","0","18:06","3","5",".600","0","1",".000","1","1","1.000","0","1","1","0","1","0","0","2","7","5.2","-4",".643",".600","0.0","5.9","2.7","0.0","2.8","0.0","0.0","13.0","136","106"
"5","3","2018-10-25","33-046","CLE","@","DET","L (-7)","0","20:04","0","7",".000","0","4",".000","0","0","","0","2","2","0","2","0","2","0","0","-4.3","+3",".000",".000","0.0","13.3","6.1","0.0","5.0","0.0","22.2","20.6","0","110"
"6","4","2018-10-27","33-048","CLE","","IND","L (-12)","0","6:12","0","0","","0","0","","3","3","1.000","0","1","1","1","0","0","0","1","3","3.6","+1","1.136","","0.0","28.7","12.3","19.4","0.0","0.0","0.0","9.2","244","132"
"9","5","2018-11-03","33-055","CLE","@","CHO","L (-32)","0","24:19","4","8",".500","4","6",".667","2","2","1.000","0","1","1","4","3","0","0","2","14","15.3","-25",".788",".750","0.0","5.6","2.6","29.1","6.1","0.0","0.0","17.4","156","124"
"10","6","2018-11-05","33-057","CLE","@","ORL","L (-2)","0","25:10","5","9",".556","2","3",".667","2","2","1.000","0","4","4","3","2","1","1","1","14","14.3","+13",".709",".667","0.0","17.3","9.3","18.2","4.0","3.6","9.2","20.1","137","100"
"11","7","2018-11-07","33-059","CLE","","OKC","L (-9)","1","32:16","5","17",".294","3","11",".273","0","0","","0","1","1","2","1","1","4","5","13","0.5","-14",".382",".382","0.0","3.2","1.6","11.6","1.5","2.6","19.0","27.5","68","96"
"12","8","2018-11-10","33-062","CLE","@","CHI","L (-1)","1","22:47","1","4",".250","0","1",".000","0","0","","0","3","3","3","1","0","1","4","2","1.0","+8",".250",".250","0.0","14.7","6.9","17.1","2.2","0.0","20.0","9.5","71","104"
"13","9","2018-11-13","33-065","CLE","","CHO","W (+24)","1","39:23","5","13",".385","3","7",".429","0","0","","0","3","3","5","1","1","1","1","13","10.6","+26",".500",".500","0.0","6.3","3.8","15.7","1.3","2.3","7.1","15.6","121","96"
"14","10","2018-11-14","33-066","CLE","@","WAS","L (-24)","1","24:29","3","11",".273","0","4",".000","0","2",".000","0","2","2","3","0","0","1","2","6","-0.4","-11",".253",".273","0.0","8.7","4.6","20.2","0.0","0.0","7.8","22.2","60","121"
"15","11","2018-11-19","33-071","CLE","@","DET","L (-11)","0","5:52","1","4",".250","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","-0.8","-3",".250",".250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31.8","55","137"
