"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-118","MEM","@","IND","L (-28)","1","24:59","4","7",".571","1","2",".500","0","0","","2","5","7","2","2","0","1","2","9","10.2","-29",".643",".643","7.5","28.3","15.8","22.2","4.1","0.0","12.5","14.9","118","111"
"2","2","2018-10-19","28-120","MEM","","ATL","W (+14)","1","14:01","2","8",".250","0","0","","2","2","1.000","2","3","5","2","2","0","3","2","6","3.1","+12",".338",".250","19.0","22.8","21.1","18.4","6.5","0.0","25.3","35.1","74","99"
"15","3","2018-11-18","28-150","MEM","@","MIN","W (+13)","0","21:02","3","9",".333","0","0","","2","2","1.000","4","4","8","1","1","2","1","2","8","8.2","+8",".405",".333","18.6","21.2","19.8","8.1","2.4","8.9","9.2","23.6","98","87"
"16","4","2018-11-19","28-151","MEM","","DAL","W (+10)","0","15:09","5","8",".625","2","4",".500","0","0","","3","6","9","2","0","1","2","2","12","11.6","+7",".750",".750","23.2","40.4","32.4","29.9","0.0","5.7","20.0","31.6","119","89"
"17","5","2018-11-21","28-153","MEM","@","SAS","W (+1)","0","18:56","5","8",".625","2","3",".667","0","0","","0","3","3","0","0","1","4","6","12","3.6","-8",".750",".750","0.0","16.5","9.2","0.0","0.0","4.2","33.3","30.7","83","112"
"18","6","2018-11-23","28-155","MEM","@","LAC","L (-5)","0","33:28","3","9",".333","0","2",".000","0","0","","2","7","9","0","1","1","0","6","6","3.7","-2",".333",".333","6.9","22.6","15.0","0.0","1.5","2.2","0.0","12.3","78","103"
"19","7","2018-11-25","28-157","MEM","","NYK","L (-5)","0","19:19","2","8",".250","0","1",".000","2","2","1.000","2","5","7","0","0","2","0","2","6","4.7","-8",".338",".250","10.4","25.4","17.9","0.0","0.0","7.2","0.0","21.8","83","107"
"20","8","2018-11-27","28-159","MEM","","TOR","L (-8)","0","26:40","5","9",".556","0","1",".000","3","3","1.000","3","4","7","1","0","0","1","2","13","10.9","0",".630",".556","14.2","25.7","19.1","5.3","0.0","0.0","8.8","19.0","132","139"
"21","9","2018-11-30","28-162","MEM","@","BRK","W (+6)","0","25:54","5","10",".500","1","2",".500","0","0","","2","2","4","0","1","0","5","1","11","3.6","-9",".550",".550","8.8","10.0","9.3","0.0","2.0","0.0","33.3","26.3","75","115"
"22","10","2018-12-02","28-164","MEM","@","PHI","L (-8)","0","25:21","6","10",".600","2","4",".500","0","2",".000","2","5","7","0","4","0","3","4","14","10.9","+6",".643",".700","8.6","27.0","16.8","0.0","7.7","0.0","21.6","25.5","93","93"
"23","11","2018-12-05","28-167","MEM","","LAC","W (+10)","0","28:47","7","12",".583","0","4",".000","5","6",".833","4","7","11","1","2","0","1","4","19","18.0","+11",".649",".583","14.2","23.8","19.1","6.6","3.5","0.0","6.4","23.6","134","84"
"24","12","2018-12-07","28-169","MEM","@","NOP","W (+4)","0","27:31","9","12",".750","3","4",".750","3","4",".750","2","6","8","0","2","0","2","5","24","20.0","+3",".872",".875","8.3","24.9","16.6","0.0","3.6","0.0","12.7","25.9","139","102"
"25","13","2018-12-08","28-170","MEM","","LAL","L (-23)","0","18:46","2","6",".333","1","3",".333","1","2",".500","1","2","3","0","0","1","0","0","6","4.2","-19",".436",".417","5.4","11.1","8.3","0.0","0.0","4.5","0.0","16.5","96","122"
"26","14","2018-12-10","28-172","MEM","@","DEN","L (-6)","0","25:31","4","10",".400","1","4",".250","4","4","1.000","4","6","10","0","0","1","2","0","13","10.9","-4",".553",".450","21.5","28.9","25.4","0.0","0.0","3.8","14.5","27.1","109","118"
"27","15","2018-12-12","28-174","MEM","","POR","W (+9)","0","23:22","5","5","1.000","1","1","1.000","1","2",".500","2","4","6","0","2","2","0","3","12","14.9","+9","1.020","1.100","8.4","17.9","13.0","0.0","4.2","6.3","0.0","11.6","202","76"
"28","16","2018-12-14","28-176","MEM","","MIA","L (-3)","0","23:38","3","9",".333","1","3",".333","0","0","","2","4","6","0","0","0","2","5","7","0.5","-9",".389",".389","8.8","21.4","14.5","0.0","0.0","0.0","18.2","22.1","73","116"
"29","17","2018-12-15","28-177","MEM","","HOU","L (-8)","0","25:04","5","7",".714","0","0","","3","4",".750","1","5","6","3","0","0","2","3","13","10.8","-4",".742",".714","5.3","27.4","16.2","18.9","0.0","0.0","18.6","21.4","129","123"
"30","18","2018-12-17","28-179","MEM","@","GSW","L (-17)","0","22:33","1","6",".167","0","1",".000","1","2",".500","0","4","4","1","2","1","1","3","3","1.2","-10",".218",".167","0.0","18.9","10.3","6.3","4.3","3.9","12.7","16.3","44","101"
"31","19","2018-12-19","28-181","MEM","@","POR","L (-7)","0","20:49","2","6",".333","0","2",".000","0","0","","0","1","1","1","0","2","3","4","4","-1.6","-25",".333",".333","0.0","6.2","2.9","8.1","0.0","9.4","33.3","20.7","49","117"
"32","20","2018-12-21","28-183","MEM","@","SAC","L (-3)","0","27:14","4","8",".500","0","1",".000","0","0","","3","6","9","1","0","0","1","3","8","6.4","-1",".500",".500","13.9","22.0","18.4","5.9","0.0","0.0","11.1","15.5","107","112"
"33","21","2018-12-23","28-185","MEM","@","LAL","W (+8)","0","22:13","4","6",".667","2","2","1.000","2","2","1.000","0","5","5","2","2","1","1","4","12","12.4","+6",".872",".833","0.0","27.0","12.9","13.0","4.6","4.8","12.7","16.2","152","96"
"34","22","2018-12-26","28-188","MEM","","CLE","W (+8)","0","21:03","3","7",".429","0","3",".000","0","0","","0","4","4","0","0","2","1","0","6","3.9","+2",".429",".429","0.0","18.2","10.5","0.0","0.0","7.1","12.5","19.3","69","95"
"35","23","2018-12-29","28-191","MEM","","BOS","L (-9)","0","23:02","2","5",".400","0","1",".000","2","2","1.000","2","7","9","0","0","0","2","2","6","4.0","-4",".510",".400","11.3","41.7","26.0","0.0","0.0","0.0","25.4","15.7","90","120"
"36","24","2018-12-31","28-193","MEM","@","HOU","L (-12)","0","19:57","5","6",".833","3","3","1.000","4","5",".800","2","4","6","2","1","1","1","4","17","17.5","-7","1.037","1.083","10.7","24.1","17.0","18.5","2.5","8.3","10.9","21.0","177","113"
"37","25","2019-01-02","28-195","MEM","","DET","L (-7)","0","23:40","4","8",".500","0","3",".000","0","0","","1","6","7","3","0","0","1","3","8","6.4","+4",".500",".500","4.7","28.3","16.5","21.8","0.0","0.0","11.1","18.6","102","112"
"38","26","2019-01-04","28-197","MEM","","BRK","L (-9)","0","19:14","3","4",".750","0","0","","1","2",".500","2","5","7","0","1","1","2","2","7","6.8","+1",".717",".750","11.1","31.2","20.6","0.0","2.5","5.5","29.1","15.2","104","101"
"39","27","2019-01-05","28-198","MEM","@","SAS","L (-20)","0","29:07","2","8",".250","1","2",".500","3","3","1.000","2","8","10","0","1","0","4","6","8","1.6","-23",".429",".313","6.9","35.6","19.4","0.0","1.7","0.0","30.0","19.9","67","110"
"40","28","2019-01-07","28-200","MEM","@","NOP","L (-19)","0","24:38","6","10",".600","2","4",".500","2","3",".667","0","5","5","0","0","0","1","5","16","9.5","-10",".707",".700","0.0","27.8","12.8","0.0","0.0","0.0","8.1","23.1","116","119"
"41","29","2019-01-09","28-202","MEM","","SAS","W (+10)","0","27:43","5","8",".625","2","4",".500","0","0","","3","8","11","2","2","0","2","4","12","12.7","+4",".750",".750","9.6","27.2","18.1","12.2","3.6","0.0","20.0","16.1","123","83"
"42","30","2019-01-12","28-205","MEM","@","MIA","L (-4)","0","22:26","8","11",".727","1","2",".500","7","8",".875","5","6","11","0","1","0","1","2","24","23.6","+2",".826",".773","28.2","33.8","31.0","0.0","2.3","0.0","6.4","32.3","164","119"
"43","31","2019-01-14","28-207","MEM","@","HOU","L (-18)","0","21:51","4","7",".571","1","2",".500","0","2",".000","0","4","4","3","1","0","2","5","9","5.2","-12",".571",".643","0.0","21.4","11.1","24.2","2.3","0.0","20.2","20.7","92","114"
"44","32","2019-01-16","28-209","MEM","","MIL","L (-10)","0","26:28","4","11",".364","2","5",".400","4","6",".667","6","4","10","3","1","3","4","2","14","12.9","-24",".513",".455","18.8","18.1","18.5","18.3","1.8","10.9","22.7","26.7","96","102"
"45","33","2019-01-18","28-211","MEM","@","BOS","L (-6)","0","22:59","4","6",".667","2","2","1.000","2","2","1.000","2","2","4","1","1","2","1","0","12","13.5","+5",".872",".833","8.2","10.4","9.2","6.4","2.1","8.7","12.7","15.0","149","119"
"46","34","2019-01-19","28-212","MEM","@","TOR","L (-29)","1","13:34","1","6",".167","1","4",".250","0","0","","1","4","5","1","0","0","1","3","3","-0.4","-16",".250",".250","9.1","35.4","22.4","11.6","0.0","0.0","14.3","22.4","62","124"
"47","35","2019-01-21","28-214","MEM","","NOP","L (-20)","0","14:57","2","11",".182","1","5",".200","0","0","","1","4","5","0","0","0","1","6","5","-3.4","-17",".227",".227","6.1","40.1","18.9","0.0","0.0","0.0","8.3","36.2","48","110"
"48","36","2019-01-23","28-216","MEM","","CHO","L (-11)","0","27:12","5","10",".500","1","3",".333","3","4",".750","0","3","3","3","1","1","1","6","14","9.9","-9",".595",".550","0.0","14.3","7.1","18.1","1.9","3.8","7.8","22.2","115","124"
"49","37","2019-01-25","28-218","MEM","","SAC","L (-3)","0","30:08","4","9",".444","2","4",".500","4","4","1.000","1","3","4","1","1","1","2","2","14","10.5","-5",".651",".556","3.5","10.2","6.9","5.8","1.6","2.7","15.7","18.8","113","104"
"50","38","2019-01-26","28-219","MEM","","IND","W (+3)","0","7:19","0","4",".000","0","2",".000","0","0","","0","3","3","0","1","0","0","2","0","-1.7","-4",".000",".000","0.0","56.2","25.9","0.0","6.9","0.0","0.0","25.2","0","90"
"52","39","2019-01-30","28-223","MEM","@","MIN","L (-2)","0","4:53","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","2","0","-1.5","-8","","","0.0","22.6","11.8","0.0","0.0","0.0","100.0","9.5","0","102"
