"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","24-225","POR","","LAL","W (+9)","1","12:40","1","4",".250","1","4",".250","0","0","","0","2","2","0","1","0","1","1","3","0.8","-3",".375",".375","0.0","15.8","7.6","0.0","3.4","0.0","20.0","14.7","63","106"
"2","2","2018-10-20","24-227","POR","","SAS","W (+13)","1","15:50","2","4",".500","0","0","","1","2",".500","2","4","6","0","0","1","0","0","5","5.9","-3",".512",".500","18.4","22.9","21.2","0.0","0.0","4.3","0.0","14.2","128","112"
"3","3","2018-10-22","24-229","POR","","WAS","L (-1)","1","12:24","2","4",".500","0","2",".000","0","0","","0","0","0","1","1","0","2","2","4","0.9","-6",".500",".500","0.0","0.0","0.0","12.4","3.6","0.0","33.3","18.2","71","105"
"4","4","2018-10-25","24-232","POR","@","ORL","W (+14)","1","5:40","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","0","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.8","300","127"
"5","5","2018-10-27","24-234","POR","@","MIA","L (-9)","1","12:45","3","4",".750","1","2",".500","0","0","","0","0","0","1","0","0","0","0","7","6.1","0",".875",".875","0.0","0.0","0.0","14.6","0.0","0.0","0.0","13.8","176","131"
"6","6","2018-10-29","24-236","POR","@","IND","W (+10)","1","12:08","0","2",".000","0","1",".000","0","0","","0","2","2","1","0","0","0","1","0","-0.5","-2",".000",".000","0.0","16.5","9.3","10.4","0.0","0.0","0.0","7.6","34","100"
"7","7","2018-10-30","24-237","POR","@","HOU","W (+19)","1","14:57","3","5",".600","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","7","5.0","+15",".700",".700","0.0","5.0","3.2","0.0","0.0","0.0","0.0","15.0","138","98"
"8","8","2018-11-01","24-239","POR","","NOP","W (+13)","1","15:44","4","4","1.000","3","3","1.000","0","0","","1","1","2","0","0","2","1","3","11","10.0","-1","1.375","1.375","8.0","5.9","6.8","0.0","0.0","9.4","20.0","13.3","183","113"
"9","9","2018-11-03","24-241","POR","","LAL","L (-4)","1","18:46","3","4",".750","0","0","","0","0","","3","4","7","0","2","0","0","1","6","9.3","-11",".750",".750","13.5","23.8","17.9","0.0","4.7","0.0","0.0","8.0","164","100"
"10","10","2018-11-04","24-242","POR","","MIN","W (+30)","1","24:15","4","8",".500","0","2",".000","0","0","","3","3","6","0","1","0","1","3","8","5.8","+8",".500",".500","14.1","9.6","11.4","0.0","2.1","0.0","11.1","15.3","111","86"
"11","11","2018-11-06","24-244","POR","","MIL","W (+15)","1","15:21","4","9",".444","2","6",".333","0","0","","0","2","2","0","1","1","0","0","10","7.6","-3",".556",".556","0.0","12.0","6.7","0.0","3.3","6.3","0.0","26.4","116","103"
"12","12","2018-11-08","24-246","POR","","LAC","W (+11)","1","13:42","0","1",".000","0","0","","0","0","","0","3","3","0","0","0","0","1","0","-0.2","+4",".000",".000","0.0","22.8","11.2","0.0","0.0","0.0","0.0","3.0","0","112"
"13","13","2018-11-11","24-249","POR","","BOS","W (+6)","1","14:22","3","3","1.000","2","2","1.000","0","0","","0","2","2","1","1","1","3","0","8","7.1","-2","1.333","1.333","0.0","13.1","6.9","11.5","3.5","6.6","50.0","18.0","99","90"
"14","14","2018-11-14","24-252","POR","@","LAL","L (-9)","1","23:38","2","2","1.000","2","2","1.000","0","0","","1","3","4","0","1","0","1","4","6","5.4","+14","1.500","1.500","4.2","13.0","8.6","0.0","2.0","0.0","33.3","5.2","158","124"
"15","15","2018-11-16","24-254","POR","@","MIN","L (-16)","1","15:22","1","5",".200","0","2",".000","2","4",".500","1","0","1","0","0","0","0","0","4","0.8","-9",".296",".200","6.9","0.0","3.4","0.0","0.0","0.0","0.0","18.4","75","119"
"16","16","2018-11-18","24-256","POR","@","WAS","W (+10)","1","26:10","3","7",".429","1","5",".200","0","0","","0","2","2","2","2","1","1","1","7","6.6","+9",".500",".500","0.0","7.1","3.9","11.0","3.5","2.9","12.5","12.6","95","99"
"17","17","2018-11-20","24-258","POR","@","NYK","W (+4)","1","17:12","1","3",".333","1","3",".333","0","0","","1","2","3","1","0","1","0","0","3","4.0","-8",".500",".500","6.1","14.3","9.8","6.6","0.0","5.2","0.0","7.4","136","120"
"18","18","2018-11-21","24-259","POR","@","MIL","L (-43)","1","9:01","1","3",".333","0","2",".000","0","0","","0","0","0","0","0","0","1","1","2","-1.1","-12",".333",".333","0.0","0.0","0.0","0.0","0.0","0.0","25.0","17.4","50","137"
"19","19","2018-11-23","24-261","POR","@","GSW","L (-28)","1","20:08","1","3",".333","0","1",".000","0","0","","0","1","1","0","0","0","1","2","2","-1.2","-15",".333",".333","0.0","7.2","2.9","0.0","0.0","0.0","25.0","8.2","50","131"
"25","20","2018-12-06","24-274","POR","","PHO","W (+22)","0","26:10","10","13",".769","3","5",".600","1","3",".333","2","5","7","0","2","0","2","2","24","20.2","+19",".838",".885","8.5","17.0","13.2","0.0","3.7","0.0","12.3","26.3","135","84"
"26","21","2018-12-08","24-276","POR","","MIN","W (+8)","0","15:17","2","10",".200","0","6",".000","2","2","1.000","1","1","2","0","2","0","0","3","6","1.6","-6",".276",".200","7.1","6.4","6.8","0.0","6.3","0.0","0.0","29.7","74","100"
"27","22","2018-12-11","24-279","POR","@","HOU","L (-7)","0","4:10","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-12",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.9","0","128"
"28","23","2018-12-12","24-280","POR","@","MEM","L (-9)","1","14:16","1","1","1.000","0","0","","0","0","","1","3","4","0","1","1","0","1","2","4.6","-3","1.000","1.000","7.3","20.6","14.2","0.0","3.4","5.8","0.0","3.1","205","88"
"32","24","2018-12-21","24-289","POR","","UTA","L (-30)","0","5:47","0","0","","0","0","","3","4",".750","1","0","1","0","0","0","0","0","3","3.3","-5",".852","","16.9","0.0","9.9","0.0","0.0","0.0","0.0","13.4","191","132"
"34","25","2018-12-25","24-293","POR","@","UTA","L (-21)","0","2:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0","124"
"36","26","2018-12-29","24-297","POR","","GSW","L (-10)","0","1:49","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","0","0","0.3","+2",".000",".000","0.0","66.1","30.0","67.7","0.0","0.0","0.0","23.2","51","115"
"37","27","2018-12-30","24-298","POR","","PHI","W (+34)","0","12:04","1","3",".333","1","2",".500","0","0","","1","1","2","1","0","0","2","3","3","-0.2","+15",".500",".500","11.7","6.5","8.4","8.8","0.0","0.0","40.0","17.3","80","92"
"39","28","2019-01-04","24-303","POR","","OKC","L (-2)","0","12:21","5","7",".714","1","2",".500","0","0","","0","1","1","0","0","0","1","0","11","7.4","+5",".786",".786","0.0","7.8","3.9","0.0","0.0","0.0","12.5","26.7","118","115"
"40","29","2019-01-05","24-304","POR","","HOU","W (+9)","0","21:35","3","7",".429","1","4",".250","2","2","1.000","0","2","2","0","1","0","0","1","9","6.5","-3",".571",".500","0.0","11.1","5.1","0.0","2.5","0.0","0.0","15.7","130","112"
"41","30","2019-01-07","24-306","POR","","NYK","W (+10)","0","21:59","3","5",".600","1","2",".500","3","4",".750","4","7","11","4","0","0","0","0","10","15.0","+2",".740",".700","19.0","28.8","24.3","26.1","0.0","0.0","0.0","13.2","176","103"
"42","31","2019-01-09","24-308","POR","","CHI","W (+12)","1","17:00","1","4",".250","0","2",".000","0","0","","1","1","2","0","0","0","0","0","2","0.6","-5",".250",".250","8.6","6.0","7.1","0.0","0.0","0.0","0.0","10.4","73","118"
"43","32","2019-01-11","24-310","POR","","CHO","W (+31)","1","26:47","4","10",".400","1","4",".250","0","0","","1","4","5","2","0","0","0","2","9","6.1","+15",".450",".450","4.5","14.3","10.0","8.0","0.0","0.0","0.0","16.9","106","108"
"44","33","2019-01-13","24-312","POR","@","DEN","L (-3)","1","18:21","5","6",".833","1","2",".500","2","2","1.000","0","2","2","0","0","0","0","1","13","11.0","+6",".945",".917","0.0","14.9","7.1","0.0","0.0","0.0","0.0","16.9","186","124"
"45","34","2019-01-14","24-313","POR","@","SAC","L (-8)","1","22:27","6","9",".667","0","2",".000","1","1","1.000","2","1","3","0","0","0","1","3","13","8.6","+4",".689",".667","7.9","5.0","6.6","0.0","0.0","0.0","9.6","18.8","128","123"
"46","35","2019-01-16","24-315","POR","","CLE","W (+17)","1","25:56","8","11",".727","2","2","1.000","0","0","","0","3","3","3","0","1","0","2","18","16.4","+18",".818",".818","0.0","12.1","6.8","17.2","0.0","2.4","0.0","19.7","165","122"
"47","36","2019-01-18","24-317","POR","","NOP","W (+16)","0","18:29","8","14",".571","4","9",".444","0","0","","1","0","1","0","0","0","0","1","20","13.7","+8",".714",".714","5.0","0.0","2.8","0.0","0.0","0.0","0.0","30.2","144","120"
"48","37","2019-01-21","24-320","POR","@","UTA","W (+5)","0","25:21","5","9",".556","2","3",".667","0","0","","0","3","3","0","1","1","0","3","12","9.1","+14",".667",".667","0.0","11.4","6.2","0.0","1.9","3.3","0.0","16.3","123","104"
"49","38","2019-01-22","24-321","POR","@","OKC","L (-9)","0","17:56","2","7",".286","0","4",".000","0","0","","1","2","3","1","0","0","0","0","4","1.9","+7",".286",".286","5.6","13.1","9.0","7.1","0.0","0.0","0.0","15.1","90","129"
"50","39","2019-01-24","24-323","POR","@","PHO","W (+14)","0","33:26","9","15",".600","2","6",".333","0","0","","2","6","8","3","1","2","3","5","20","15.8","+11",".667",".667","6.5","17.9","12.5","13.9","1.4","5.7","16.7","21.8","119","101"
"51","40","2019-01-26","24-325","POR","","ATL","W (+9)","0","25:26","2","8",".250","0","2",".000","2","2","1.000","2","3","5","1","0","0","1","1","6","2.8","-14",".338",".250","9.9","12.6","11.4","5.1","0.0","0.0","10.1","16.5","87","119"
"52","41","2019-01-30","24-329","POR","","UTA","W (+27)","0","26:57","4","8",".500","3","5",".600","0","0","","0","5","5","3","0","2","2","3","11","8.8","+8",".688",".688","0.0","20.7","10.9","13.1","0.0","7.0","20.0","15.7","118","104"
"53","42","2019-02-05","24-335","POR","","MIA","L (-10)","0","32:36","11","17",".647","2","5",".400","1","1","1.000","2","6","8","2","1","0","0","2","25","22.3","-4",".717",".706","6.5","26.0","14.9","11.4","1.5","0.0","0.0","23.5","142","120"
"54","43","2019-02-07","24-337","POR","","SAS","W (+9)","0","30:44","5","10",".500","1","5",".200","2","2","1.000","0","3","3","2","1","0","1","1","13","9.9","+15",".597",".550","0.0","12.0","6.2","7.6","1.5","0.0","8.4","17.4","113","119"
"55","44","2019-02-10","24-340","POR","@","DAL","L (-1)","0","25:58","4","7",".571","1","2",".500","0","0","","0","1","1","1","0","0","2","3","9","3.5","+4",".643",".643","0.0","3.9","2.1","5.3","0.0","0.0","22.2","15.0","100","113"
"56","45","2019-02-11","24-341","POR","@","OKC","L (-9)","0","28:23","5","7",".714","2","3",".667","5","8",".625","2","2","4","1","0","4","0","1","17","18.0","-2",".808",".857","7.0","7.9","7.4","6.1","0.0","13.3","0.0","15.2","168","114"
"57","46","2019-02-13","24-343","POR","","GSW","W (+22)","0","26:08","7","9",".778","3","5",".600","0","0","","0","2","2","1","2","0","0","1","17","16.4","+21",".944",".944","0.0","7.1","3.8","6.1","4.0","0.0","0.0","14.8","188","113"
"58","47","2019-02-21","24-351","POR","@","BRK","W (+14)","0","23:43","3","6",".500","0","1",".000","0","1",".000","2","3","5","0","1","3","2","3","6","4.8","-9",".466",".500","7.2","11.5","9.3","0.0","2.0","10.8","23.7","13.7","82","93"
"59","48","2019-02-23","24-353","POR","@","PHI","W (+15)","0","27:30","3","8",".375","0","2",".000","2","2","1.000","6","5","11","0","0","2","2","4","8","7.1","-6",".450",".375","23.3","21.3","22.3","0.0","0.0","5.5","18.4","15.5","107","114"
"60","49","2019-02-25","24-355","POR","@","CLE","W (+13)","0","16:25","3","5",".600","1","2",".500","0","0","","0","3","3","2","0","0","0","1","7","6.6","-3",".700",".700","0.0","16.9","10.3","16.6","0.0","0.0","0.0","14.5","151","122"
"61","50","2019-02-27","24-357","POR","@","BOS","W (+5)","0","12:24","2","3",".667","1","2",".500","0","0","","1","2","3","1","0","0","0","1","5","5.3","-11",".833",".833","8.4","18.0","13.0","12.8","0.0","0.0","0.0","10.6","180","102"
"62","51","2019-03-01","24-359","POR","@","TOR","L (-2)","0","26:59","5","10",".500","1","4",".250","2","3",".667","1","6","7","1","2","1","2","4","13","9.9","+11",".574",".550","4.6","30.5","16.8","5.4","3.5","3.4","15.0","21.3","104","112"
"63","52","2019-03-03","24-361","POR","@","CHO","W (+10)","0","17:14","1","4",".250","0","2",".000","0","0","","1","2","3","1","0","0","0","3","2","0.4","-8",".250",".250","6.3","14.3","10.1","6.9","0.0","0.0","0.0","9.5","85","115"
"64","53","2019-03-05","24-363","POR","@","MEM","L (-9)","0","17:24","4","6",".667","0","2",".000","0","0","","1","5","6","0","0","0","0","4","8","6.0","-6",".667",".667","7.9","39.4","23.6","0.0","0.0","0.0","0.0","15.3","133","121"
"65","54","2019-03-07","25-000","POR","","OKC","L (-8)","0","15:35","0","3",".000","0","3",".000","0","0","","0","1","1","1","0","0","1","4","0","-3.7","+1",".000",".000","0.0","6.4","3.1","9.2","0.0","0.0","25.0","10.6","14","120"
"66","55","2019-03-09","25-002","POR","","PHO","W (+7)","0","25:23","4","7",".571","0","2",".000","1","2",".500","2","3","5","1","0","2","2","5","9","5.7","-8",".571",".571","9.0","10.7","10.0","5.3","0.0","5.0","20.2","15.9","106","115"
"67","56","2019-03-12","25-005","POR","@","LAC","W (+21)","0","25:14","4","8",".500","1","3",".333","0","0","","0","4","4","1","0","0","2","0","9","4.9","+16",".563",".563","0.0","13.3","7.5","4.8","0.0","0.0","20.0","15.9","98","115"
"68","57","2019-03-15","25-008","POR","@","NOP","W (+12)","0","13:12","0","6",".000","0","3",".000","0","0","","0","1","1","1","0","1","1","1","0","-3.9","-2",".000",".000","0.0","7.1","3.7","8.5","0.0","5.7","14.3","20.4","11","111"
"69","58","2019-03-16","25-009","POR","@","SAS","L (-5)","0","19:24","2","4",".500","0","1",".000","0","0","","2","5","7","2","0","1","2","3","4","3.8","-1",".500",".500","9.2","30.2","18.2","13.4","0.0","4.0","33.3","12.9","88","108"
"70","59","2019-03-18","25-011","POR","","IND","W (+8)","1","14:09","0","5",".000","0","3",".000","0","0","","0","3","3","0","0","0","0","0","0","-2.6","-1",".000",".000","0.0","24.2","13.2","0.0","0.0","0.0","0.0","16.1","0","110"
"71","60","2019-03-20","25-013","POR","","DAL","W (+8)","1","24:43","4","10",".400","3","6",".500","2","2","1.000","0","3","3","0","0","1","0","4","13","7.6","-8",".597",".550","0.0","13.9","7.0","0.0","0.0","3.4","0.0","18.2","130","118"
"72","61","2019-03-23","25-016","POR","","DET","W (+5)","1","13:06","0","1",".000","0","1",".000","2","4",".500","0","0","0","0","0","0","1","1","2","-0.9","+1",".362",".000","0.0","0.0","0.0","0.0","0.0","0.0","26.6","13.4","58","132"
"73","62","2019-03-25","25-018","POR","","BRK","W (+4)","1","13:16","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","0.0","0",".000",".000","0.0","0.0","0.0","8.2","0.0","0.0","0.0","3.1","55","129"
"74","63","2019-03-27","25-020","POR","@","CHI","W (+20)","1","19:19","2","3",".667","0","1",".000","4","5",".800","1","1","2","1","2","0","0","2","8","9.2","+10",".769",".667","6.7","4.8","5.6","6.5","5.5","0.0","0.0","12.7","172","104"
"75","64","2019-03-29","25-022","POR","@","ATL","W (+20)","1","19:57","3","4",".750","0","1",".000","3","4",".750","1","2","3","0","1","0","0","0","9","9.3","+12",".781",".750","5.6","9.1","7.5","0.0","2.4","0.0","0.0","12.1","167","97"
"76","65","2019-03-30","25-023","POR","@","DET","L (-9)","1","24:49","5","10",".500","0","3",".000","0","0","","1","2","3","2","1","1","0","3","10","8.2","+7",".500",".500","3.5","8.1","5.6","13.7","1.9","3.2","0.0","15.7","117","99"
"77","66","2019-04-01","25-025","POR","@","MIN","W (+10)","0","13:59","3","6",".500","1","3",".333","4","6",".667","0","1","1","0","0","0","0","0","11","7.5","+7",".637",".583","0.0","7.6","3.9","0.0","0.0","0.0","0.0","25.7","139","129"
"78","67","2019-04-03","25-027","POR","","MEM","W (+27)","0","15:18","4","6",".667","0","1",".000","0","0","","1","2","3","1","0","0","0","5","8","5.4","-1",".667",".667","7.5","14.3","10.9","8.8","0.0","0.0","0.0","16.5","147","98"
