"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"2","1","2018-10-20","38-214","PHO","@","DEN","L (-28)","0","6:48","0","2",".000","0","1",".000","3","3","1.000","0","1","1","0","2","0","1","0","3","2.9","-6"
"3","2","2018-10-22","38-216","PHO","@","GSW","L (-20)","0","6:42","0","0","","0","0","","0","0","","0","0","0","3","0","0","0","0","0","2.1","-6"
"4","3","2018-10-24","38-218","PHO","","LAL","L (-18)","0","14:08","2","4",".500","1","3",".333","0","0","","0","0","0","3","0","0","1","2","5","3.3","-21"
"5","4","2018-10-27","38-221","PHO","@","MEM","L (-21)","0","13:16","4","6",".667","3","5",".600","0","0","","0","0","0","0","0","0","0","1","11","8.0","-16"
"6","5","2018-10-28","38-222","PHO","@","OKC","L (-7)","0","15:53","1","4",".250","0","2",".000","5","5","1.000","0","2","2","1","0","0","2","2","7","3.1","-15"
"7","6","2018-10-31","38-225","PHO","","SAS","L (-30)","0","9:51","0","4",".000","0","1",".000","0","0","","0","1","1","2","0","0","0","0","0","-1.1","-11"
"8","7","2018-11-02","38-227","PHO","","TOR","L (-9)","0","3:45","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+4"
"9","8","2018-11-04","38-229","PHO","","MEM","W (+2)","0","5:57","1","3",".333","1","2",".500","1","2",".500","0","0","0","0","0","0","0","0","4","1.9","0"
"10","9","2018-11-06","38-231","PHO","","BRK","L (-22)","0","3:32","0","3",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","+1"
"12","10","2018-11-10","38-235","PHO","@","NOP","L (-20)","0","12:49","1","3",".333","0","2",".000","0","0","","0","1","1","1","0","0","1","2","2","-0.5","-6"
"13","11","2018-11-12","38-237","PHO","@","OKC","L (-17)","0","17:09","4","8",".500","2","5",".400","3","3","1.000","1","2","3","3","0","0","4","1","13","8.0","+8"
"14","12","2018-11-14","38-239","PHO","","SAS","W (+20)","0","16:47","4","5",".800","2","3",".667","1","2",".500","0","1","1","4","0","1","3","0","11","9.5","+6"
