"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","21-236","DEN","@","LAC","W (+9)","1","31:38","3","12",".250","1","4",".250","0","0","","2","3","5","3","1","0","1","2","7","3.4","+18"
"2","2","2018-10-20","21-239","DEN","","PHO","W (+28)","1","37:09","9","18",".500","3","7",".429","5","5","1.000","0","3","3","5","2","1","3","2","26","20.3","+37"
"3","3","2018-10-21","21-240","DEN","","GSW","W (+2)","1","26:24","0","9",".000","0","5",".000","3","4",".750","0","2","2","2","0","0","0","5","3","-3.7","-16"
"4","4","2018-10-23","21-242","DEN","","SAC","W (+14)","1","18:30","6","10",".600","3","6",".500","4","4","1.000","1","0","1","4","1","0","0","3","19","17.7","+17"
"5","5","2018-10-25","21-244","DEN","@","LAL","L (-7)","1","34:01","8","17",".471","1","5",".200","5","7",".714","0","10","10","1","1","1","3","2","22","14.1","-12"
"6","6","2018-10-29","21-248","DEN","","NOP","W (+5)","1","38:52","9","19",".474","2","5",".400","3","3","1.000","1","4","5","2","5","1","3","1","23","18.9","+4"
"7","7","2018-10-31","21-250","DEN","@","CHI","W (+1)","1","43:31","5","13",".385","0","4",".000","2","2","1.000","1","7","8","6","0","1","1","1","12","11.2","+9"
"8","8","2018-11-01","21-251","DEN","@","CLE","W (+19)","1","22:44","5","8",".625","0","1",".000","0","0","","0","1","1","3","0","0","1","0","10","7.8","+10"
"9","9","2018-11-03","21-253","DEN","","UTA","W (+15)","1","35:13","7","16",".438","1","3",".333","4","4","1.000","0","5","5","4","0","0","2","3","19","11.7","+18"
"10","10","2018-11-05","21-255","DEN","","BOS","W (+8)","1","38:13","19","30",".633","5","11",".455","5","5","1.000","1","4","5","4","0","0","5","1","48","33.9","-4"
"11","11","2018-11-07","21-257","DEN","@","MEM","L (-2)","1","36:46","6","21",".286","2","9",".222","1","2",".500","2","2","4","7","1","0","3","2","15","6.4","-6"
"12","12","2018-11-09","21-259","DEN","","BRK","L (-2)","1","40:26","5","14",".357","0","1",".000","6","6","1.000","1","1","2","5","1","0","2","5","16","9.7","-6"
"13","13","2018-11-11","21-261","DEN","","MIL","L (-7)","1","34:20","7","16",".438","0","1",".000","0","0","","3","2","5","2","2","0","3","2","14","7.9","-4"
"14","14","2018-11-13","21-263","DEN","","HOU","L (-10)","1","34:33","7","13",".538","0","3",".000","1","1","1.000","0","1","1","5","1","0","3","1","15","10.1","-4"
"15","15","2018-11-15","21-265","DEN","","ATL","W (+45)","0","23:05","4","10",".400","3","6",".500","3","3","1.000","0","4","4","5","0","1","1","1","14","12.6","+18"
"16","16","2018-11-17","21-267","DEN","@","NOP","L (-10)","1","28:44","4","14",".286","1","5",".200","2","2","1.000","0","2","2","6","0","1","1","3","11","6.1","-14"
"17","17","2018-11-19","21-269","DEN","@","MIL","L (-6)","1","36:14","7","14",".500","2","5",".400","1","2",".500","2","6","8","9","0","1","5","3","17","13.6","-8"
"18","18","2018-11-21","21-271","DEN","@","MIN","W (+2)","1","38:43","6","15",".400","4","8",".500","2","2","1.000","1","2","3","4","1","2","2","4","18","12.8","+8"
"19","19","2018-11-23","21-273","DEN","","ORL","W (+25)","1","35:47","7","18",".389","1","5",".200","1","3",".333","0","5","5","6","2","1","4","2","16","9.0","+37"
"20","20","2018-11-24","21-274","DEN","@","OKC","W (+7)","1","39:40","9","23",".391","2","6",".333","2","2","1.000","2","6","8","8","0","0","3","1","22","14.9","+4"
"21","21","2018-11-27","21-277","DEN","","LAL","W (+32)","1","34:20","8","18",".444","2","5",".400","2","2","1.000","0","3","3","4","0","0","3","1","20","10.9","+17"
"22","22","2018-11-30","21-280","DEN","@","POR","W (+1)","1","35:36","2","13",".154","1","4",".250","5","7",".714","0","2","2","7","1","0","2","1","10","5.0","+6"
"23","23","2018-12-03","21-283","DEN","@","TOR","W (+3)","1","40:34","9","21",".429","2","7",".286","1","1","1.000","1","6","7","8","0","0","7","1","21","10.6","0"
"24","24","2018-12-05","21-285","DEN","@","ORL","W (+6)","1","46:08","10","25",".400","2","3",".667","9","11",".818","1","3","4","8","1","0","1","3","31","22.7","+3"
