"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"6","1","2018-10-26","28-104","MIN","","MIL","L (-30)","0","3:52","2","4",".500","2","4",".500","3","3","1.000","0","0","0","0","0","0","0","0","9","7.0","0"
"8","2","2018-10-31","28-109","MIN","","UTA","W (+3)","0","21:25","1","2",".500","0","0","","0","0","","0","3","3","3","0","0","0","2","2","3.2","+3"
"9","3","2018-11-02","28-111","MIN","@","GSW","L (-17)","0","3:19","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-6"
"10","4","2018-11-04","28-113","MIN","@","POR","L (-30)","0","6:12","1","2",".500","0","1",".000","1","1","1.000","0","0","0","0","1","0","1","0","3","2.0","+3"
"13","5","2018-11-09","28-118","MIN","@","SAC","L (-11)","0","4:17","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","1","2","0.6","0"
"16","6","2018-11-16","28-125","MIN","","POR","W (+16)","0","0:38","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"22","7","2018-11-28","28-137","MIN","","SAS","W (+39)","0","5:11","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","-6"
"25","8","2018-12-05","28-144","MIN","","CHO","W (+17)","0","1:31","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.0","-2"
"30","9","2018-12-17","28-156","MIN","","SAC","W (+27)","0","6:01","2","4",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","5","3.0","0"
"32","10","2018-12-21","28-160","MIN","@","SAS","L (-26)","0","4:19","2","2","1.000","2","2","1.000","0","0","","0","1","1","0","0","0","0","1","6","5.3","-3"
"34","11","2018-12-26","28-165","MIN","@","CHI","W (+25)","0","2:05","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2"
"38","12","2019-01-02","28-172","MIN","@","BOS","L (-13)","0","2:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
"39","13","2019-01-04","28-174","MIN","","ORL","W (+17)","0","2:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
"41","14","2019-01-16","28-186","HOU","","BRK","L (-3)","0","24:32","3","8",".375","3","7",".429","0","0","","0","1","1","2","0","0","0","5","9","4.3","+1"
"42","15","2019-01-19","28-189","HOU","","LAL","W (+4)","0","12:59","0","5",".000","0","5",".000","0","0","","0","0","0","0","0","0","0","1","0","-3.9","-10"
