"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","21-357","BOS","","PHI","W (+18)","1","28:23","5","13",".385","1","3",".333","1","2",".500","3","2","5","2","0","0","2","4","12","5.0","+11",".432",".423","9.6","6.9","8.3","10.1","0.0","0.0","12.6","22.9","91","89"
"2","2","2018-10-19","21-360","BOS","@","TOR","L (-12)","1","24:10","5","10",".500","3","6",".500","0","2",".000","1","3","4","0","0","0","1","4","13","6.2","0",".597",".650","3.7","13.2","8.1","0.0","0.0","0.0","8.4","20.1","104","119"
"3","3","2018-10-20","21-361","BOS","@","NYK","W (+2)","1","38:27","2","9",".222","0","2",".000","3","3","1.000","2","3","5","2","1","0","2","3","7","3.0","+1",".339",".222","5.4","8.0","6.7","8.2","1.3","0.0","16.2","13.8","77","105"
"4","4","2018-10-22","21-363","BOS","","ORL","L (-3)","1","31:18","2","9",".222","1","4",".250","0","0","","0","5","5","3","0","1","1","3","5","1.6","-15",".278",".278","0.0","15.3","7.7","13.6","0.0","2.6","10.0","14.3","64","98"
"5","5","2018-10-25","22-001","BOS","@","OKC","W (+6)","1","23:47","1","8",".125","0","2",".000","4","6",".667","3","0","3","2","1","0","1","2","6","2.7","-11",".282",".125","11.9","0.0","5.9","13.0","2.0","0.0","8.6","21.1","78","100"
"6","6","2018-10-27","22-003","BOS","@","DET","W (+20)","1","25:15","6","13",".462","3","7",".429","4","6",".667","0","2","2","1","1","1","2","4","19","10.9","+24",".607",".577","0.0","7.3","3.8","6.9","1.9","3.7","11.3","30.5","104","88"
"7","7","2018-10-30","22-006","BOS","","DET","W (+3)","1","32:12","6","13",".462","1","4",".250","1","2",".500","1","4","5","3","1","1","0","2","14","11.8","+1",".504",".500","3.2","12.2","7.8","15.9","1.4","2.6","0.0","18.5","110","102"
"9","8","2018-11-03","22-010","BOS","@","IND","L (-1)","1","31:06","5","14",".357","1","5",".200","1","2",".500","2","5","7","0","0","2","2","1","12","5.7","-12",".403",".393","6.6","17.9","12.0","0.0","0.0","5.7","11.8","24.6","78","106"
"10","9","2018-11-05","22-012","BOS","@","DEN","L (-8)","1","28:49","7","14",".500","1","4",".250","0","0","","1","3","4","0","1","0","0","1","15","10.2","+8",".536",".536","4.3","10.4","7.7","0.0","1.7","0.0","0.0","22.4","110","122"
"11","10","2018-11-08","22-015","BOS","@","PHO","W (+7)","1","38:37","6","13",".462","1","3",".333","4","6",".667","1","5","6","1","0","0","2","2","17","9.6","+8",".543",".500","2.5","16.0","8.4","4.5","0.0","0.0","11.3","19.1","106","105"
"12","11","2018-11-09","22-016","BOS","@","UTA","L (-8)","1","29:54","4","17",".235","1","7",".143","0","0","","1","3","4","1","0","1","0","4","9","0.1","-17",".265",".265","3.8","15.5","8.8","4.9","0.0","3.7","0.0","25.8","60","131"
"13","12","2018-11-11","22-018","BOS","@","POR","L (-6)","1","28:37","2","7",".286","1","4",".250","2","2","1.000","0","1","1","0","1","0","2","3","7","1.0","-10",".444",".357","0.0","3.6","1.7","0.0","1.8","0.0","20.2","15.1","73","111"
"14","13","2018-11-14","22-021","BOS","","CHI","W (+29)","1","25:23","8","14",".571","2","4",".500","0","0","","0","6","6","3","1","0","3","1","18","12.9","+12",".643",".643","0.0","22.7","11.6","21.1","1.9","0.0","17.6","29.4","102","82"
"15","14","2018-11-16","22-023","BOS","","TOR","W (+7)","1","25:20","3","11",".273","1","5",".200","0","0","","3","1","4","0","0","1","2","2","7","0.8","+3",".318",".318","15.3","4.4","9.4","0.0","0.0","3.1","15.4","23.1","71","114"
"16","15","2018-11-17","22-024","BOS","","UTA","L (-12)","1","24:43","1","9",".111","1","6",".167","0","0","","2","1","3","1","0","0","0","2","3","-1.3","-7",".167",".167","6.9","4.7","6.0","5.9","0.0","0.0","0.0","15.4","57","112"
"17","16","2018-11-19","22-026","BOS","@","CHO","L (-5)","1","19:25","4","6",".667","1","3",".333","1","2",".500","0","2","2","2","0","1","0","2","10","8.9","+5",".727",".750","0.0","12.1","5.8","14.1","0.0","5.2","0.0","15.6","146","120"
"18","17","2018-11-21","22-028","BOS","","NYK","L (-8)","1","25:58","4","10",".400","0","3",".000","3","6",".500","1","4","5","0","2","2","2","2","11","6.9","-15",".435",".400","3.4","16.8","9.3","0.0","3.6","6.3","13.7","22.7","79","108"
"19","18","2018-11-23","22-030","BOS","@","ATL","W (+18)","1","21:18","4","7",".571","0","3",".000","2","4",".500","1","1","2","3","2","0","2","2","10","8.2","+2",".571",".571","5.4","5.5","5.4","20.5","4.2","0.0","18.6","20.9","103","89"
"20","19","2018-11-24","22-031","BOS","@","DAL","L (-9)","1","30:24","7","9",".778","0","0","","2","2","1.000","0","5","5","0","1","1","2","3","16","12.5","-11",".810",".778","0.0","17.2","9.3","0.0","1.6","3.4","16.8","17.3","129","114"
"24","20","2018-12-06","22-043","BOS","","NYK","W (+28)","0","25:12","7","10",".700","0","2",".000","7","9",".778","0","3","3","2","0","0","2","5","21","14.3","+16",".752",".700","0.0","10.8","6.1","10.7","0.0","0.0","12.5","27.7","133","107"
"25","21","2018-12-08","22-045","BOS","@","CHI","W (+56)","0","28:29","8","11",".727","3","3","1.000","4","4","1.000","1","4","5","3","2","0","1","1","23","23.1","+26",".901",".864","4.0","13.8","9.3","13.8","3.7","0.0","7.3","21.8","173","82"
"26","22","2018-12-10","22-047","BOS","","NOP","W (+13)","0","24:43","6","16",".375","4","7",".571","3","4",".750","3","4","7","3","0","1","3","5","19","10.9","+11",".535",".500","12.4","18.1","15.1","18.0","0.0","3.2","14.5","36.2","108","103"
"28","23","2018-12-14","22-051","BOS","","ATL","W (+21)","0","22:00","2","12",".167","0","5",".000","0","0","","2","4","6","2","0","1","2","3","4","-2.1","+1",".167",".167","10.6","17.5","14.4","10.5","0.0","4.5","14.3","24.5","55","105"
"29","24","2018-12-15","22-052","BOS","@","DET","L (-9)","0","22:31","1","4",".250","0","1",".000","0","0","","0","2","2","2","2","1","3","3","2","0.1","-9",".250",".250","0.0","10.2","4.6","11.6","4.2","4.3","42.9","12.6","42","105"
"30","25","2018-12-19","22-056","BOS","","PHO","L (-8)","1","23:34","3","9",".333","0","3",".000","0","0","","0","1","1","0","0","1","1","1","6","0.5","-3",".333",".333","0.0","4.2","2.2","0.0","0.0","3.0","10.0","19.0","60","126"
"31","26","2018-12-21","22-058","BOS","","MIL","L (-13)","0","30:06","8","14",".571","3","6",".500","2","7",".286","2","5","7","2","4","0","0","2","21","19.9","-3",".615",".679","6.0","21.0","12.3","14.3","6.4","0.0","0.0","24.4","123","111"
