"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","30-129","MIN","@","SAS","L (-4)","1","31:32","8","12",".667","2","3",".667","9","9","1.000","0","1","1","4","2","0","2","2","27","24.1","-5",".846",".750","0.0","3.0","1.6","22.7","3.2","0.0","11.1","24.0","158","119"
"2","2","2018-10-19","30-131","MIN","","CLE","W (+8)","1","31:28","3","9",".333","0","2",".000","3","3","1.000","0","3","3","7","0","0","1","2","9","7.9","0",".436",".333","0.0","10.4","5.5","27.1","0.0","0.0","8.8","15.0","110","125"
"3","3","2018-10-20","30-132","MIN","@","DAL","L (-4)","1","34:07","6","14",".429","2","3",".667","8","8","1.000","0","2","2","9","1","0","4","2","22","17.7","-7",".628",".500","0.0","6.7","3.8","35.6","1.3","0.0","18.6","25.5","122","133"
"4","4","2018-10-22","30-134","MIN","","IND","W (+10)","1","30:56","2","9",".222","1","3",".333","1","2",".500","0","4","4","10","0","1","1","3","6","6.8","0",".304",".278","0.0","12.2","6.7","47.2","0.0","2.4","9.2","15.3","92","98"
"5","5","2018-10-24","30-136","MIN","@","TOR","L (-7)","1","29:58","5","12",".417","2","2","1.000","0","0","","1","1","2","9","1","0","1","4","12","11.3","+2",".500",".500","3.3","4.1","3.6","45.1","1.6","0.0","7.7","17.6","128","120"
"6","6","2018-10-26","30-138","MIN","","MIL","L (-30)","1","21:42","2","10",".200","0","5",".000","0","1",".000","0","2","2","4","0","0","2","2","4","-2.0","-24",".192",".200","0.0","11.3","4.0","28.0","0.0","0.0","16.1","21.7","47","125"
"7","7","2018-10-29","30-141","MIN","","LAL","W (+4)","1","32:13","2","12",".167","0","4",".000","5","5","1.000","0","3","3","5","2","0","2","3","9","4.6","-3",".317",".167","0.0","9.3","4.5","19.1","2.9","0.0","12.3","19.3","87","117"
"14","8","2018-11-12","30-155","MIN","","BRK","W (+7)","1","34:36","8","14",".571","0","3",".000","8","9",".889","0","1","1","11","3","0","4","2","24","23.2","+10",".668",".571","0.0","2.2","1.5","49.4","4.0","0.0","18.2","26.1","131","111"
"15","9","2018-11-14","30-157","MIN","","NOP","W (+7)","1","36:59","4","13",".308","1","5",".200","5","6",".833","0","2","2","14","1","1","3","2","14","14.4","-9",".448",".346","0.0","5.6","2.8","57.1","1.2","2.0","16.1","20.9","109","102"
"16","10","2018-11-16","30-159","MIN","","POR","W (+16)","1","37:12","5","10",".500","2","3",".667","1","2",".500","0","2","2","7","2","1","1","1","13","14.4","+16",".597",".600","0.0","5.7","2.8","22.8","2.6","2.2","8.4","14.1","126","98"
"17","11","2018-11-18","30-161","MIN","","MEM","L (-13)","1","29:03","1","9",".111","0","2",".000","0","0","","1","3","4","4","1","0","3","1","2","-1.9","-18",".111",".111","3.8","10.1","7.2","22.5","1.8","0.0","25.0","18.5","42","109"
"18","12","2018-11-21","30-164","MIN","","DEN","L (-2)","1","28:52","2","5",".400","0","1",".000","3","4",".750","0","2","2","8","2","0","3","2","7","8.3","-4",".518",".400","0.0","8.1","4.2","42.0","3.5","0.0","30.7","15.1","101","108"
"19","13","2018-11-23","30-166","MIN","@","BRK","W (+10)","1","30:24","4","8",".500","1","4",".250","6","6","1.000","0","2","2","9","1","0","2","0","15","16.9","+15",".705",".563","0.0","8.3","3.8","37.7","1.6","0.0","15.8","18.7","139","114"
"20","14","2018-11-24","30-167","MIN","","CHI","W (+15)","1","28:20","7","10",".700","3","5",".600","1","1","1.000","1","3","4","5","0","0","2","2","18","16.1","+8",".862",".850","3.1","11.6","6.8","28.1","0.0","0.0","16.1","16.7","152","103"
"21","15","2018-11-26","30-169","MIN","@","CLE","W (+7)","1","36:12","5","12",".417","0","2",".000","3","5",".600","0","2","2","6","1","3","3","4","13","9.1","-5",".458",".417","0.0","6.6","3.4","23.8","1.4","7.2","17.4","22.3","92","102"
"22","16","2018-11-28","30-171","MIN","","SAS","W (+39)","1","23:59","3","5",".600","0","1",".000","1","1","1.000","0","0","0","9","3","1","1","1","7","13.3","+24",".643",".600","0.0","0.0","0.0","40.9","6.2","3.3","15.5","11.3","152","89"
"23","17","2018-12-01","30-174","MIN","","BOS","L (-9)","1","32:45","3","10",".300","1","2",".500","4","4","1.000","2","2","4","6","0","0","5","3","11","5.2","-7",".468",".350","7.0","7.9","7.4","27.0","0.0","0.0","29.8","21.9","88","125"
"24","18","2018-12-03","30-176","MIN","","HOU","W (+12)","1","35:55","4","10",".400","2","4",".500","4","6",".667","1","4","5","7","1","0","1","2","14","13.8","+10",".554",".500","3.3","14.8","8.8","30.5","1.5","0.0","7.3","16.8","132","104"
"25","19","2018-12-05","30-178","MIN","","CHO","W (+17)","1","34:23","1","6",".167","0","1",".000","1","1","1.000","0","2","2","18","1","2","3","2","3","11.0","+31",".233",".167","0.0","5.3","3.1","53.9","1.4","4.3","31.8","11.7","113","108"
