"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","24-218","OKC","@","GSW","L (-8)","0","29:07","2","7",".286","1","4",".250","2","4",".500","2","0","2","2","0","3","0","1","7","6.6","-11"
"2","2","2018-10-19","24-221","OKC","@","LAC","L (-16)","0","27:38","1","4",".250","0","1",".000","2","4",".500","0","8","8","2","0","2","3","5","4","1.0","-5"
"3","3","2018-10-21","24-223","OKC","","SAC","L (-11)","0","27:47","3","12",".250","0","5",".000","1","2",".500","2","1","3","1","1","2","1","3","7","2.0","-1"
"4","4","2018-10-25","24-227","OKC","","BOS","L (-6)","1","30:36","4","10",".400","1","3",".333","1","1","1.000","2","4","6","1","2","1","2","2","10","7.8","-5"
"5","5","2018-10-28","24-230","OKC","","PHO","W (+7)","1","37:06","4","9",".444","1","4",".250","5","8",".625","1","3","4","1","1","0","1","3","14","9.2","+14"
"6","6","2018-10-30","24-232","OKC","","LAC","W (+18)","1","25:31","5","7",".714","1","2",".500","1","3",".333","1","4","5","1","1","0","1","4","12","9.3","+18"
"7","7","2018-11-01","24-234","OKC","@","CHO","W (+4)","1","24:46","3","7",".429","1","3",".333","3","4",".750","1","5","6","1","0","2","0","2","10","9.4","-16"
"8","8","2018-11-02","24-235","OKC","@","WAS","W (+23)","1","34:04","9","11",".818","2","3",".667","2","3",".667","0","4","4","4","3","0","1","2","22","22.7","+13"
"9","9","2018-11-05","24-238","OKC","","NOP","W (+6)","1","31:17","5","12",".417","0","3",".000","3","4",".750","1","5","6","1","2","1","0","4","13","10.2","+9"
"10","10","2018-11-07","24-240","OKC","@","CLE","W (+9)","1","27:25","4","9",".444","2","3",".667","2","2","1.000","1","7","8","0","1","1","1","3","12","9.6","+14"
"11","11","2018-11-08","24-241","OKC","","HOU","W (+18)","1","34:07","3","5",".600","1","3",".333","4","4","1.000","0","6","6","2","0","0","1","4","11","9.3","+25"
"12","12","2018-11-10","24-243","OKC","@","DAL","L (-15)","1","29:16","4","6",".667","1","2",".500","4","5",".800","1","1","2","2","2","1","1","2","13","13.3","+3"
"13","13","2018-11-12","24-245","OKC","","PHO","W (+17)","1","31:01","4","8",".500","1","2",".500","1","2",".500","1","7","8","0","0","1","1","0","10","8.1","+22"
"14","14","2018-11-14","24-247","OKC","","NYK","W (+25)","1","27:52","6","10",".600","3","5",".600","0","0","","0","5","5","0","0","0","4","3","15","6.7","+9"
"15","15","2018-11-17","24-250","OKC","@","PHO","W (+10)","1","32:25","4","7",".571","1","2",".500","5","7",".714","1","5","6","3","0","2","0","2","14","14.8","+14"
