"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","30-055","ATL","@","NYK","L (-19)","0","13:42","3","6",".500","0","2",".000","2","2","1.000","0","5","5","1","1","0","2","0","8","6.2","-5"
"2","2","2018-10-19","30-057","ATL","@","MEM","L (-14)","0","17:19","3","5",".600","0","0","","3","4",".750","0","2","2","2","0","0","1","3","9","6.1","-5"
"3","3","2018-10-21","30-059","ATL","@","CLE","W (+22)","0","9:42","0","4",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-3.9","+6"
"4","4","2018-10-24","30-062","ATL","","DAL","W (+7)","0","9:50","1","3",".333","1","2",".500","0","0","","0","0","0","2","0","0","2","0","3","0.7","-2"
"5","5","2018-10-27","30-065","ATL","","CHI","L (-12)","0","18:58","0","5",".000","0","2",".000","3","4",".750","0","4","4","3","0","0","2","0","3","0.4","+9"
"6","6","2018-10-29","30-067","ATL","@","PHI","L (-21)","0","9:19","2","4",".500","0","1",".000","2","2","1.000","0","2","2","0","0","0","1","0","6","3.6","-6"
"7","7","2018-10-30","30-068","ATL","@","CLE","L (-22)","0","23:30","4","11",".364","2","6",".333","2","2","1.000","0","1","1","8","1","0","2","3","12","9.6","0"
"8","8","2018-11-01","30-070","ATL","","SAC","L (-31)","0","23:11","8","13",".615","2","7",".286","5","7",".714","0","1","1","1","1","1","4","4","23","13.4","-28"
"9","9","2018-11-03","30-072","ATL","","MIA","W (+5)","0","16:11","1","3",".333","0","0","","4","4","1.000","0","0","0","4","1","0","0","1","6","7.7","-1"
"10","10","2018-11-06","30-075","ATL","@","CHO","L (-11)","0","18:11","7","9",".778","1","1","1.000","4","4","1.000","0","1","1","2","2","0","3","3","19","15.0","+4"
"11","11","2018-11-07","30-076","ATL","","NYK","L (-5)","0","21:55","1","3",".333","1","1","1.000","6","7",".857","0","1","1","5","1","0","4","2","9","6.9","-3"
"12","12","2018-11-09","30-078","ATL","","DET","L (-15)","0","21:36","5","9",".556","2","4",".500","7","7","1.000","0","3","3","4","3","0","0","2","19","20.6","+4"
"13","13","2018-11-11","30-080","ATL","@","LAL","L (-1)","0","14:56","2","7",".286","0","0","","2","2","1.000","1","0","1","2","0","0","2","1","6","1.6","-17"
"14","14","2018-11-13","30-082","ATL","@","GSW","L (-7)","0","20:30","4","9",".444","2","5",".400","0","0","","1","2","3","4","1","0","2","2","10","7.6","+4"
"15","15","2018-11-15","30-084","ATL","@","DEN","L (-45)","0","25:14","4","10",".400","3","7",".429","5","7",".714","2","3","5","5","0","0","4","5","16","9.6","-27"
"16","16","2018-11-17","30-086","ATL","@","IND","L (-8)","0","24:17","7","11",".636","2","3",".667","0","0","","0","4","4","4","3","0","4","5","16","12.1","+6"
"17","17","2018-11-19","30-088","ATL","","LAC","L (-8)","0","12:42","3","6",".500","1","3",".333","0","0","","0","0","0","1","0","0","0","3","7","3.5","-4"
"18","18","2018-11-21","30-090","ATL","","TOR","L (-16)","0","25:43","11","13",".846","4","5",".800","0","0","","0","1","1","2","1","0","1","4","26","21.4","0"
"19","19","2018-11-23","30-092","ATL","","BOS","L (-18)","0","30:07","6","10",".600","2","4",".500","5","7",".714","0","5","5","10","3","0","1","3","19","22.9","+15"
"20","20","2018-11-25","30-094","ATL","","CHO","W (+1)","0","21:20","5","9",".556","2","5",".400","0","0","","0","3","3","4","0","1","5","0","12","7.1","+2"
"21","21","2018-11-27","30-096","ATL","@","MIA","W (+2)","0","18:36","1","4",".250","1","3",".333","4","5",".800","0","5","5","2","0","0","3","1","7","3.7","+3"
"24","22","2018-12-03","30-102","ATL","","GSW","L (-17)","0","24:13","5","9",".556","0","1",".000","4","5",".800","1","4","5","5","2","0","2","3","14","13.5","-17"
"25","23","2018-12-05","30-104","ATL","","WAS","L (-14)","0","3:58","1","1","1.000","0","0","","0","0","","0","1","1","1","0","0","0","0","2","2.7","-1"
"28","24","2018-12-14","30-113","ATL","@","BOS","L (-21)","0","17:08","2","6",".333","2","4",".500","2","3",".667","1","1","2","4","1","0","2","1","8","6.6","+8"
"29","25","2018-12-16","30-115","ATL","@","BRK","L (-17)","0","13:20","2","5",".400","0","3",".000","2","4",".500","0","0","0","1","0","0","1","1","6","1.8","-16"
"30","26","2018-12-18","30-117","ATL","","WAS","W (+8)","0","23:34","6","12",".500","0","3",".000","4","4","1.000","0","3","3","4","0","0","2","4","16","10.1","+1"
"31","27","2018-12-21","30-120","ATL","@","NYK","W (+7)","0","20:42","5","8",".625","0","2",".000","1","2",".500","1","4","5","4","0","0","3","2","11","7.9","-8"
"32","28","2018-12-23","30-122","ATL","@","DET","W (+3)","0","17:02","2","7",".286","0","1",".000","6","6","1.000","0","3","3","4","0","0","1","0","10","8.6","0"
"33","29","2018-12-26","30-125","ATL","","IND","L (-8)","0","20:09","4","6",".667","2","3",".667","2","2","1.000","0","0","0","5","1","1","1","2","12","12.8","-13"
"34","30","2018-12-28","30-127","ATL","@","MIN","W (+3)","0","22:15","2","8",".250","2","2","1.000","1","2",".500","1","2","3","4","2","0","1","3","7","5.7","+4"
"35","31","2018-12-29","30-128","ATL","","CLE","W (+3)","0","16:08","2","3",".667","1","2",".500","2","4",".500","1","5","6","3","0","1","1","0","7","8.9","+6"
"36","32","2018-12-31","30-130","ATL","@","IND","L (-8)","0","20:04","1","7",".143","0","1",".000","5","5","1.000","1","2","3","2","0","1","1","5","7","2.9","-13"
"37","33","2019-01-02","30-132","ATL","@","WAS","L (-16)","0","19:58","2","7",".286","1","4",".250","3","4",".750","0","2","2","5","3","0","2","0","8","8.6","+5"
"38","34","2019-01-04","30-134","ATL","@","MIL","L (-32)","0","20:40","3","7",".429","0","2",".000","6","6","1.000","0","1","1","6","0","0","1","3","12","10.6","-8"
"39","35","2019-01-06","30-136","ATL","","MIA","W (+24)","0","16:33","7","9",".778","1","1","1.000","0","0","","0","1","1","5","1","0","1","0","15","15.3","+12"
"40","36","2019-01-08","30-138","ATL","@","TOR","L (-3)","1","34:30","8","10",".800","0","1",".000","4","6",".667","0","4","4","9","0","0","4","1","20","18.5","-5"
"41","37","2019-01-09","30-139","ATL","@","BRK","L (-16)","0","28:11","5","18",".278","0","5",".000","6","6","1.000","1","4","5","3","3","0","4","2","16","7.6","+2"
"42","38","2019-01-11","30-141","ATL","@","PHI","W (+2)","0","20:40","2","4",".500","0","0","","5","5","1.000","0","0","0","3","0","0","3","2","9","5.3","-11"
"43","39","2019-01-13","30-143","ATL","","MIL","L (-19)","0","26:22","2","10",".200","0","4",".000","3","4",".750","1","1","2","5","1","0","3","2","7","2.1","-20"
"45","40","2019-01-19","30-149","ATL","","BOS","L (-8)","0","20:54","2","7",".286","0","3",".000","2","2","1.000","2","1","3","6","1","1","2","0","6","7.5","+8"
"46","41","2019-01-21","30-151","ATL","","ORL","L (-19)","0","29:40","5","9",".556","1","3",".333","4","5",".800","0","1","1","2","0","0","2","4","15","8.4","-21"
"47","42","2019-01-23","30-153","ATL","@","CHI","W (+20)","0","21:42","6","10",".600","2","4",".500","1","3",".333","0","2","2","4","0","0","3","3","15","8.8","+13"
"48","43","2019-01-26","30-156","ATL","@","POR","L (-9)","0","20:35","4","13",".308","0","2",".000","2","2","1.000","0","2","2","6","0","0","0","2","10","6.5","-12"
"49","44","2019-01-28","30-158","ATL","@","LAC","W (+5)","0","24:12","3","8",".375","1","4",".250","6","7",".857","1","1","2","4","0","0","4","2","13","7.2","+11"
"50","45","2019-01-30","30-160","ATL","@","SAC","L (-22)","0","19:10","2","6",".333","1","2",".500","6","6","1.000","0","2","2","5","0","0","1","0","11","10.7","-17"
"51","46","2019-02-01","30-162","ATL","@","UTA","L (-16)","0","10:49","1","3",".333","0","1",".000","3","3","1.000","0","1","1","0","1","0","0","0","5","4.6","-4"
"52","47","2019-02-02","30-163","ATL","@","PHO","W (+6)","0","13:40","3","5",".600","1","1","1.000","1","1","1.000","0","2","2","1","0","0","4","0","8","3.0","+9"
"53","48","2019-02-04","30-165","ATL","@","WAS","W (+8)","0","21:07","4","9",".444","0","4",".000","3","3","1.000","1","3","4","4","1","0","2","3","11","8.5","+5"
"54","49","2019-02-07","30-168","ATL","","TOR","L (-18)","0","17:05","2","7",".286","0","1",".000","0","0","","0","1","1","2","1","0","1","3","4","0.4","+5"
