"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-041","BRK","@","DET","L (-3)","1","37:08","6","14",".429","1","7",".143","0","0","","0","6","6","5","1","0","2","2","13","9.1","-2"
"2","2","2018-10-19","27-043","BRK","","NYK","W (+2)","1","22:37","4","6",".667","3","4",".750","0","0","","0","4","4","1","0","0","4","5","11","4.3","+2"
"3","3","2018-10-20","27-044","BRK","@","IND","L (-20)","1","31:31","6","11",".545","5","6",".833","2","3",".667","1","1","2","3","0","1","1","3","19","14.9","-11"
"4","4","2018-10-24","27-048","BRK","@","CLE","W (+16)","1","26:37","6","9",".667","4","5",".800","0","0","","1","5","6","2","1","0","2","3","16","13.5","+20"
"5","5","2018-10-26","27-050","BRK","@","NOP","L (-2)","1","26:55","3","6",".500","1","2",".500","0","0","","1","5","6","2","0","0","3","0","7","4.6","-4"
"6","6","2018-10-28","27-052","BRK","","GSW","L (-6)","1","29:40","2","6",".333","2","6",".333","1","2",".500","1","2","3","3","0","0","2","4","7","3.0","+1"
"7","7","2018-10-29","27-053","BRK","@","NYK","L (-19)","1","27:33","4","9",".444","3","5",".600","0","0","","1","0","1","2","2","0","1","2","11","8.6","-11"
"8","8","2018-10-31","27-055","BRK","","DET","W (+1)","1","40:39","8","14",".571","4","7",".571","3","3","1.000","2","3","5","1","0","0","1","4","23","16.8","+2"
"9","9","2018-11-02","27-057","BRK","","HOU","L (-8)","1","31:59","7","9",".778","4","4","1.000","0","0","","0","2","2","4","0","0","0","4","18","16.3","-9"
"10","10","2018-11-04","27-059","BRK","","PHI","W (+25)","1","28:52","4","6",".667","3","4",".750","0","0","","1","0","1","3","1","0","1","2","11","10.4","+14"
"11","11","2018-11-06","27-061","BRK","@","PHO","W (+22)","1","28:19","5","11",".455","1","6",".167","0","0","","0","0","0","1","0","1","0","2","11","5.9","+23"
"12","12","2018-11-09","27-064","BRK","@","DEN","W (+2)","1","26:36","4","6",".667","2","2","1.000","1","1","1.000","1","3","4","0","1","0","3","4","11","6.4","-2"
"13","13","2018-11-10","27-065","BRK","@","GSW","L (-16)","1","20:52","9","12",".750","4","6",".667","2","2","1.000","1","0","1","2","1","0","2","4","24","18.7","+3"
"14","14","2018-11-12","27-067","BRK","@","MIN","L (-7)","1","33:51","3","15",".200","2","9",".222","0","0","","2","4","6","1","0","0","0","3","8","0.8","-3"
"15","15","2018-11-14","27-069","BRK","","MIA","L (-13)","1","25:04","4","8",".500","1","3",".333","2","2","1.000","0","4","4","3","0","0","0","4","11","8.7","-18"
"16","16","2018-11-16","27-071","BRK","@","WAS","W (+11)","1","25:02","3","9",".333","1","6",".167","2","2","1.000","0","5","5","1","1","0","2","2","9","4.3","+10"
"17","17","2018-11-17","27-072","BRK","","LAC","L (-8)","1","30:21","7","11",".636","2","3",".667","3","5",".600","0","1","1","4","1","0","0","3","19","16.2","-5"
"18","18","2018-11-20","27-075","BRK","@","MIA","W (+12)","1","28:19","4","10",".400","0","5",".000","3","4",".750","0","3","3","0","0","0","1","3","11","3.9","+10"
"19","19","2018-11-21","27-076","BRK","@","DAL","L (-6)","1","28:28","3","11",".273","1","7",".143","1","2",".500","2","1","3","4","1","0","2","6","8","2.2","-5"
"20","20","2018-11-23","27-078","BRK","","MIN","L (-10)","1","33:56","5","13",".385","4","10",".400","4","4","1.000","2","4","6","4","0","0","2","3","18","13.1","-11"
