"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","31-015","UTA","@","SAC","W (+6)","1","35:13","9","12",".750","4","6",".667","0","0","","0","1","1","6","4","0","5","3","22","19.5","-7"
"2","2","2018-10-19","31-017","UTA","","GSW","L (-1)","1","35:41","10","15",".667","7","11",".636","0","0","","0","4","4","4","2","1","1","3","27","25.0","+6"
"3","3","2018-10-22","31-020","UTA","","MEM","L (-8)","1","36:56","4","13",".308","1","7",".143","0","0","","2","6","8","5","2","0","2","2","9","7.4","+4"
"4","4","2018-10-24","31-022","UTA","@","HOU","W (+11)","1","31:25","3","8",".375","3","6",".500","2","2","1.000","0","6","6","3","1","0","3","1","11","8.1","+16"
"5","5","2018-10-27","31-025","UTA","@","NOP","W (+21)","1","28:28","2","10",".200","0","4",".000","3","4",".750","0","4","4","2","1","0","2","2","7","1.2","+19"
"6","6","2018-10-28","31-026","UTA","@","DAL","W (+9)","1","30:55","4","11",".364","3","7",".429","1","1","1.000","0","7","7","5","1","0","4","3","12","7.3","+9"
"7","7","2018-10-31","31-029","UTA","@","MIN","L (-3)","1","35:00","6","12",".500","1","6",".167","0","2",".000","0","6","6","5","1","0","3","4","13","7.9","+7"
"8","8","2018-11-02","31-031","UTA","","MEM","L (-10)","1","36:56","6","13",".462","3","8",".375","4","5",".800","0","3","3","2","1","1","5","2","19","10.1","-3"
"9","9","2018-11-03","31-032","UTA","@","DEN","L (-15)","1","32:44","1","5",".200","1","4",".250","1","2",".500","0","4","4","6","2","0","1","3","4","5.7","-20"
"10","10","2018-11-05","31-034","UTA","","TOR","L (-13)","1","32:07","3","13",".231","2","6",".333","1","4",".250","1","1","2","2","1","0","2","2","9","0.5","-20"
"11","11","2018-11-07","31-036","UTA","","DAL","W (+15)","1","35:59","2","9",".222","2","8",".250","0","0","","0","2","2","6","3","0","3","1","6","4.9","+9"
"12","12","2018-11-09","31-038","UTA","","BOS","W (+8)","1","35:01","10","14",".714","5","9",".556","2","2","1.000","0","5","5","7","1","1","1","3","27","27.1","+23"
"13","13","2018-11-12","31-041","UTA","@","MEM","W (+8)","1","36:00","6","12",".500","3","6",".500","4","6",".667","2","4","6","5","1","0","3","2","19","15.5","+6"
"14","14","2018-11-14","31-043","UTA","@","DAL","L (-50)","1","24:57","3","8",".375","2","5",".400","0","0","","1","2","3","2","0","0","2","1","8","3.9","-20"
"15","15","2018-11-16","31-045","UTA","@","PHI","L (-6)","1","32:33","6","12",".500","2","5",".400","0","0","","0","2","2","2","3","1","1","2","14","11.9","-16"
"16","16","2018-11-17","31-046","UTA","@","BOS","W (+12)","1","30:02","3","6",".500","1","4",".250","0","0","","0","3","3","6","0","0","3","3","7","4.9","+8"
"17","17","2018-11-19","31-048","UTA","@","IND","L (-27)","1","28:08","2","7",".286","1","5",".200","0","0","","0","1","1","5","0","1","3","1","5","2.0","0"
"18","18","2018-11-21","31-050","UTA","","SAC","L (-9)","1","37:15","3","9",".333","2","7",".286","4","7",".571","0","3","3","7","2","0","3","4","12","8.9","-2"
"19","19","2018-11-23","31-052","UTA","@","LAL","L (-7)","1","37:24","7","12",".583","2","4",".500","0","0","","1","7","8","5","0","0","3","3","16","12.5","-7"
"20","20","2018-11-25","31-054","UTA","@","SAC","W (+21)","1","28:17","6","8",".750","2","4",".500","4","4","1.000","0","1","1","6","2","0","1","4","18","18.7","+20"
"21","21","2018-11-26","31-055","UTA","","IND","L (-33)","1","28:51","4","10",".400","2","4",".500","0","0","","0","2","2","3","5","0","3","2","10","8.5","-8"
"22","22","2018-11-28","31-057","UTA","@","BRK","W (+10)","1","35:01","3","8",".375","1","4",".250","0","0","","0","7","7","5","2","0","4","3","7","5.0","+18"
"23","23","2018-11-30","31-059","UTA","@","CHO","W (+8)","1","24:12","2","7",".286","2","6",".333","0","0","","0","1","1","4","3","0","1","3","6","5.8","+12"
"24","24","2018-12-02","31-061","UTA","@","MIA","L (-2)","1","29:10","5","13",".385","1","4",".250","0","0","","0","4","4","4","2","0","0","4","11","8.3","+7"
"25","25","2018-12-04","31-063","UTA","","SAS","W (+34)","1","26:46","5","9",".556","3","6",".500","0","0","","0","3","3","7","3","0","2","1","13","15.1","+12"
"26","26","2018-12-06","31-065","UTA","","HOU","W (+27)","1","25:30","6","9",".667","4","6",".667","2","2","1.000","1","5","6","3","2","0","0","2","18","19.6","+18"
"27","27","2018-12-09","31-068","UTA","@","SAS","L (-13)","1","28:17","2","5",".400","0","2",".000","1","2",".500","0","5","5","5","0","0","2","2","5","4.1","+7"
"28","28","2018-12-10","31-069","UTA","@","OKC","L (-9)","1","25:09","3","7",".429","0","2",".000","0","0","","1","2","3","5","2","0","1","1","6","7.7","-7"
"29","29","2018-12-12","31-071","UTA","","MIA","W (+27)","1","24:23","3","9",".333","2","6",".333","2","4",".500","0","2","2","6","0","0","1","3","10","6.7","+29"
"30","30","2018-12-15","31-074","UTA","@","ORL","L (-7)","1","33:09","2","11",".182","2","6",".333","2","2","1.000","1","4","5","5","3","1","2","3","8","7.0","0"
"31","31","2018-12-17","31-076","UTA","@","HOU","L (-5)","1","25:28","2","6",".333","1","4",".250","0","2",".000","0","2","2","6","0","0","4","1","5","1.2","0"
"32","32","2018-12-19","31-078","UTA","","GSW","W (+5)","1","34:45","7","13",".538","4","9",".444","2","2","1.000","0","3","3","3","2","0","1","2","20","16.9","+6"
"33","33","2018-12-21","31-080","UTA","@","POR","W (+30)","1","27:48","6","11",".545","2","5",".400","1","4",".250","0","5","5","7","1","0","1","1","15","14.5","0"
"34","34","2018-12-22","31-081","UTA","","OKC","L (-1)","1","33:29","5","12",".417","3","8",".375","0","0","","0","4","4","8","3","0","2","4","13","12.8","+11"
"35","35","2018-12-25","31-084","UTA","","POR","W (+21)","1","32:51","6","9",".667","3","5",".600","0","0","","0","7","7","5","0","0","1","1","15","15.3","+22"
