"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","21-014","ORL","","MIA","W (+3)","1","18:08","2","4",".500","1","1","1.000","1","2",".500","2","4","6","1","0","0","1","4","6","4.3","-7"
"2","2","2018-10-19","21-016","ORL","","CHO","L (-32)","1","14:25","1","3",".333","0","1",".000","0","0","","1","4","5","0","1","0","2","4","2","-0.4","-11"
"3","3","2018-10-20","21-017","ORL","@","PHI","L (-1)","1","27:31","3","8",".375","2","3",".667","0","2",".000","1","5","6","0","2","1","1","0","8","6.7","+9"
"4","4","2018-10-22","21-019","ORL","@","BOS","W (+3)","1","26:04","8","12",".667","2","4",".500","0","0","","4","8","12","0","1","0","0","1","18","18.6","+7"
"5","5","2018-10-25","21-022","ORL","","POR","L (-14)","1","30:25","4","8",".500","0","2",".000","2","2","1.000","2","5","7","1","0","4","1","3","10","10.2","-8"
"6","6","2018-10-27","21-024","ORL","@","MIL","L (-22)","1","22:22","0","6",".000","0","3",".000","2","2","1.000","0","3","3","1","1","3","1","2","2","0.7","-18"
"7","7","2018-10-30","21-027","ORL","","SAC","L (-8)","1","24:57","3","8",".375","0","4",".000","3","3","1.000","0","3","3","1","1","0","0","2","9","6.4","-6"
"8","8","2018-11-02","21-030","ORL","","LAC","L (-25)","1","12:09","1","4",".250","0","1",".000","0","0","","1","0","1","0","0","0","0","1","2","-0.1","-2"
"15","9","2018-11-14","21-042","ORL","","PHI","W (+5)","0","16:14","1","3",".333","0","0","","2","2","1.000","2","5","7","0","0","2","0","0","4","6.6","+5"
"16","10","2018-11-17","21-045","ORL","","LAL","W (+13)","0","16:54","3","5",".600","1","2",".500","0","0","","1","4","5","1","0","5","2","1","7","8.4","+4"
"17","11","2018-11-18","21-046","ORL","","NYK","W (+14)","0","24:01","6","9",".667","1","3",".333","3","4",".750","1","3","4","3","2","1","0","1","16","17.7","+3"
"18","12","2018-11-20","21-048","ORL","","TOR","L (-2)","0","20:05","3","7",".429","0","1",".000","3","4",".750","2","3","5","0","0","0","0","1","9","6.8","-6"
"19","13","2018-11-23","21-051","ORL","@","DEN","L (-25)","0","21:02","2","10",".200","0","4",".000","5","6",".833","1","4","5","0","1","0","0","3","9","4.1","-2"
"20","14","2018-11-25","21-053","ORL","@","LAL","W (+4)","0","24:11","3","7",".429","0","1",".000","0","0","","1","4","5","1","0","0","1","5","6","1.9","-1"
"21","15","2018-11-26","21-054","ORL","@","GSW","L (-6)","0","30:00","5","9",".556","3","3","1.000","2","3",".667","0","4","4","0","1","0","2","3","15","9.3","-8"
"22","16","2018-11-28","21-056","ORL","@","POR","L (-3)","1","30:11","5","9",".556","2","4",".500","4","5",".800","0","7","7","2","0","1","4","2","16","10.7","+8"
"23","17","2018-11-30","21-058","ORL","@","PHO","W (+14)","0","26:29","1","4",".250","0","1",".000","0","0","","1","2","3","3","1","1","1","3","2","2.5","+12"
"24","18","2018-12-04","21-062","ORL","@","MIA","W (+15)","0","31:29","4","5",".800","0","1",".000","4","4","1.000","1","5","6","2","2","1","0","1","12","16.0","+17"
"25","19","2018-12-05","21-063","ORL","","DEN","L (-6)","0","24:38","4","11",".364","1","7",".143","2","2","1.000","1","3","4","2","1","1","2","2","11","6.8","-8"
"26","20","2018-12-07","21-065","ORL","","IND","L (-22)","0","20:36","2","8",".250","0","3",".000","2","3",".667","1","5","6","0","0","3","2","4","6","1.5","-12"
"27","21","2018-12-10","21-068","ORL","@","DAL","L (-25)","1","27:36","2","4",".500","0","2",".000","0","0","","0","4","4","0","1","1","3","1","4","1.5","-15"
"28","22","2018-12-13","21-071","ORL","","CHI","W (+6)","1","25:53","2","7",".286","1","3",".333","5","5","1.000","0","3","3","1","3","3","2","5","10","8.6","+3"
"29","23","2018-12-15","21-073","ORL","","UTA","W (+7)","1","33:49","0","3",".000","0","0","","0","0","","0","7","7","1","1","3","3","2","0","0.0","0"
"30","24","2018-12-19","21-077","ORL","","SAS","L (-39)","1","24:46","4","8",".500","2","4",".500","0","0","","2","3","5","1","0","0","0","1","10","8.6","-18"
"31","25","2018-12-21","21-079","ORL","@","CHI","L (-10)","1","19:37","2","4",".500","1","2",".500","0","0","","1","2","3","0","3","0","0","4","5","5.7","-6"
